RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,20400,Michael Campbell,$1585560,1661810
2,0,08635,Colin Montgomerie,$962069,1450735
3,0,25572,Graeme McDowell,$814359,1086859
4,0,26596,Ryan Moore,$686250,686250
5,0,10944,Thomas Bjørn,$651267,769267
6,0,22378,Trevor Immelman,$614867,726867
7,0,22348,Nick O'Hern,$550502,889202
8,0,20569,Richard Green,$256807,365807
9,0,20848,Ángel Cabrera,$242028,451028
10,0,28486,Michael Putnam,$229733,229733
11,0,20608,David Howell,$224450,696950
12,0,06036,Scott Dunlap,$204500,204500
13,0,01326,Nick Faldo,$184649,184649
14,0,06220,Jaxon Brigman,$162961,162961
15,0,24924,Bill Haas,$159586,159586
16,0,12461,Paul McGinley,$139017,547183
17,0,19991,Peter Hedblom,$123857,123857
18,0,22624,Joel Kribel,$112360,112360
19,0,19958,Miguel Angel Jiménez,$109398,281398
20,0,11123,Chris Couch,$96667,96667
21,0,20218,Shingo Katayama,$96020,131020
22,0,27466,Spencer Levin,$78082,78082
23,0,06078,Esteban Toledo,$76887,76887
24,0,26497,Casey Wittenberg,$67548,67548
25,0,24847,Michael Harris,$65430,65430
26,0,23688,Scott Drummond,$56947,56947
26,0,27561,Nick Flanagan,$56947,56947
26,0,26808,Tadahiro Takayama,$56947,56947
29,0,28118,Peter Tomasulo,$55027,55027
30,0,21528,Henrik Stenson,$53919,501985
31,0,22792,Peter Hanson,$51891,51891
32,0,27702,Matt Hendrix,$51429,51429
33,0,24236,Nick Dougherty,$47467,128217
34,0,25818,Scott Piercy,$47140,47140
35,0,20394,Steve Webster,$39586,39586
36,0,20935,Toru Taniguchi,$38880,38880
37,0,24512,Simon Dyson,$38548,38548
38,0,23481,Marcel Siem,$29150,29150
39,0,21284,Hiroyuki Fujita,$26243,26243
39,0,23624,Soren Hansen,$26243,26243
39,0,24957,Simon Khan,$26243,26243
39,0,21695,Maarten Lafeber,$26243,26243
43,0,24663,Y.E. Yang,$22856,22856
44,0,08215,Steve Schneiter,$22300,22300
45,0,07707,Mike Small,$21900,21900
46,0,27214,Kevin Streelman,$21695,21695
47,0,06140,Sean Murphy,$21120,21120
48,0,12309,Bob Sowards,$19162,19162
49,0,24511,Thongchai Jaidee,$19154,92654
49,0,19904,Paul Lawrie,$19154,19154
51,0,22986,Søren Kjeldsen,$17667,17667
52,0,20369,John Bickerton,$17522,17522
52,0,23874,Tino Schuster,$17522,17522
54,0,26539,Robert Rock,$16383,16383
54,0,20624,David Smail,$16383,16383
56,0,27770,Camilo Villegas,$16300,16300
57,0,24494,Erik Compton,$15895,15895
58,0,20820,Patrik Sjöland,$15770,15770
59,0,25732,S.K. Ho,$15419,50169
60,0,20939,Keiichiro Fukabori,$15223,15223
60,0,19903,Jonathan Lomas,$15223,15223
62,0,23969,Graeme Storm,$14806,14806
63,0,28158,Steve Marino,$14542,14542
64,0,23903,Stephen Gangluff,$14161,14161
65,0,27060,John Mallinger,$13553,13553
66,0,07187,Ron Philo Jr.,$12750,12750
67,0,27649,Brandt Snedeker,$12731,12731
68,0,27708,Jason Hartwick,$12090,12090
69,0,08063,Kelly Grunewald,$11935,11935
70,0,23043,Paul Sheehan,$11715,11715
71,0,01624,Darrell Kestner,$11700,11700
72,0,06514,Kevin Johnson,$11330,11330
73,0,27352,Steve Collins,$11250,11250
74,0,27382,Wil Collins,$11200,11200
75,0,23048,Eric Axley,$11100,11100
76,0,28220,Colby Beckstrom,$11095,11095
77,0,12716,Charley Hoffman,$10656,10656
78,0,20445,Casey Martin,$10547,10547
78,0,27615,Chris Nallen,$10547,10547
80,0,22363,Don Yrene,$10452,10452
81,0,02136,Chris Starkjohann,$9917,9917
82,0,21522,Rick Heath,$9735,9735
83,0,10699,Ahmad Bateman,$9625,9625
84,0,26948,Camilo Benedetti,$9600,9600
85,0,10831,Greg Meyer,$8928,8928
86,0,25741,Nick Gilliam,$8926,8926
87,0,25234,Jason Knutzon,$8920,8920
88,0,25274,Steven Bowditch,$8299,8299
89,0,27573,Gavin Flint,$7932,7932
90,0,25692,Akio Sadakata,$7315,7315
91,0,01713,David Lundstrom,$7000,7000
92,0,23613,Rich Barcelo,$6945,6945
93,0,26597,Ben Portie,$6780,6780
94,0,01533,P.H. Horgan III,$6540,6540
95,0,23739,Ryan Dillon,$6060,6060
