RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,20400,Michael Campbell,$1661810,158556044,7625000
2,0,08635,Colin Montgomerie,$1450736,96206900,48866666
3,0,25572,Graeme McDowell,$899359,81435935,8500000
4,0,22348,Nick O'Hern,$790502,55050182,24000000
5,0,10944,Thomas Bjørn,$769267,65126700,11800000
6,0,20608,David Howell,$696950,22444950,47250000
7,0,26596,Ryan Moore,$686250,68624980
8,0,22378,Trevor Immelman,$649867,61486741,3500000
9,0,12461,Paul McGinley,$547184,13901727,40816666
10,0,21528,Henrik Stenson,$501986,5391924,44806667
11,0,20848,Ángel Cabrera,$451028,24202757,20900000
12,0,20569,Richard Green,$365807,25680708,10900000
13,0,19958,Miguel Angel Jiménez,$281398,10939803,17200000
14,0,28486,Michael Putnam,$229733,22973334
15,0,06036,Scott Dunlap,$204500,20450000
16,0,01326,Nick Faldo,$184649,18464935
17,0,06220,Jaxon Brigman,$162961,16296100
18,0,24924,Bill Haas,$159586,15958643
19,0,20218,Shingo Katayama,$131020,9602000,3500000
20,0,24236,Nick Dougherty,$128217,4746700,8075000
21,0,19991,Peter Hedblom,$123857,12385700
22,0,21461,Kenneth Ferrie,$120250,0,12025000
23,0,22624,Joel Kribel,$112360,11236000
24,0,11127,Stephen Dodd,$109500,0,10950000
25,0,20585,Niclas Fasth,$107500,0,10750000
26,0,11123,Chris Couch,$96667,9666667
27,0,24511,Thongchai Jaidee,$92654,1915374,7350000
28,0,27466,Spencer Levin,$78082,7808200
29,0,22983,Bradley Dredge,$77000,0,7700000
29,0,26331,Charl Schwartzel,$77000,0,7700000
31,0,06078,Esteban Toledo,$76887,7688743
32,0,22117,Jyoti Randhawa,$72500,0,7250000
33,0,26497,Casey Wittenberg,$67548,6754775
34,0,22034,Yasuharu Imano,$66000,0,6600000
35,0,24847,Michael Harris,$65430,6543000
36,0,23688,Scott Drummond,$56947,5694650
36,0,27561,Nick Flanagan,$56947,5694650
36,0,26808,Tadahiro Takayama,$56947,5694650
39,0,28118,Peter Tomasulo,$55027,5502700
40,0,22792,Peter Hanson,$51891,5189125
41,0,27702,Matt Hendrix,$51429,5142857
42,0,25732,S.K. Ho,$50169,1541936,3475000
43,0,25818,Scott Piercy,$47140,4714000
44,0,22114,Simon Yates,$46000,0,4600000
45,0,22328,Marc Cayeux,$42250,0,4225000
46,0,20394,Steve Webster,$39586,3958601
47,0,20935,Toru Taniguchi,$38880,3888000
48,0,24512,Simon Dyson,$38548,3854840
49,0,20376,Stephen Gallacher,$36500,0,3650000
50,0,19830,Joakim Haeggman,$35000,0,3500000
51,0,20992,Kazuhiko Hosokawa,$34500,0,3450000
52,0,23857,Neil Cheetham,$33000,0,3300000
53,0,20701,Warren Abery,$32500,0,3250000
54,0,23481,Marcel Siem,$29150,2915000
55,0,21284,Hiroyuki Fujita,$26243,2624315
55,0,23624,Soren Hansen,$26243,2624315
55,0,24957,Simon Khan,$26243,2624315
55,0,21695,Maarten Lafeber,$26243,2624315
59,0,24663,Y.E. Yang,$22856,2285583
60,0,08215,Steve Schneiter,$22300,2230000
61,0,07707,Mike Small,$21900,2190000
62,0,27214,Kevin Streelman,$21695,2169454
63,0,06140,Sean Murphy,$21120,2112000
64,0,12309,Bob Sowards,$19162,1916200
65,0,19904,Paul Lawrie,$19154,1915374
66,0,22986,Søren Kjeldsen,$17667,1766700
67,0,20369,John Bickerton,$17522,1752200
67,0,23874,Tino Schuster,$17522,1752200
69,0,26539,Robert Rock,$16383,1638307
69,0,20624,David Smail,$16383,1638307
71,0,27770,Camilo Villegas,$16300,1630000
72,0,24494,Erik Compton,$15895,1589500
73,0,20820,Patrik Sjöland,$15770,1576980
74,0,20939,Keiichiro Fukabori,$15223,1522300
74,0,19903,Jonathan Lomas,$15223,1522300
76,0,23969,Graeme Storm,$14806,1480609
77,0,28158,Steve Marino,$14542,1454200
78,0,23903,Stephen Gangluff,$14161,1416100
79,0,27060,John Mallinger,$13553,1355300
80,0,07187,Ron Philo Jr.,$12750,1275000
81,0,27649,Brandt Snedeker,$12731,1273133
82,0,27708,Jason Hartwick,$12090,1209000
83,0,08063,Kelly Grunewald,$11935,1193500
84,0,23043,Paul Sheehan,$11715,1171500
85,0,01624,Darrell Kestner,$11700,1170000
86,0,06514,Kevin Johnson,$11330,1133000
87,0,27352,Steve Collins,$11250,1125000
88,0,27382,Wil Collins,$11200,1120000
89,0,23048,Eric Axley,$11100,1110000
90,0,28220,Colby Beckstrom,$11095,1109520
91,0,12716,Charley Hoffman,$10656,1065600
92,0,20445,Casey Martin,$10547,1054700
92,0,27615,Chris Nallen,$10547,1054700
94,0,22363,Don Yrene,$10452,1045200
95,0,02136,Chris Starkjohann,$9917,991700
96,0,21522,Rick Heath,$9735,973500
97,0,10699,Ahmad Bateman,$9625,962500
98,0,26948,Camilo Benedetti,$9600,960000
99,0,10831,Greg Meyer,$8928,892800
100,0,25741,Nick Gilliam,$8926,892578
101,0,25234,Jason Knutzon,$8920,892000
102,0,25274,Steven Bowditch,$8299,829900
103,0,27573,Gavin Flint,$7932,793200
104,0,25692,Akio Sadakata,$7315,731500
105,0,01713,David Lundstrom,$7000,700000
106,0,23613,Rich Barcelo,$6945,694500
107,0,26597,Ben Portie,$6780,678000
108,0,01533,P.H. Horgan III,$6540,654000
109,0,23739,Ryan Dillon,$6060,606000
