RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,34265,Will Wilcox,68.88,1102,16
2,0,21209,Sergio Garcia,69.13,2212,32
3,0,28237,Rory McIlroy,69.27,2840,41
4,0,02206,David Toms,69.48,1459,21
5,0,10809,Jim Furyk,69.55,3408,49
6,0,23135,Tim Clark,69.58,1322,19
7,0,25345,Carl Pettersson,69.67,1672,24
8,0,27963,Chris Stroud,69.68,2369,34
9,0,08075,Jerry Kelly,69.70,1603,23
10,0,24024,Zach Johnson,69.74,3278,47
11,0,34431,Robert Streb,69.80,1745,25
12,0,27436,Graham DeLaet,69.81,2164,31
13,0,23320,Ryan Palmer,69.82,2304,33
14,0,24502,Adam Scott,69.87,3214,46
15,0,28259,Sangmoon Bae,69.88,1188,17
16,0,27644,Brian Harman,69.89,2446,35
16,0,23108,Matt Kuchar,69.89,3914,56
18,0,31560,Brian Stuard,69.96,1819,26
19,0,25804,Bubba Watson,70.08,2663,38
20,0,27064,Jhonattan Vegas,70.11,1332,19
21,0,33418,Shawn Stefani,70.13,1052,15
21,0,30927,Brendon Todd,70.13,2805,40
23,0,32102,Rickie Fowler,70.14,2595,37
24,0,31202,William McGirt,70.16,2245,32
25,0,12510,Chad Campbell,70.18,1193,17
25,0,30925,Dustin Johnson,70.18,2386,34
27,0,21961,Charles Howell III,70.20,1755,25
27,0,24912,Will MacKenzie,70.20,1404,20
29,0,30926,Chris Kirk,70.21,2738,39
30,0,26851,Marc Leishman,70.23,1826,26
30,0,29221,Webb Simpson,70.23,2107,30
32,0,31557,Jim Herman,70.25,1124,16
33,0,25444,Justin Hicks,70.29,1476,21
34,0,12716,Charley Hoffman,70.30,1617,23
34,0,25572,Graeme McDowell,70.30,1898,27
36,0,26331,Charl Schwartzel,70.31,1828,26
36,0,25632,Jimmy Walker,70.31,3375,48
38,0,24924,Bill Haas,70.32,2883,41
38,0,26758,David Hearn,70.32,1758,25
40,0,29479,Scott Brown,70.36,1548,22
41,0,30750,Tommy Gainey,70.38,1478,21
42,0,28089,Jason Day,70.39,1971,28
42,0,29222,Billy Hurley III,70.39,1971,28
44,0,20645,John Senden,70.41,2394,34
45,0,24507,Jason Bohn,70.42,1831,26
46,0,34099,Harris English,70.43,2606,37
47,0,25364,Paul Casey,70.44,1127,16
47,0,36689,Brooks Koepka,70.44,1127,16
49,0,25396,Kevin Na,70.45,2325,33
50,0,30944,Jason Kokrak,70.46,1691,24
50,0,33413,Ben Martin,70.46,1973,28
52,0,20098,Stuart Appleby,70.47,1339,19
53,0,23353,J.J. Henry,70.48,1621,23
54,0,34046,Jordan Spieth,70.50,4089,58
54,0,27095,Nick Watney,70.50,1551,22
56,0,23800,Bryce Molder,70.52,1481,21
57,0,21731,Freddie Jacobson,70.53,2116,30
58,0,28092,D.H. Lee,70.57,494,7
59,0,01706,Davis Love III,70.60,1412,20
60,0,35732,Wes Roach,70.63,1130,16
61,0,24846,Ricky Barnes,70.64,1554,22
62,0,34409,David Lingmerth,70.67,1272,18
63,0,29478,Kevin Kisner,70.68,1555,22
63,0,22405,Justin Rose,70.68,2686,38
65,0,32334,Charlie Beljan,70.70,1626,23
66,0,27466,Spencer Levin,70.71,990,14
67,0,29461,Jamie Lovemark,70.72,1273,18
68,0,24490,George McNeill,70.73,1839,26
68,0,26679,Kevin Stadler,70.73,1556,22
70,0,25686,Jason Dufner,70.74,1627,23
71,0,33141,Keegan Bradley,70.75,3113,44
72,0,29420,Billy Horschel,70.76,2335,33
73,0,20848,Ángel Cabrera,70.78,1628,23
73,0,23541,Ben Crane,70.78,1628,23
75,0,25834,Daniel Summerhays,70.79,2053,29
76,0,35539,Luke Guthrie,70.80,1770,25
77,0,28475,Jeff Overton,70.81,1133,16
78,0,24358,Robert Garrigus,70.83,1629,23
79,0,26596,Ryan Moore,70.87,2693,38
80,0,21753,Brian Davis,70.88,1205,17
80,0,32839,Hideki Matsuyama,70.88,2339,33
82,0,20396,Lee Westwood,70.89,1347,19
83,0,35139,Richard Lee,70.90,1489,21
84,0,20498,Briny Baird,70.92,922,13
84,0,29425,Andrew Svoboda,70.92,1702,24
86,0,34563,Chesson Hadley,70.93,2057,29
86,0,01810,Phil Mickelson,70.93,2128,30
88,0,31323,Gary Woodland,70.94,2270,32
89,0,06522,Ernie Els,71.00,1704,24
89,0,22046,Geoff Ogilvy,71.00,1136,16
89,0,26289,Boo Weekley,71.00,1136,16
92,0,27141,J.B. Holmes,71.03,2628,37
92,0,30852,Ryo Ishikawa,71.03,2202,31
94,0,25562,Andres Romero,71.05,1350,19
95,0,28500,Martin Flores,71.06,1279,18
96,0,27408,Martin Kaymer,71.07,1919,27
96,0,33122,Russell Knox,71.07,1990,28
96,0,01724,Jeff Maggert,71.07,1066,15
99,0,10885,Robert Allenby,71.10,1493,21
100,0,32640,Troy Merritt,71.12,1209,17
101,0,24925,Jonathan Byrd,71.13,1636,23
101,0,20104,Ken Duke,71.13,1138,16
101,0,29289,S.Y. Noh,71.13,1707,24
104,0,29535,Brice Garnett,71.15,1423,20
105,0,34261,Scott Langley,71.16,2206,31
105,0,33419,Cameron Tringale,71.16,2206,31
105,0,23623,Bo Van Pelt,71.16,1779,25
108,0,10423,Mike Weir,71.19,1139,16
109,0,29926,Danny Lee,71.22,1638,23
109,0,32333,Kevin Tway,71.22,1282,18
111,0,22913,John Rollins,71.23,926,13
112,0,25349,Tim Wilkinson,71.24,2066,29
113,0,34021,Bud Cauley,71.25,1425,20
113,0,27936,Martin Laird,71.25,1140,16
115,0,28132,Tyrone Van Aswegen,71.29,1212,17
116,0,20157,Retief Goosen,71.30,1925,27
116,0,06567,Vijay Singh,71.30,1426,20
116,0,27770,Camilo Villegas,71.30,1640,23
119,0,24138,Ian Poulter,71.32,1355,19
120,0,30110,Kyle Stanley,71.33,1284,18
121,0,20593,Greg Chalmers,71.35,1855,26
122,0,19846,Brian Gay,71.38,1142,16
122,0,26329,Louis Oosthuizen,71.38,1142,16
124,0,27649,Brandt Snedeker,71.40,2856,40
125,0,24361,Pat Perez,71.41,1928,27
125,0,21528,Henrik Stenson,71.41,1928,27
127,0,23621,Rory Sabbatini,71.43,1643,23
128,0,35541,John Peterson,71.44,1143,16
129,0,20160,Charlie Wi,71.45,1429,20
130,0,28307,Matt Every,71.46,1715,24
130,0,29518,Brendan Steele,71.46,1715,24
130,0,27214,Kevin Streelman,71.46,1715,24
133,0,28486,Michael Putnam,71.47,2287,32
134,0,24781,Hunter Mahan,71.48,2073,29
135,0,22371,Aaron Baddeley,71.50,1573,22
135,0,33461,Morgan Hoffmann,71.50,2717,38
137,0,24494,Erik Compton,71.53,2289,32
138,0,34098,Russell Henley,71.55,1431,20
138,0,27120,Troy Matteson,71.55,787,11
140,0,26300,Matt Jones,71.57,1503,21
141,0,25720,Chad Collins,71.58,1360,19
142,0,32366,Kevin Chappell,71.59,2291,32
142,0,23983,Luke Donald,71.59,1217,17
144,0,27556,Ted Potter Jr.,71.60,1432,20
145,0,25274,Steven Bowditch,71.63,1361,19
146,0,10860,Justin Leonard,71.65,1433,20
147,0,27895,Jonas Blixt,71.67,1075,15
147,0,26956,Bronson La'Cassie,71.67,645,9
147,0,22293,Heath Slocum,71.67,1075,15
147,0,34264,Hudson Swafford,71.67,1290,18
151,0,20229,Stewart Cink,71.70,1936,27
151,0,25191,Gonzalo Fernandez-Castaño,71.70,1936,27
151,0,35300,Andrew Loupe,71.70,1434,20
154,0,26951,Johnson Wagner,71.76,1220,17
155,0,28780,Nicholas Thompson,71.79,1723,24
156,0,27330,Josh Teater,71.82,1580,22
157,0,24357,K.J. Choi,71.83,1652,23
158,0,24140,Sean O'Hair,71.88,1150,16
159,0,25900,Lucas Glover,71.93,1007,14
160,0,34174,John Huh,71.94,1151,16
161,0,23409,James Driscoll,71.95,1367,19
