RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,21209,Sergio Garcia,69.08,2487,36
2,0,28237,Rory McIlroy,69.14,2973,43
3,0,08075,Jerry Kelly,69.46,2431,35
4,0,10809,Jim Furyk,69.60,3619,52
5,0,23320,Ryan Palmer,69.63,3203,46
6,0,24024,Zach Johnson,69.76,3558,51
7,0,24502,Adam Scott,69.79,3280,47
8,0,12510,Chad Campbell,69.88,1817,26
8,0,25804,Bubba Watson,69.88,2935,42
10,0,27644,Brian Harman,69.89,3704,53
10,0,23108,Matt Kuchar,69.89,3984,57
10,0,27963,Chris Stroud,69.89,3215,46
13,0,25345,Carl Pettersson,69.95,3078,44
14,0,25396,Kevin Na,70.00,3570,51
15,0,23135,Tim Clark,70.03,2591,37
15,0,26331,Charl Schwartzel,70.03,2451,35
17,0,33418,Shawn Stefani,70.04,1751,25
17,0,30927,Brendon Todd,70.04,3922,56
19,0,24924,Bill Haas,70.09,3715,53
20,0,27436,Graham DeLaet,70.14,3086,44
20,0,26851,Marc Leishman,70.14,2946,42
20,0,02206,David Toms,70.14,2034,29
20,0,34265,Will Wilcox,70.14,1964,28
24,0,21961,Charles Howell III,70.18,3579,51
25,0,28089,Jason Day,70.23,2177,31
26,0,34431,Robert Streb,70.26,2670,38
27,0,25632,Jimmy Walker,70.27,3654,52
28,0,32102,Rickie Fowler,70.33,2954,42
28,0,30925,Dustin Johnson,70.33,2532,36
30,0,12716,Charley Hoffman,70.36,3096,44
31,0,31560,Brian Stuard,70.38,3167,45
32,0,30944,Jason Kokrak,70.39,2675,38
32,0,20645,John Senden,70.39,3590,51
34,0,34099,Harris English,70.40,3168,45
35,0,25444,Justin Hicks,70.41,3098,44
36,0,29221,Webb Simpson,70.42,2676,38
37,0,24846,Ricky Barnes,70.43,2817,40
37,0,29420,Billy Horschel,70.43,3310,47
39,0,21731,Freddie Jacobson,70.44,3170,45
39,0,34046,Jordan Spieth,70.44,4156,59
41,0,29479,Scott Brown,70.46,3382,48
41,0,26596,Ryan Moore,70.46,3523,50
43,0,25572,Graeme McDowell,70.47,2255,32
43,0,31202,William McGirt,70.47,3312,47
45,0,31557,Jim Herman,70.48,1903,27
46,0,24507,Jason Bohn,70.49,2890,41
46,0,27064,Jhonattan Vegas,70.49,2608,37
48,0,29425,Andrew Svoboda,70.50,2679,38
49,0,32839,Hideki Matsuyama,70.51,2891,41
50,0,33141,Keegan Bradley,70.52,3667,52
51,0,24490,George McNeill,70.53,2680,38
52,0,30926,Chris Kirk,70.56,4022,57
52,0,22405,Justin Rose,70.56,2893,41
52,0,22293,Heath Slocum,70.56,2258,32
52,0,25834,Daniel Summerhays,70.56,3175,45
56,0,23800,Bryce Molder,70.58,2188,31
57,0,26289,Boo Weekley,70.61,1977,28
58,0,24358,Robert Garrigus,70.62,2613,37
58,0,26679,Kevin Stadler,70.62,2754,39
60,0,25686,Jason Dufner,70.63,1907,27
60,0,33413,Ben Martin,70.63,3037,43
62,0,27408,Martin Kaymer,70.64,2331,33
62,0,29478,Kevin Kisner,70.64,3179,45
64,0,29289,S.Y. Noh,70.67,2968,42
65,0,20848,Ángel Cabrera,70.71,2192,31
65,0,26758,David Hearn,70.71,2970,42
67,0,25364,Paul Casey,70.72,1768,25
67,0,01706,Davis Love III,70.72,2051,29
69,0,27770,Camilo Villegas,70.73,2900,41
70,0,29222,Billy Hurley III,70.74,2971,42
71,0,29461,Jamie Lovemark,70.75,1981,28
72,0,20098,Stuart Appleby,70.77,2760,39
73,0,33122,Russell Knox,70.81,2974,42
74,0,35732,Wes Roach,70.82,1983,28
75,0,24912,Will MacKenzie,70.83,2975,42
76,0,35539,Luke Guthrie,70.85,2834,40
76,0,31323,Gary Woodland,70.85,3259,46
78,0,32640,Troy Merritt,70.86,1984,28
79,0,23541,Ben Crane,70.87,2764,39
80,0,34261,Scott Langley,70.89,3332,47
81,0,28475,Jeff Overton,70.94,2199,31
82,0,20498,Briny Baird,70.95,1348,19
82,0,29535,Brice Garnett,70.95,2838,40
82,0,23623,Bo Van Pelt,70.95,3051,43
85,0,36689,Brooks Koepka,70.96,1632,23
86,0,32448,James Hahn,70.97,2768,39
86,0,01810,Phil Mickelson,70.97,2484,35
86,0,21528,Henrik Stenson,70.97,2413,34
89,0,27095,Nick Watney,70.98,2910,41
90,0,23638,Brendon de Jonge,71.00,3479,49
90,0,28307,Matt Every,71.00,3124,44
90,0,27466,Spencer Levin,71.00,1704,24
93,0,10885,Robert Allenby,71.03,2699,38
93,0,24925,Jonathan Byrd,71.03,2557,36
93,0,20160,Charlie Wi,71.03,2486,35
96,0,33461,Morgan Hoffmann,71.06,3624,51
96,0,27649,Brandt Snedeker,71.06,3340,47
98,0,32366,Kevin Chappell,71.09,3270,46
98,0,25349,Tim Wilkinson,71.09,3199,45
100,0,29926,Danny Lee,71.12,2916,41
