RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,0,10809,Jim Furyk,6' 2",2038.417,331
2,0,20160,Charlie Wi,6' 10",2745.833,404
3,0,23983,Luke Donald,6' 11",1648.417,237
3,0,06522,Ernie Els,6' 11",2666.250,387
3,0,21209,Sergio Garcia,6' 11",1381.333,200
6,0,06567,Vijay Singh,7' 0",2948.917,419
7,0,28089,Jason Day,7' 1",1323.917,186
7,0,25396,Kevin Na,7' 1",3161.833,447
9,0,02206,David Toms,7' 2",2029.750,283
10,0,34261,Scott Langley,7' 4",3292.750,450
10,0,22405,Justin Rose,7' 4",2021.833,276
12,0,27644,Brian Harman,7' 5",4135.583,558
12,0,23108,Matt Kuchar,7' 5",2971.750,399
12,0,01810,Phil Mickelson,7' 5",2116.333,285
12,0,23800,Bryce Molder,7' 5",2678.583,362
16,0,19846,Brian Gay,7' 6",3147.917,419
16,0,28132,Tyrone Van Aswegen,7' 6",2620.917,351
18,0,20157,Retief Goosen,7' 7",3289.917,435
18,0,24024,Zach Johnson,7' 7",3181.750,418
18,0,10860,Justin Leonard,7' 7",3117.333,411
18,0,29221,Webb Simpson,7' 7",2831.833,373
22,0,25364,Paul Casey,7' 8",1863.333,242
22,0,32200,Roberto Castro,7' 8",2665.583,346
22,0,25720,Chad Collins,7' 8",2950.667,384
22,0,21961,Charles Howell III,7' 8",3953.083,517
22,0,29222,Billy Hurley III,7' 8",2998.250,392
22,0,32839,Hideki Matsuyama,7' 8",2866.750,375
28,0,25274,Steven Bowditch,7' 9",3392.417,439
28,0,21753,Brian Davis,7' 9",3989.083,513
28,0,30852,Ryo Ishikawa,7' 9",2629.167,339
28,0,33413,Ben Martin,7' 9",2646.583,340
28,0,26289,Boo Weekley,7' 9",2290.667,294
28,0,10423,Mike Weir,7' 9",2625.083,339
34,0,20098,Stuart Appleby,7' 10",3829.333,489
34,0,20104,Ken Duke,7' 10",2735.083,350
34,0,29461,Jamie Lovemark,7' 10",2012.083,257
34,0,27963,Chris Stroud,7' 10",3153.833,403
34,0,27064,Jhonattan Vegas,7' 10",2599.833,333
39,0,34021,Bud Cauley,7' 11",1883.667,239
39,0,32366,Kevin Chappell,7' 11",3517.333,443
39,0,27436,Graham DeLaet,7' 11",2228.833,283
39,0,25686,Jason Dufner,7' 11",1805.583,228
39,0,35539,Luke Guthrie,7' 11",3411.500,430
39,0,12716,Charley Hoffman,7' 11",3034.000,385
39,0,26331,Charl Schwartzel,7' 11",2489.083,315
39,0,33418,Shawn Stefani,7' 11",2384.750,302
39,0,30927,Brendon Todd,7' 11",4291.500,541
48,0,24846,Ricky Barnes,8' 0",3511.167,441
48,0,24925,Jonathan Byrd,8' 0",3006.667,375
48,0,34099,Harris English,8' 0",2897.250,364
48,0,08075,Jerry Kelly,8' 0",2984.250,372
48,0,33122,Russell Knox,8' 0",3461.917,434
48,0,34046,Jordan Spieth,8' 0",3910.917,489
48,0,27095,Nick Watney,8' 0",2119.250,266
48,0,25349,Tim Wilkinson,8' 0",3614.000,452
56,0,21731,Freddie Jacobson,8' 1",3859.250,475
56,0,22046,Geoff Ogilvy,8' 1",3336.250,412
56,0,23623,Bo Van Pelt,8' 1",2638.250,328
59,0,27895,Jonas Blixt,8' 2",2189.000,267
59,0,25191,Gonzalo Fernandez-Castaño,8' 2",3465.667,425
59,0,27141,J.B. Holmes,8' 2",3843.833,471
62,0,32102,Rickie Fowler,8' 3",2735.667,331
62,0,25900,Lucas Glover,8' 3",1917.333,232
62,0,24924,Bill Haas,8' 3",3440.167,418
62,0,27936,Martin Laird,8' 3",2416.583,292
62,0,26851,Marc Leishman,8' 3",3082.583,374
62,0,23320,Ryan Palmer,8' 3",2983.583,362
62,0,25240,D.A. Points,8' 3",2509.417,305
62,0,22293,Heath Slocum,8' 3",2609.917,317
70,0,12510,Chad Campbell,8' 4",1649.417,197
70,0,23135,Tim Clark,8' 4",2810.750,336
70,0,28307,Matt Every,8' 4",3213.500,387
70,0,27466,Spencer Levin,8' 4",2479.750,299
70,0,01724,Jeff Maggert,8' 4",2060.500,247
70,0,31202,William McGirt,8' 4",4149.000,496
70,0,21528,Henrik Stenson,8' 4",1564.833,188
70,0,27330,Josh Teater,8' 4",3457.333,413
70,0,31323,Gary Woodland,8' 4",3243.917,389
79,0,24357,K.J. Choi,8' 5",3460.333,411
79,0,23541,Ben Crane,8' 5",3827.917,454
79,0,30926,Chris Kirk,8' 5",4155.917,494
79,0,26956,Bronson La'Cassie,8' 5",1944.667,231
79,0,35139,Richard Lee,8' 5",3393.750,402
79,0,32640,Troy Merritt,8' 5",2562.917,304
79,0,24138,Ian Poulter,8' 5",2052.000,244
79,0,32333,Kevin Tway,8' 5",2119.500,251
79,0,34265,Will Wilcox,8' 5",1781.750,212
79,0,21878,Mark Wilson,8' 5",2755.500,326
89,0,28259,Sangmoon Bae,8' 6",3185.250,376
89,0,33141,Keegan Bradley,8' 6",3028.917,355
89,0,29479,Scott Brown,8' 6",3956.083,466
89,0,28500,Martin Flores,8' 6",3044.000,358
89,0,24140,Sean O'Hair,8' 6",3216.833,379
89,0,25834,Daniel Summerhays,8' 6",4001.667,472
95,0,20229,Stewart Cink,8' 7",3111.667,364
95,0,23638,Brendon de Jonge,8' 7",4375.167,512
95,0,26758,David Hearn,8' 7",3844.000,450
95,0,34174,John Huh,8' 7",3430.083,401
95,0,30944,Jason Kokrak,8' 7",2880.417,335
95,0,29926,Danny Lee,8' 7",3535.500,411
95,0,25572,Graeme McDowell,8' 7",2165.750,253
95,0,25562,Andres Romero,8' 7",3790.083,442
95,0,34431,Robert Streb,8' 7",3088.167,359
95,0,33419,Cameron Tringale,8' 7",4324.917,504
95,0,27770,Camilo Villegas,8' 7",3681.333,430
106,0,20498,Briny Baird,8' 8",2156.750,249
106,0,33461,Morgan Hoffmann,8' 8",4260.000,492
106,0,36689,Brooks Koepka,8' 8",1910.917,221
106,0,27556,Ted Potter Jr.,8' 8",2908.333,335
106,0,28486,Michael Putnam,8' 8",4233.667,490
106,0,20645,John Senden,8' 8",3542.250,408
106,0,29518,Brendan Steele,8' 8",3261.500,378
106,0,27214,Kevin Streelman,8' 8",2877.250,332
106,0,31560,Brian Stuard,8' 8",3832.333,444
115,0,24507,Jason Bohn,8' 9",3457.583,394
115,0,20593,Greg Chalmers,8' 9",4077.417,467
115,0,24358,Robert Garrigus,8' 9",3507.000,400
115,0,22378,Trevor Immelman,8' 9",3291.583,376
115,0,26300,Matt Jones,8' 9",3168.583,362
115,0,28092,D.H. Lee,8' 9",2539.667,291
115,0,01706,Davis Love III,8' 9",3159.500,362
115,0,27933,John Merrick,8' 9",3128.917,359
115,0,26596,Ryan Moore,8' 9",2954.583,337
115,0,28475,Jeff Overton,8' 9",3241.500,372
115,0,27649,Brandt Snedeker,8' 9",3243.250,369
115,0,25632,Jimmy Walker,8' 9",3196.000,365
127,0,24490,George McNeill,8' 10",3315.083,376
127,0,23621,Rory Sabbatini,8' 10",3179.167,359
127,0,29425,Andrew Svoboda,8' 10",3159.583,357
127,0,25804,Bubba Watson,8' 10",2506.333,284
131,0,32448,James Hahn,8' 11",3740.333,419
131,0,23353,J.J. Henry,8' 11",3396.083,380
131,0,30925,Dustin Johnson,8' 11",1734.333,195
131,0,26329,Louis Oosthuizen,8' 11",1402.333,158
131,0,22913,John Rollins,8' 11",3195.333,360
131,0,24502,Adam Scott,8' 11",2498.250,280
131,0,32150,Michael Thompson,8' 11",2875.417,321
131,0,24663,Y.E. Yang,8' 11",3301.917,371
139,0,10885,Robert Allenby,9' 0",3267.083,362
139,0,07867,Woody Austin,9' 0",3124.167,348
139,0,22621,Ben Curtis,9' 0",3404.750,379
139,0,29740,Brad Fritsch,9' 0",1929.583,215
139,0,28237,Rory McIlroy,9' 0",2110.417,234
139,0,29289,S.Y. Noh,9' 0",3360.167,375
139,0,25345,Carl Pettersson,9' 0",4106.667,456
139,0,34360,Patrick Reed,9' 0",3681.250,409
139,0,30692,Scott Stallings,9' 0",3326.750,370
139,0,20396,Lee Westwood,9' 0",2250.667,250
