RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
1,0,10885,Robert Allenby,27
2,0,01810,Phil Mickelson,18
3,0,29718,Anthony Kim,15
4,0,20098,Stuart Appleby,13
4,0,20104,Ken Duke,13
4,0,21209,Sergio Garcia,13
4,0,21878,Mark Wilson,13
8,0,10809,Jim Furyk,12
8,0,10860,Justin Leonard,12
10,0,25345,Carl Pettersson,10
11,0,12716,Charley Hoffman,9
11,0,25562,Andres Romero,9
11,0,06527,Steve Stricker,9
11,0,10423,Mike Weir,9
15,0,22621,Ben Curtis,8
15,0,10875,Todd Demsey,8
15,0,19970,Robert Karlsson,8
15,0,28475,Jeff Overton,8
15,0,20160,Charlie Wi,8
20,0,07867,Woody Austin,7
20,0,28158,Steve Marino,7
22,0,12510,Chad Campbell,6
22,0,01320,Bob Estes,6
22,0,01388,Robert Gamez,6
22,0,25900,Lucas Glover,6
22,0,11032,Frank Lickliter II,6
22,0,01941,Tom Pernice Jr.,6
22,0,26882,Michael Sim,6
22,0,27649,Brandt Snedeker,6
22,0,06595,Kevin Sutherland,6
22,0,02223,Bob Tway,6
22,0,02239,Scott Verplank,6
22,0,08793,Tiger Woods,6
34,0,20848,Ángel Cabrera,5
34,0,20229,Stewart Cink,5
34,0,06621,Joe Durant,5
34,0,07457,Steve Flesch,5
34,0,21350,Ryuji Imada,5
34,0,27936,Martin Laird,5
34,0,24781,Hunter Mahan,5
34,0,24361,Pat Perez,5
34,0,02002,John Riegger,5
34,0,27963,Chris Stroud,5
34,0,27095,Nick Watney,5
34,0,25349,Tim Wilkinson,5
46,0,01139,Olin Browne,4
46,0,24357,K.J. Choi,4
46,0,06251,Chris DiMarco,4
46,0,24358,Robert Garrigus,4
46,0,20569,Richard Green,4
46,0,20378,Mathias Grönberg,4
46,0,22792,Peter Hanson,4
46,0,22378,Trevor Immelman,4
46,0,25572,Graeme McDowell,4
46,0,01945,Kenny Perry,4
46,0,22405,Justin Rose,4
46,0,06567,Vijay Singh,4
46,0,27214,Kevin Streelman,4
46,0,08385,Omar Uresti,4
46,0,24663,Y.E. Yang,4
61,0,22371,Aaron Baddeley,3
61,0,12652,Cameron Beckman,3
61,0,32262,Mark Brown,3
61,0,01142,Bart Bryant,3
61,0,23983,Luke Donald,3
61,0,06522,Ernie Els,3
61,0,06575,Dudley Hart,3
61,0,23353,J.J. Henry,3
61,0,12782,Tim Herron,3
61,0,27141,J.B. Holmes,3
61,0,01577,Lee Janzen,3
61,0,30926,Chris Kirk,3
61,0,24912,Will MacKenzie,3
61,0,06350,Bob May,3
61,0,24140,Sean O'Hair,3
61,0,23320,Ryan Palmer,3
61,0,25240,D.A. Points,3
61,0,10649,Tom Scherrer,3
61,0,21528,Henrik Stenson,3
61,0,32150,Michael Thompson,3
61,0,06078,Esteban Toledo,3
61,0,23788,D.J. Trahan,3
61,0,27770,Camilo Villegas,3
61,0,26951,Johnson Wagner,3
61,0,26289,Boo Weekley,3
86,0,06197,Michael Allen,2
86,0,01035,Tommy Armour III,2
86,0,01132,Mark Brooks,2
86,0,01157,Tom Byrum,2
86,0,20400,Michael Campbell,2
86,0,06034,Marco Dawson,2
86,0,09011,David Duval,2
86,0,20585,Niclas Fasth,2
86,0,24725,Richard Finch,2
86,0,01361,Dan Forsman,2
86,0,24184,Alastair Forsyth,2
86,0,20574,Mathew Goggin,2
86,0,22892,Jason Gore,2
86,0,27576,Anton Haig,2
86,0,01473,Todd Hamilton,2
86,0,22896,Grégory Havret,2
86,0,20608,David Howell,2
86,0,26300,Matt Jones,2
86,0,08075,Jerry Kelly,2
86,0,20669,James Kingston,2
86,0,23108,Matt Kuchar,2
86,0,20382,Stephen Leaney,2
86,0,26695,Michael Letzig,2
86,0,01724,Jeff Maggert,2
86,0,22080,Prayad Marksaeng,2
86,0,25972,Pablo Martin Benavides,2
86,0,27120,Troy Matteson,2
86,0,01761,Len Mattiace,2
86,0,08339,Spike McRoy,2
86,0,22046,Geoff Ogilvy,2
86,0,01920,Craig Parry,2
86,0,01948,Tim Petrovic,2
86,0,27072,Alvaro Quiros,2
86,0,22913,John Rollins,2
86,0,24502,Adam Scott,2
86,0,26679,Kevin Stadler,2
86,0,23325,Vaughn Taylor,2
86,0,02206,David Toms,2
86,0,23322,Brett Wetterich,2
86,0,20436,Garrett Willis,2
86,0,26497,Casey Wittenberg,2
