RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,01928,Corey Pavin,101.46,755,34,732
2,0,25190,Jeff Quinney,101.41,990,44,960
3,0,24449,Parker McLachlin,101.38,1090,42,1063
4,0,23541,Ben Crane,101.36,1030,42,1002
5,0,24781,Hunter Mahan,101.08,1020,46,985
6,0,20850,Daniel Chopra,100.95,948,34,923
7,0,28475,Jeff Overton,100.87,1258,45,1224
8,0,12602,Dean Wilson,100.86,1274,37,1248
9,0,02223,Bob Tway,100.78,772,26,752
10,0,26668,Marc Turnesa,100.76,1050,41,1017
11,0,10585,Scott McCarron,100.65,772,34,743
12,0,20104,Ken Duke,100.54,1471,48,1431
13,0,07547,Craig Kanada,100.51,777,30,751
14,0,24357,K.J. Choi,100.50,808,32,780
15,0,01313,Steve Elkington,100.49,1017,42,980
15,0,01320,Bob Estes,100.49,1230,40,1196
17,0,22548,Patrick Sheehan,100.47,1488,56,1439
18,0,12660,Jesper Parnevik,100.38,1046,41,1009
19,0,22371,Aaron Baddeley,100.36,834,24,813
19,0,06527,Steve Stricker,100.36,825,30,798
21,0,26500,Alejandro Cañizares,100.35,577,20,559
22,0,07867,Woody Austin,100.32,1238,52,1190
23,0,20443,Jin Park,100.30,997,27,973
24,0,22046,Geoff Ogilvy,100.29,691,17,676
25,0,19846,Brian Gay,100.25,1223,32,1194
26,0,23048,Eric Axley,100.22,1354,42,1315
27,0,21878,Mark Wilson,100.21,1449,54,1398
28,0,01142,Bart Bryant,100.20,990,32,960
28,0,28158,Steve Marino,100.20,1489,56,1436
30,0,12510,Chad Campbell,100.17,1202,48,1156
31,0,01945,Kenny Perry,100.15,1294,38,1258
32,0,25720,Chad Collins,100.11,874,28,847
32,0,21731,Freddie Jacobson,100.11,889,31,859
32,0,01707,Steve Lowery,100.11,951,38,914
35,0,01035,Tommy Armour III,100.10,958,31,928
35,0,01473,Todd Hamilton,100.10,1043,36,1008
35,0,22348,Nick O'Hern,100.10,1022,34,989
38,0,26300,Matt Jones,100.08,1234,48,1187
39,0,25364,Paul Casey,100.00,511,17,494
39,0,22621,Ben Curtis,100.00,906,28,878
39,0,23409,James Driscoll,100.00,1083,31,1052
39,0,12782,Tim Herron,100.00,1230,48,1182
39,0,21350,Ryuji Imada,100.00,960,29,931
39,0,01577,Lee Janzen,100.00,1071,34,1037
39,0,22806,Doug LaBelle II,100.00,719,24,695
46,0,28089,Jason Day,99.91,1090,31,1058
47,0,06575,Dudley Hart,99.89,936,32,903
48,0,01810,Phil Mickelson,99.88,829,24,804
49,0,12309,Bob Sowards,99.87,745,25,719
50,0,23718,Nathan Green,99.84,1266,45,1219
50,0,21949,Joe Ogilvie,99.84,1223,40,1181
52,0,20098,Stuart Appleby,99.79,931,30,899
53,0,20229,Stewart Cink,99.78,904,31,871
54,0,06595,Kevin Sutherland,99.76,1254,43,1208
55,0,08931,Glen Day,99.75,814,26,786
56,0,24361,Pat Perez,99.73,1118,43,1072
57,0,26695,Michael Letzig,99.72,1077,32,1042
58,0,01553,John Huston,99.71,679,18,659
58,0,25562,Andres Romero,99.71,678,23,653
60,0,24024,Zach Johnson,99.70,1007,32,972
61,0,10505,Shane Bertsch,99.69,1283,38,1241
61,0,20382,Stephen Leaney,99.69,637,17,618
63,0,20157,Retief Goosen,99.67,608,20,586
64,0,27060,John Mallinger,99.66,1175,38,1133
65,0,23125,Brad Elder,99.61,770,24,743
66,0,10860,Justin Leonard,99.60,1007,28,975
67,0,26420,Richard Johnson,99.56,687,21,663
68,0,24924,Bill Haas,99.55,1328,43,1279
68,0,25345,Carl Pettersson,99.55,1344,37,1301
70,0,27936,Martin Laird,99.51,1221,33,1182
71,0,23108,Matt Kuchar,99.50,1008,34,969
72,0,06197,Michael Allen,99.47,1132,32,1094
73,0,27120,Troy Matteson,99.46,1287,34,1246
74,0,06004,Stephen Ames,99.45,916,23,888
74,0,10809,Jim Furyk,99.45,1089,33,1050
74,0,20160,Charlie Wi,99.45,1282,39,1236
77,0,20105,Jeff Gove,99.40,669,23,642
78,0,01948,Tim Petrovic,99.39,1149,46,1096
78,0,25349,Tim Wilkinson,99.39,1139,32,1100
80,0,23353,J.J. Henry,99.37,1434,35,1390
81,0,08537,J.P. Hayes,99.35,924,32,886
82,0,23135,Tim Clark,99.33,1043,32,1004
83,0,27141,J.B. Holmes,99.29,982,26,949
84,0,26951,Johnson Wagner,99.28,970,34,929
85,0,08075,Jerry Kelly,99.25,1070,28,1034
86,0,20634,Peter Lonard,99.23,1162,35,1118
86,0,20663,Brenden Pappas,99.23,779,24,749
88,0,10425,Jay Williamson,99.22,1161,33,1119
89,0,24138,Ian Poulter,99.20,501,9,488
90,0,27095,Nick Watney,99.16,1197,33,1154
91,0,21209,Sergio Garcia,99.15,823,25,791
91,0,12705,Cliff Kresge,99.15,1056,28,1019
93,0,20433,Mark Hensby,99.13,915,38,869
93,0,06567,Vijay Singh,99.13,923,24,891
95,0,21633,Steve Allan,99.12,685,24,655
96,0,20378,Mathias Grönberg,99.11,1122,42,1070
97,0,27963,Chris Stroud,99.09,989,30,950
98,0,21961,Charles Howell III,99.08,1302,36,1254
98,0,24490,George McNeill,99.08,1298,35,1251
100,0,01941,Tom Pernice Jr.,99.07,1404,40,1351
101,0,06522,Ernie Els,99.06,532,10,517
102,0,06012,Greg Kraft,99.01,709,23,679
103,0,06573,Brandt Jobe,99.00,699,19,673
104,0,20574,Mathew Goggin,98.99,1189,34,1143
105,0,19803,Ryan Armour,98.98,1081,36,1034
106,0,27561,Nick Flanagan,98.97,1163,42,1109
107,0,10885,Robert Allenby,98.96,1251,36,1202
108,0,23614,Rich Beem,98.95,1143,30,1101
108,0,27933,John Merrick,98.95,1143,31,1100
110,0,07749,Brett Quigley,98.94,1040,26,1003
110,0,23325,Vaughn Taylor,98.94,1319,34,1271
112,0,23157,Richard Johnson,98.92,927,28,889
113,0,29718,Anthony Kim,98.89,904,26,868
114,0,23320,Ryan Palmer,98.88,806,21,776
115,0,26596,Ryan Moore,98.87,883,25,848
116,0,25900,Lucas Glover,98.84,1206,29,1163
116,0,30925,Dustin Johnson,98.84,1208,35,1159
116,0,01724,Jeff Maggert,98.84,1124,32,1079
119,0,06034,Marco Dawson,98.83,767,21,737
119,0,21461,Kenneth Ferrie,98.83,857,27,820
121,0,12680,Shigeki Maruyama,98.82,594,13,574
122,0,06090,Jim McGovern,98.81,924,26,887
123,0,12826,Paul Claxton,98.77,734,20,705
123,0,24140,Sean O'Hair,98.77,974,23,939
125,0,06643,Paul Goydos,98.75,963,24,927
126,0,01766,Billy Mayfair,98.72,1403,40,1345
127,0,25396,Kevin Na,98.70,1308,39,1252
127,0,08845,Scott Sterling,98.70,1081,26,1041
129,0,27770,Camilo Villegas,98.69,916,31,873
130,0,12652,Cameron Beckman,98.68,1063,29,1020
131,0,20498,Briny Baird,98.66,1422,39,1364
131,0,25632,Jimmy Walker,98.66,896,24,860
133,0,06251,Chris DiMarco,98.61,1079,34,1030
134,0,24663,Y.E. Yang,98.60,1145,25,1104
135,0,22293,Heath Slocum,98.59,1276,29,1229
136,0,12823,Carlos Franco,98.58,915,33,869
137,0,27214,Kevin Streelman,98.57,1396,33,1343
138,0,01139,Olin Browne,98.56,1045,29,1001
138,0,24925,Jonathan Byrd,98.56,1108,37,1055
140,0,02206,David Toms,98.54,822,23,787
