RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,28237,Rory McIlroy,66.90%,251263.5,375605
2,0,57366,Cameron Young,66.70%,289812.7,434532
3,0,49453,Trevor Cone,66.45%,268791.9,404483
4,0,52955,Ludvig Åberg,66.35%,190196.9,286654
5,0,45242,Kevin Yu,66.33%,202493.3,305283
6,0,58696,Peter Kuest,66.06%,166136.4,251504
7,0,51491,Brandon Matthews,65.85%,177092.8,268932
8,0,33948,Byeong Hun An,65.82%,374517.9,568963
9,0,51414,Brent Grant,65.81%,240342.3,365219
10,0,27129,Luke List,65.78%,351568.2,534434
11,0,51070,Vincent Norrman,65.69%,272929.5,415471
12,0,39067,MJ Daffue,65.61%,311547.2,474814
13,0,52411,Kyle Westmoreland,65.60%,243533.2,371256
14,0,39546,Keith Mitchell,65.48%,311955.3,476438
14,0,24502,Adam Scott,65.48%,219921.6,335886
16,0,55454,Carl Yuan,65.34%,286850.2,439036
17,0,48699,Callum Tarren,65.30%,343965.8,526738
18,0,46046,Scottie Scheffler,65.23%,310932.5,476675
19,0,52453,Nicolai Hojgaard,65.12%,142939.5,219506
20,0,28420,Ryan Brehm,65.10%,279831.8,429877
21,0,52372,Cameron Champ,65.05%,245748.1,377806
21,0,48867,Matti Schmid,65.05%,216628.8,333009
21,0,55893,Sam Stevens,65.05%,346544.0,532762
24,0,27554,Scott Harrington,64.96%,237478.7,365559
24,0,46970,Jon Rahm,64.96%,254099.6,391174
26,0,46601,Trey Mullinax,64.94%,282735.5,435361
27,0,35450,Patrick Cantlay,64.93%,260454.2,401142
27,0,51766,Wyndham Clark,64.93%,358088.2,551465
27,0,46717,Viktor Hovland,64.93%,293607.9,452192
30,0,40250,Taylor Pendrith,64.91%,333691.8,514091
31,0,39058,Lucas Herbert,64.88%,198664.8,306213
31,0,32333,Kevin Tway,64.88%,332001.4,511680
33,0,34255,Joseph Bramlett,64.80%,282010.4,435176
34,0,45157,Cam Davis,64.79%,332526.1,513214
35,0,58168,Davis Thompson,64.77%,361609.7,558327
36,0,36699,Patrick Rodgers,64.75%,347959.5,537382
37,0,54421,Garrick Higgo,64.63%,373881.0,578514
38,0,39997,Corey Conners,64.53%,313348.3,485563
39,0,39977,Max Homa,64.51%,321660.4,498613
40,0,47988,Nick Hardy,64.50%,366885.3,568820
41,0,36799,Stephan Jaeger,64.47%,441124.0,684211
42,0,47504,Sam Burns,64.45%,303540.1,470982
43,0,12716,Charley Hoffman,64.44%,238027.6,369355
43,0,36724,Augusto Núñez,64.44%,239710.3,372013
45,0,35461,Beau Hossler,64.34%,363229.8,564586
