RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,34409,David Lingmerth,37.58%,307,817,+0.042
2,0,31202,William McGirt,37.26%,193,518,-0.067
3,0,31560,Brian Stuard,34.81%,243,698,+0.021
4,0,34256,Andrew Putnam,33.28%,414,1244,-0.027
5,0,40058,Zac Blair,33.18%,290,874,+0.052
6,0,30927,Brendon Todd,33.03%,399,1208,-0.045
7,0,46435,Austin Cook,32.22%,250,776,-0.016
8,0,35879,Kelly Kraft,32.02%,326,1018,-0.012
9,0,26596,Ryan Moore,30.31%,271,894,-0.059
10,0,19803,Ryan Armour,29.63%,275,928,-0.004
11,0,27963,Chris Stroud,29.55%,169,572,-0.018
12,0,32816,Satoshi Kodaira,29.26%,175,598,-0.023
13,0,22371,Aaron Baddeley,28.95%,238,822,-0.021
14,0,35901,Paul Haley II,28.18%,270,958,+0.022
15,0,33122,Russell Knox,27.65%,324,1172,-0.003
16,0,31557,Jim Herman,27.22%,236,867,+0.157
17,0,24024,Zach Johnson,26.99%,210,778,+0.024
18,0,35449,Adam Long,26.54%,318,1198,+0.003
19,0,22056,Cameron Percy,25.88%,162,626,+0.019
20,0,27974,Sung Kang,25.69%,112,436,+0.027
21,0,26476,Chez Reavie,25.34%,302,1192,+0.013
22,0,24925,Jonathan Byrd,24.42%,126,516,-0.008
23,0,36326,David Lipsky,24.38%,274,1124,+0.051
24,0,33413,Ben Martin,24.37%,270,1108,+0.011
25,0,36801,Mark Hubbard,24.30%,302,1243,E
26,0,51950,Max McGreevy,24.16%,215,890,+0.070
27,0,45522,Christiaan Bezuidenhout,23.91%,264,1104,-0.030
28,0,52513,Carson Young,23.66%,247,1044,+0.032
29,0,33410,Andrew Landry,23.58%,208,882,+0.096
30,0,27936,Martin Laird,23.57%,223,946,+0.049
31,0,29535,Brice Garnett,22.95%,202,880,+0.064
32,0,23108,Matt Kuchar,22.92%,254,1108,+0.031
33,0,34098,Russell Henley,22.84%,233,1020,-0.116
34,0,46441,Robby Shelton,22.62%,261,1154,-0.008
35,0,30163,Henrik Norlander,22.57%,214,948,+0.084
36,0,25900,Lucas Glover,22.45%,251,1118,-0.016
36,0,27095,Nick Watney,22.45%,172,766,+0.262
38,0,34099,Harris English,22.37%,255,1140,+0.055
39,0,53165,Doc Redman,22.00%,205,932,+0.039
40,0,46414,Aaron Rai,21.66%,263,1214,+0.004
41,0,32139,Danny Willett,21.24%,157,739,+0.146
42,0,52374,Brandon Wu,20.73%,245,1182,+0.004
43,0,33399,Adam Hadwin,20.66%,233,1128,+0.009
44,0,47079,Harrison Endycott,20.57%,195,948,+0.056
45,0,47993,Denny McCarthy,20.49%,250,1220,-0.032
46,0,27644,Brian Harman,20.45%,225,1100,-0.080
46,0,49771,J.T. Poston,20.45%,245,1198,-0.065
48,0,30926,Chris Kirk,20.24%,215,1062,+0.047
49,0,28775,Nate Lashley,20.19%,237,1174,+0.059
50,0,40162,Justin Lower,20.18%,226,1120,+0.084
50,0,25818,Scott Piercy,20.18%,197,976,+0.046
52,0,52375,Doug Ghim,20.16%,208,1032,+0.058
