RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,28237,Rory McIlroy,84.38%,108,128,-0.23
2,0,52955,Ludvig Åberg,83.00%,83,100,-0.41
3,0,51491,Brandon Matthews,82.20%,97,118,-0.23
4,0,48699,Callum Tarren,77.27%,153,198,-0.18
5,0,52453,Nicolai Hojgaard,77.17%,71,92,-0.28
6,0,52372,Cameron Champ,76.92%,120,156,-0.24
7,0,33948,Byeong Hun An,76.67%,161,210,-0.17
8,0,31323,Gary Woodland,76.51%,127,166,-0.16
9,0,34255,Joseph Bramlett,76.25%,122,160,-0.27
10,0,58696,Peter Kuest,76.09%,70,92,-0.20
11,0,51070,Vincent Norrman,74.71%,127,170,-0.35
12,0,57366,Cameron Young,74.42%,128,172,-0.30
13,0,48867,Matti Schmid,74.05%,117,158,-0.26
14,0,51766,Wyndham Clark,73.53%,150,204,-0.19
15,0,27129,Luke List,73.00%,146,200,-0.18
16,0,51414,Brent Grant,72.62%,122,168,-0.28
17,0,49453,Trevor Cone,72.56%,119,164,-0.24
18,0,58168,Davis Thompson,72.40%,139,192,-0.24
19,0,45157,Cam Davis,71.98%,131,182,-0.23
20,0,45242,Kevin Yu,71.83%,102,142,-0.22
21,0,55893,Sam Stevens,71.70%,152,212,-0.30
22,0,40250,Taylor Pendrith,71.21%,141,198,-0.40
23,0,46601,Trey Mullinax,71.13%,101,142,-0.12
24,0,39546,Keith Mitchell,70.74%,133,188,-0.19
25,0,46970,Jon Rahm,70.42%,100,142,-0.29
26,0,52411,Kyle Westmoreland,70.25%,111,158,-0.23
27,0,46046,Scottie Scheffler,68.75%,121,176,-0.29
28,0,47504,Sam Burns,68.52%,111,162,-0.26
29,0,56762,Will Gordon,68.47%,152,222,-0.30
30,0,28420,Ryan Brehm,68.02%,117,172,-0.21
31,0,32333,Kevin Tway,67.82%,137,202,-0.20
32,0,54421,Garrick Higgo,67.48%,139,206,-0.18
33,0,32102,Rickie Fowler,67.19%,129,192,-0.29
34,0,39067,MJ Daffue,66.99%,138,206,-0.31
35,0,50188,S.H. Kim,66.67%,148,222,-0.19
35,0,36699,Patrick Rodgers,66.67%,136,204,-0.24
37,0,24502,Adam Scott,66.18%,90,136,-0.13
38,0,35450,Patrick Cantlay,65.97%,95,144,-0.39
39,0,36724,Augusto Núñez,65.88%,112,170,-0.33
40,0,33653,Thomas Detry,65.66%,130,198,-0.29
41,0,33448,Justin Thomas,65.28%,94,144,-0.26
42,0,27554,Scott Harrington,64.38%,103,160,-0.30
43,0,48117,Kurt Kitayama,63.89%,92,144,-0.03
44,0,47988,Nick Hardy,62.71%,148,236,-0.26
45,0,46717,Viktor Hovland,61.93%,109,176,-0.21
46,0,55454,Carl Yuan,61.90%,104,168,-0.32
47,0,49947,Taylor Moore,61.88%,125,202,-0.14
48,0,36799,Stephan Jaeger,61.07%,149,244,-0.31
49,0,29725,Tony Finau,60.71%,102,168,-0.22
50,0,47995,Davis Riley,60.29%,123,204,-0.37
51,0,25632,Jimmy Walker,59.88%,103,172,-0.06
52,0,35461,Beau Hossler,59.55%,131,220,-0.30
