RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,31560,Brian Stuard,8.90%,13,146,+0.31
2,0,27974,Sung Kang,6.12%,6,98,+0.50
3,0,35901,Paul Haley II,4.89%,9,184,+0.11
4,0,24140,Sean O'Hair,3.85%,4,104,-0.25
5,0,48887,Matt Wallace,3.57%,6,168,+1.00
6,0,33122,Russell Knox,3.51%,8,228,+0.25
7,0,51950,Max McGreevy,3.26%,6,184,+0.67
8,0,40058,Zac Blair,3.21%,5,156,+0.40
9,0,58967,Trevor Werbylo,3.01%,5,166,+0.20
10,0,22405,Justin Rose,2.94%,4,136,+0.50
11,0,39954,Cody Gribble,2.86%,4,140,+0.25
12,0,48117,Kurt Kitayama,2.78%,4,144,+0.75
13,0,30163,Henrik Norlander,2.75%,5,182,E
14,0,34076,Joel Dahmen,2.72%,5,184,+0.20
15,0,22371,Aaron Baddeley,2.50%,4,160,+0.50
15,0,34255,Joseph Bramlett,2.50%,4,160,-0.50
17,0,26596,Ryan Moore,2.41%,4,166,E
18,0,46435,Austin Cook,2.35%,4,170,+0.50
19,0,39997,Corey Conners,2.33%,4,172,E
20,0,32839,Hideki Matsuyama,2.30%,4,174,+0.25
21,0,34256,Andrew Putnam,2.25%,5,222,+0.20
22,0,32139,Danny Willett,2.24%,3,134,-0.33
23,0,19803,Ryan Armour,2.17%,4,184,E
24,0,25493,Nick Taylor,2.15%,4,186,E
25,0,48084,Wesley Bryan,2.08%,2,96,-0.50
26,0,34610,Matthias Schwab,1.94%,4,206,+0.75
27,0,46441,Robby Shelton,1.92%,4,208,+0.50
28,0,48119,Ben Taylor,1.89%,4,212,+0.25
29,0,54628,Lee Hodges,1.87%,4,214,+0.25
29,0,32791,K.H. Lee,1.87%,4,214,E
31,0,29725,Tony Finau,1.79%,3,168,+1.33
32,0,35310,Lanto Griffin,1.75%,2,114,E
33,0,27936,Martin Laird,1.70%,3,176,E
33,0,34409,David Lingmerth,1.70%,3,176,-0.33
35,0,24925,Jonathan Byrd,1.67%,2,120,+0.50
36,0,27349,Alex Noren,1.63%,3,184,+0.33
37,0,32102,Rickie Fowler,1.56%,3,192,+0.67
37,0,29420,Billy Horschel,1.56%,2,128,+0.50
37,0,28237,Rory McIlroy,1.56%,2,128,+0.50
40,0,57975,Harry Hall,1.47%,3,204,-0.67
41,0,30927,Brendon Todd,1.44%,3,208,+0.67
42,0,51890,Greyson Sigg,1.43%,3,210,+0.67
43,0,51634,Sahith Theegala,1.42%,3,212,+1.33
44,0,34046,Jordan Spieth,1.39%,2,144,E
45,0,40098,Matt Fitzpatrick,1.37%,2,146,E
