RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,31560,Brian Stuard,10.74%,75,698,+0.093
2,0,22405,Justin Rose,8.82%,66,748,+0.091
3,0,49766,Hank Lebioda,8.25%,48,582,+0.292
4,0,34256,Andrew Putnam,7.48%,93,1244,+0.054
5,0,34255,Joseph Bramlett,7.46%,70,938,+0.071
6,0,27095,Nick Watney,7.18%,55,766,+0.164
7,0,24140,Sean O'Hair,6.98%,30,430,-0.067
8,0,22371,Aaron Baddeley,6.93%,57,822,+0.035
9,0,19803,Ryan Armour,6.90%,64,928,+0.109
10,0,33408,Tyson Alexander,6.79%,66,972,+0.212
10,0,30927,Brendon Todd,6.79%,82,1208,+0.049
12,0,34099,Harris English,6.75%,77,1140,-0.026
13,0,36871,Matt NeSmith,6.57%,77,1172,E
14,0,56762,Will Gordon,6.48%,80,1234,+0.050
15,0,33653,Thomas Detry,6.42%,60,934,+0.050
15,0,27974,Sung Kang,6.42%,28,436,+0.107
17,0,47993,Denny McCarthy,6.39%,78,1220,-0.038
18,0,28252,Seamus Power,6.36%,58,912,+0.103
19,0,46435,Austin Cook,6.31%,49,776,+0.245
20,0,48084,Wesley Bryan,6.25%,27,432,+0.111
21,0,58967,Trevor Werbylo,6.22%,50,804,+0.120
22,0,27936,Martin Laird,6.13%,58,946,E
23,0,26476,Chez Reavie,6.12%,73,1192,+0.055
24,0,46441,Robby Shelton,6.07%,70,1154,+0.171
25,0,48887,Matt Wallace,6.05%,56,926,+0.232
26,0,54628,Lee Hodges,5.99%,74,1236,+0.068
27,0,29535,Brice Garnett,5.91%,52,880,E
28,0,32791,K.H. Lee,5.87%,67,1142,+0.134
29,0,29289,S.Y. Noh,5.78%,37,640,+0.027
30,0,46442,Maverick McNealy,5.77%,39,676,+0.231
31,0,34409,David Lingmerth,5.75%,47,817,+0.021
32,0,35901,Paul Haley II,5.74%,55,958,+0.200
33,0,51950,Max McGreevy,5.73%,51,890,+0.412
34,0,47347,Adam Schenk,5.72%,78,1364,+0.179
35,0,49298,Kramer Hickok,5.70%,62,1088,+0.097
36,0,57975,Harry Hall,5.65%,58,1026,-0.017
37,0,36801,Mark Hubbard,5.63%,70,1243,+0.129
38,0,40058,Zac Blair,5.61%,49,874,+0.245
39,0,36326,David Lipsky,5.60%,63,1124,+0.159
40,0,50493,Justin Suh,5.57%,75,1346,+0.120
41,0,46340,Alex Smalley,5.56%,72,1294,+0.083
42,0,32662,Michael Gligic,5.54%,40,722,+0.025
43,0,30163,Henrik Norlander,5.49%,52,948,+0.038
44,0,33122,Russell Knox,5.46%,64,1172,+0.094
45,0,35617,Martin Trainer,5.45%,29,532,+0.103
46,0,28420,Ryan Brehm,5.44%,51,938,+0.196
47,0,34076,Joel Dahmen,5.43%,55,1012,+0.073
47,0,32448,James Hahn,5.43%,52,958,+0.135
49,0,49947,Taylor Moore,5.42%,61,1126,-0.066
50,0,34610,Matthias Schwab,5.41%,61,1128,+0.213
51,0,25686,Jason Dufner,5.39%,52,964,+0.250
51,0,47128,Richy Werenski,5.39%,54,1002,-0.019
53,0,35449,Adam Long,5.34%,64,1198,+0.234
54,0,45522,Christiaan Bezuidenhout,5.25%,58,1104,+0.034
55,0,27963,Chris Stroud,5.24%,30,572,+0.133
56,0,30911,Tommy Fleetwood,5.23%,45,860,+0.044
57,0,46414,Aaron Rai,5.19%,63,1214,-0.063
58,0,29970,Dylan Frittelli,5.13%,42,818,+0.262
59,0,54421,Garrick Higgo,5.11%,64,1252,-0.016
59,0,29908,C.T. Pan,5.11%,28,548,E
61,0,34098,Russell Henley,5.10%,52,1020,-0.096
61,0,48117,Kurt Kitayama,5.10%,39,764,+0.077
63,0,34046,Jordan Spieth,5.09%,44,864,+0.159
64,0,48699,Callum Tarren,5.07%,58,1144,+0.241
65,0,24925,Jonathan Byrd,5.04%,26,516,+0.077
65,0,53165,Doc Redman,5.04%,47,932,+0.213
67,0,39954,Cody Gribble,5.03%,35,696,+0.057
68,0,47504,Sam Burns,5.02%,51,1015,-0.020
69,0,29420,Billy Horschel,5.01%,37,738,+0.108
70,0,32757,Patton Kizzire,5.00%,58,1160,+0.103
70,0,33204,Shane Lowry,5.00%,39,780,+0.154
72,0,25493,Nick Taylor,4.99%,52,1042,+0.212
73,0,48867,Matti Schmid,4.96%,36,726,+0.167
74,0,40115,Adam Svensson,4.93%,71,1440,+0.099
74,0,25632,Jimmy Walker,4.93%,52,1054,+0.077
76,0,27554,Scott Harrington,4.91%,39,794,+0.308
76,0,58696,Peter Kuest,4.91%,27,550,+0.111
76,0,40162,Justin Lower,4.91%,55,1120,-0.055
79,0,24024,Zach Johnson,4.88%,38,778,+0.211
80,0,33413,Ben Martin,4.87%,54,1108,+0.111
81,0,47995,Davis Riley,4.85%,51,1052,+0.216
81,0,48119,Ben Taylor,4.85%,57,1176,+0.281
