RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
134,0,30163,Henrik Norlander,4.60,239,11
136,0,39436,Joshua Creel,4.58,131,6
136,0,35532,Tom Hoge,4.58,262,12
136,0,35449,Adam Long,4.58,349,16
139,0,39058,Lucas Herbert,4.55,154,7
140,0,45526,Abraham Ancer,4.52,177,8
141,0,34563,Chesson Hadley,4.45,292,13
142,0,46402,Talor Gooch,4.44,225,10
143,0,46435,Austin Cook,4.42,226,10
143,0,51950,Max McGreevy,4.42,226,10
145,0,33122,Russell Knox,4.38,320,14
146,0,45522,Christiaan Bezuidenhout,4.33,231,10
147,0,36799,Stephan Jaeger,4.29,280,12
147,0,32757,Patton Kizzire,4.29,350,15
147,0,27214,Kevin Streelman,4.29,303,13
147,0,45540,Jared Wolfe,4.29,233,10
151,0,52375,Doug Ghim,4.23,284,12
152,0,34255,Joseph Bramlett,4.20,286,12
152,0,29420,Billy Horschel,4.20,238,10
154,0,26300,Matt Jones,4.19,191,8
155,0,46340,Alex Smalley,4.18,287,12
155,0,27064,Jhonattan Vegas,4.18,263,11
157,0,23108,Matt Kuchar,4.15,241,10
158,0,39997,Corey Conners,4.11,316,13
159,0,27649,Brandt Snedeker,4.09,220,9
160,0,54628,Lee Hodges,4.08,343,14
160,0,47529,Mito Pereira,4.08,319,13
162,0,31560,Brian Stuard,4.07,270,11
163,0,29518,Brendan Steele,3.97,277,11
164,0,24980,Scott Gutschewski,3.92,153,6
164,0,49964,Aaron Wise,3.92,306,12
166,0,36871,Matthew NeSmith,3.89,360,14
167,0,50525,Collin Morikawa,3.87,181,7
168,0,50095,Austin Smotherman,3.86,259,10
169,0,12716,Charley Hoffman,3.85,208,8
170,0,29974,Branden Grace,3.78,185,7
171,0,34431,Robert Streb,3.74,294,11
172,0,55708,Hayden Buckley,3.70,324,12
173,0,33597,Harry Higgs,3.69,271,10
174,0,37189,Harold Varner III,3.64,220,8
175,0,29289,S.Y. Noh,3.61,194,7
176,0,32333,Kevin Tway,3.59,306,11
177,0,40006,Erik van Rooyen,3.52,142,5
178,0,27936,Martin Laird,3.49,258,9
179,0,48822,Sebastián Muñoz,3.48,287,10
180,0,29926,Danny Lee,3.45,145,5
181,0,52372,Cameron Champ,3.30,212,7
182,0,21961,Charles Howell III,3.29,213,7
183,0,46717,Viktor Hovland,3.26,215,7
184,0,25198,Francesco Molinari,3.16,158,5
185,0,47347,Adam Schenk,3.09,324,10
186,0,37455,Si Woo Kim,3.06,327,10
187,0,23320,Ryan Palmer,3.03,198,6
188,0,31420,Anirban Lahiri,2.88,243,7
189,0,32662,Michael Gligic,2.82,248,7
190,0,27644,Brian Harman,2.52,318,8
191,0,47988,Nick Hardy,2.49,201,5
192,0,46414,Aaron Rai,2.27,309,7
193,0,30978,Kiradech Aphibarnrat,2.21,136,3
