RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,30711,Colt Knost,20.81,206,990,+1.31
2,0,40058,Zac Blair,21.08,238,1129,+1.43
3,0,08075,Jerry Kelly,22.33,186,833,+0.75
4,0,34409,David Lingmerth,22.95,193,841,+1.61
5,0,32200,Roberto Castro,23.17,285,1230,+0.70
6,0,24461,Thomas Aiken,23.24,155,667,+0.90
7,0,02206,David Toms,23.34,176,754,+0.57
8,0,34174,John Huh,24.13,264,1094,+1.02
9,0,33122,Russell Knox,24.20,220,909,+1.82
10,0,24507,Jason Bohn,24.30,200,823,+0.75
11,0,26289,Boo Weekley,24.34,241,990,+0.41
12,0,24357,K.J. Choi,24.35,225,924,+1.16
13,0,24024,Zach Johnson,24.56,251,1022,+0.52
14,0,31560,Brian Stuard,24.64,207,840,+1.40
15,0,26476,Chez Reavie,24.83,263,1059,+0.65
16,0,10809,Jim Furyk,25.04,154,615,+2.14
17,0,10213,Dicky Pride,25.09,143,570,+0.77
18,0,29476,Kyle Reifers,25.11,339,1350,+1.33
19,0,27466,Spencer Levin,25.13,288,1146,+1.25
20,0,25572,Graeme McDowell,25.24,159,630,+1.64
21,0,31646,Emiliano Grillo,25.29,259,1024,+1.24
22,0,20472,Alex Cejka,25.35,181,714,+1.10
22,0,26758,David Hearn,25.35,289,1140,+1.18
24,0,30110,Kyle Stanley,25.41,279,1098,+1.11
25,0,25900,Lucas Glover,25.43,237,932,+0.21
25,0,21878,Mark Wilson,25.43,194,763,+1.19
27,0,33410,Andrew Landry,25.54,118,462,+0.51
28,0,20572,Rod Pampling,25.58,132,516,+0.76
29,0,34262,Jon Curran,26.11,306,1172,+1.37
30,0,29926,Danny Lee,26.36,261,990,+1.26
31,0,26596,Ryan Moore,26.38,239,906,+0.88
32,0,29222,Billy Hurley III,26.40,217,822,+0.92
33,0,23108,Matt Kuchar,26.54,284,1070,+0.53
