RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,22056,Cameron Percy,245.2,688629.000,78
2,0,10809,Jim Furyk,246.6,355049.000,40
3,0,35545,Blayne Barber,249.2,986958.000,110
4,0,28089,Jason Day,249.4,844063.000,94
5,0,23353,J.J. Henry,249.6,907637.000,101
6,0,28237,Rory McIlroy,249.7,1132723.000,126
7,0,25240,D.A. Points,249.8,719429.000,80
8,0,36799,Stephan Jaeger,250.0,1206032.000,134
9,0,28132,Tyrone Van Aswegen,250.2,1242806.000,138
10,0,31202,William McGirt,250.5,1136234.000,126
11,0,32448,James Hahn,250.9,1327619.000,147
11,0,27936,Martin Laird,250.9,1156150.000,128
13,0,24846,Ricky Barnes,251.1,768228.000,85
13,0,30925,Dustin Johnson,251.1,1383224.000,153
15,0,29223,Sam Saunders,251.2,1419718.000,157
16,0,19803,Ryan Armour,251.4,1140243.000,126
17,0,24358,Robert Garrigus,251.5,1584518.000,175
18,0,26758,David Hearn,252.0,625959.000,69
19,0,33418,Shawn Stefani,252.1,1107394.000,122
20,0,35506,Mackenzie Hughes,252.2,1180146.000,130
21,0,23320,Ryan Palmer,252.4,1345029.000,148
22,0,37454,Whee Kim,252.5,963407.000,106
22,0,32150,Michael Thompson,252.5,827185.000,91
24,0,47347,Adam Schenk,252.7,1391930.000,153
24,0,25892,Steve Wheatcroft,252.7,900551.000,99
26,0,26300,Matt Jones,252.8,964796.000,106
27,0,40009,Dominic Bozzelli,252.9,1156440.000,127
28,0,25632,Jimmy Walker,253.0,1129413.000,124
29,0,35310,Lanto Griffin,253.1,1093322.000,120
30,0,30944,Jason Kokrak,253.2,2042201.000,224
31,0,32254,Xinjun Zhang,253.3,1185531.000,130
32,0,39328,Conrad Shindler,253.4,738943.000,81
33,0,29535,Brice Garnett,253.7,1342611.000,147
33,0,27141,J.B. Holmes,253.7,1488804.000,163
35,0,33204,Shane Lowry,253.9,1033028.000,113
36,0,48084,Wesley Bryan,254.1,539663.000,59
37,0,35891,Cameron Smith,254.4,1181404.000,129
37,0,37189,Harold Varner III,254.4,1510927.000,165
