RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,35658,Kris Ventura,87' 9",29479,28,491,0404001995
2,0,47993,Denny McCarthy,85' 4",66528,65,478,0503001867
3,0,48045,Michael Gellerman,83' 8",30120,30,471,4702002017
4,1,40098,Matt Fitzpatrick,83' 4",44016,44,467,4654001626
5,1,24138,Ian Poulter,82' 11",37797,38,466,4451001631
6,-2,47959,Bryson DeChambeau,82' 2",61102,62,461,4853002427
6,2,46442,Maverick McNealy,82' 2",57161,58,464,5004001905
8,-1,30927,Brendon Todd,81' 10",73648,75,460,4832001841
9,0,29221,Webb Simpson,80' 9",49410,51,452,4052002239
10,13,35506,Mackenzie Hughes,80' 8",59991,62,457,0501001903
11,5,30925,Dustin Johnson,80' 5",45362,47,454,1401001993
12,-2,29268,Bronson Burgoon,80' 4",43368,45,454,4452001599
13,-2,34256,Andrew Putnam,80' 3",30808,32,449,0403001618
14,2,29478,Kevin Kisner,80' 0",53766,56,450,4834002143
14,-2,51894,Vince Whaley,80' 0",26886,28,446,4903001661
16,-3,31323,Gary Woodland,79' 10",50780,53,447,1402001988
17,-3,32640,Troy Merritt,79' 6",52455,55,447,1104001506
18,3,25396,Kevin Na,79' 4",56149,59,446,0402002425
19,-3,45157,Cam Davis,79' 3",43754,46,448,2302002089
20,-1,30911,Tommy Fleetwood,79' 0",26534,28,450,4902001687
21,-1,39546,Keith Mitchell,78' 11",47368,50,445,5001001738
22,0,51766,Wyndham Clark,78' 8",43427,46,442,4902001734
23,2,35461,Beau Hossler,78' 3",46035,49,439,1704001866
24,2,40009,Dominic Bozzelli,78' 1",22484,24,437,0202001758
25,2,49771,J.T. Poston,77' 11",58893,63,437,1802001969
25,2,47128,Richy Werenski,77' 11",45825,49,437,3952001857
27,2,28252,Seamus Power,77' 9",19602,21,441,0201001858
28,2,34466,Peter Malnati,77' 6",43705,47,437,0301001723
29,-6,46046,Scottie Scheffler,77' 5",65041,70,436,4651001800
30,1,27554,Scott Harrington,77' 4",50113,54,434,2402002080
31,1,32757,Patton Kizzire,77' 3",43561,47,433,1103001952
32,1,32366,Kevin Chappell,77' 2",29645,32,437,4153002023
32,3,34360,Patrick Reed,77' 2",60208,65,434,2202001808
34,0,39953,Chase Seiffert,77' 1",33314,36,433,1501001688
35,1,36699,Patrick Rodgers,76' 8",68973,75,430,1804001647
36,7,35310,Lanto Griffin,76' 6",73435,80,431,4152002123
37,0,27556,Ted Potter Jr.,76' 4",31132,34,425,0201001656
38,0,34563,Chesson Hadley,76' 3",42086,46,428,3953001573
38,0,35449,Adam Long,76' 3",64949,71,430,2404001732
40,0,26758,David Hearn,76' 2",32887,36,425,0201001834
41,28,34363,Tyrrell Hatton,76' 1",31046,34,429,4053001677
42,-1,24361,Pat Perez,76' 0",36490,40,426,0401001935
43,0,27649,Brandt Snedeker,75' 11",45534,50,429,1504001967
44,1,46435,Austin Cook,75' 10",43675,48,428,0401001960
44,11,34099,Harris English,75' 10",61901,68,428,4854002076
44,1,32618,Rhein Gibson,75' 10",30936,34,429,1102001619
44,1,53165,Doc Redman,75' 10",63715,70,425,2301001591
44,1,49964,Aaron Wise,75' 10",30935,34,426,2001001525
49,1,46402,Talor Gooch,75' 8",68114,75,425,0501001875
50,-9,40026,Daniel Berger,75' 7",50769,56,426,3951001717
50,1,34255,Joseph Bramlett,75' 7",35361,39,423,4102001825
50,1,37455,Si Woo Kim,75' 7",54390,60,425,4901001605
53,0,29926,Danny Lee,75' 6",49813,55,424,2402001610
