RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,23338,David Gossett,2,26
2,0,01161,Mark Calcavecchia,1,11
2,0,12826,Paul Claxton,1,12
2,0,19972,José Coceres,1,9
2,0,12823,Carlos Franco,1,21
2,0,01378,David Frost,1,9
2,0,19846,Brian Gay,1,17
2,0,08545,Glen Hnatiuk,1,16
2,0,01553,John Huston,1,15
2,0,01569,Peter Jacobsen,1,11
2,0,20094,Jonathan Kaye,1,14
2,0,01619,Skip Kendall,1,17
2,0,23108,Matt Kuchar,1,9
2,0,20502,Michael Long,1,16
2,0,01723,Andrew Magee,1,14
2,0,12680,Shigeki Maruyama,1,11
2,0,20572,Rod Pampling,1,11
2,0,12660,Jesper Parnevik,1,10
2,0,20127,Chris Riley,1,11
2,0,20645,John Senden,1,18
2,0,08375,Paul Stankowski,1,19
2,0,02170,Hal Sutton,1,15
2,0,20436,Garrett Willis,1,19
