RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,06373,José María Olazábal,27.19,435,16
2,0,01887,Mark O'Meara,27.59,469,17
3,0,20593,Greg Chalmers,27.77,611,22
4,0,19846,Brian Gay,27.87,864,31
5,0,02214,Kirk Triplett,27.91,642,23
6,0,25345,Carl Pettersson,27.96,755,27
6,0,06527,Steve Stricker,27.96,727,26
8,0,01024,Billy Andrade,27.97,867,31
9,0,01329,Brad Faxon,28.00,728,26
10,0,23541,Ben Crane,28.07,758,27
11,0,10423,Mike Weir,28.10,590,21
12,0,24925,Jonathan Byrd,28.12,731,26
13,0,10201,Matt Gogel,28.13,675,24
14,0,01619,Skip Kendall,28.14,816,29
15,0,20433,Mark Hensby,28.18,789,28
16,0,22371,Aaron Baddeley,28.19,733,26
17,0,22548,Patrick Sheehan,28.22,903,32
18,0,01928,Corey Pavin,28.23,621,22
19,0,02246,Duffy Waldorf,28.26,650,23
20,0,23552,Hank Kuehne,28.28,820,29
21,0,12660,Jesper Parnevik,28.29,679,24
22,0,01473,Todd Hamilton,28.31,736,26
23,0,19825,Darren Clarke,28.33,425,15
23,0,02010,Loren Roberts,28.33,595,21
25,0,21731,Freddie Jacobson,28.39,653,23
26,0,10585,Scott McCarron,28.42,739,26
27,0,10107,Deane Pappas,28.43,597,21
27,0,01968,Nick Price,28.43,398,14
27,0,20127,Chris Riley,28.43,597,21
30,0,12680,Shigeki Maruyama,28.44,711,25
30,0,01938,David Peoples,28.44,711,25
32,0,01132,Mark Brooks,28.47,854,30
33,0,06251,Chris DiMarco,28.48,712,25
34,0,01761,Len Mattiace,28.52,713,25
35,0,24024,Zach Johnson,28.55,828,29
35,0,12602,Dean Wilson,28.55,942,33
37,0,08793,Tiger Woods,28.56,514,18
38,0,01161,Mark Calcavecchia,28.57,657,23
39,0,01948,Tim Petrovic,28.58,886,31
40,0,01388,Robert Gamez,28.61,887,31
41,0,01457,Jay Haas,28.62,601,21
42,0,07363,Craig Bowden,28.63,859,30
43,0,06522,Ernie Els,28.67,430,15
44,0,01381,Fred Funk,28.68,803,28
45,0,23497,Tag Ridings,28.71,488,17
45,0,06595,Kevin Sutherland,28.71,689,24
47,0,20850,Daniel Chopra,28.72,919,32
47,0,26420,Richard Johnson,28.72,919,32
49,0,01313,Steve Elkington,28.74,546,19
50,0,20663,Brenden Pappas,28.76,949,33
51,0,20229,Stewart Cink,28.77,748,26
52,0,02239,Scott Verplank,28.78,662,23
53,0,19972,José Coceres,28.79,547,19
53,0,01666,Bernhard Langer,28.79,403,14
55,0,25396,Kevin Na,28.80,864,30
55,0,01920,Craig Parry,28.80,432,15
57,0,21949,Joe Ogilvie,28.81,893,31
58,0,01249,John Daly,28.82,634,22
59,0,01042,Paul Azinger,28.83,663,23
59,0,06809,Bob Burns,28.83,836,29
59,0,06078,Esteban Toledo,28.83,1009,35
62,0,01320,Bob Estes,28.86,635,22
63,0,08931,Glen Day,28.88,924,32
63,0,06613,Tommy Tolles,28.88,722,25
65,0,08075,Jerry Kelly,28.89,809,28
65,0,02099,Scott Simpson,28.89,520,18
67,0,07457,Steve Flesch,28.90,838,29
67,0,01927,Dennis Paulson,28.90,607,21
67,0,01941,Tom Pernice Jr.,28.90,867,30
70,0,10425,Jay Williamson,28.91,925,32
71,0,08835,Kris Cox,28.92,723,25
71,0,01378,David Frost,28.92,752,26
73,0,10860,Justin Leonard,28.96,666,23
73,0,02223,Bob Tway,28.96,695,24
75,0,01139,Olin Browne,28.97,840,29
76,0,20157,Retief Goosen,29.00,435,15
76,0,12753,David Morland IV,29.00,783,27
76,0,23320,Ryan Palmer,29.00,928,32
79,0,12760,Danny Ellis,29.04,726,25
80,0,02206,David Toms,29.05,639,22
81,0,19881,Robert Damron,29.07,814,28
81,0,24502,Adam Scott,29.07,436,15
83,0,12823,Carlos Franco,29.08,756,26
83,0,21805,Harrison Frazar,29.08,698,24
85,0,07749,Brett Quigley,29.10,873,30
86,0,22913,John Rollins,29.11,786,27
87,0,12652,Cameron Beckman,29.17,846,29
87,0,02101,Joey Sindelar,29.17,875,30
89,0,01810,Phil Mickelson,29.19,613,21
90,0,22046,Geoff Ogilvy,29.20,730,25
90,0,22405,Justin Rose,29.20,584,20
92,0,21407,Arjun Atwal,29.21,847,29
93,0,20098,Stuart Appleby,29.22,672,23
93,0,22621,Ben Curtis,29.22,526,18
95,0,01142,Bart Bryant,29.23,643,22
96,0,02002,John Riegger,29.24,497,17
97,0,20121,Todd Fischer,29.25,936,32
98,0,24357,K.J. Choi,29.26,673,23
98,0,20378,Mathias Grönberg,29.26,907,31
98,0,20548,Hidemichi Tanaka,29.26,790,27
101,0,06004,Stephen Ames,29.27,761,26
101,0,23135,Tim Clark,29.27,761,26
103,0,01157,Tom Byrum,29.28,732,25
103,0,23621,Rory Sabbatini,29.28,732,25
105,0,01771,Blaine McCallister,29.30,791,27
106,0,21633,Steve Allan,29.31,938,32
106,0,12705,Cliff Kresge,29.31,938,32
108,0,20472,Alex Cejka,29.32,645,22
108,0,01261,Jay Delsing,29.32,733,25
110,0,01127,Danny Briggs,29.33,792,27
110,0,01219,John Cook,29.33,528,18
110,0,02104,Jeff Sluman,29.33,792,27
113,0,07223,Brian Bateman,29.35,675,23
114,0,24507,Jason Bohn,29.36,822,28
114,0,01203,Russ Cochran,29.36,646,22
114,0,08385,Omar Uresti,29.36,822,28
117,0,23307,Roger Tambellini,29.37,793,27
118,0,20104,Ken Duke,29.38,852,29
118,0,20585,Niclas Fasth,29.38,617,21
118,0,11032,Frank Lickliter II,29.38,764,26
118,0,23325,Vaughn Taylor,29.38,764,26
122,0,25686,Jason Dufner,29.39,823,28
122,0,01677,Tom Lehman,29.39,529,18
124,0,01226,Fred Couples,29.40,441,15
125,0,06197,Michael Allen,29.41,794,27
125,0,20029,Notah Begay III,29.41,647,22
127,0,08123,Jeff Brehaut,29.42,971,33
128,0,01707,Steve Lowery,29.44,795,27
128,0,20572,Rod Pampling,29.44,736,25
130,0,07721,Pat Bates,29.48,914,31
130,0,25237,Kevin Muncrief,29.48,619,21
130,0,24361,Pat Perez,29.48,914,31
133,0,08537,J.P. Hayes,29.50,767,26
133,0,21961,Charles Howell III,29.50,826,28
135,0,06515,Shaun Micheel,29.54,768,26
136,0,12782,Tim Herron,29.56,739,25
137,0,23353,J.J. Henry,29.57,887,30
137,0,24781,Hunter Mahan,29.57,887,30
139,0,10885,Robert Allenby,29.58,710,24
139,0,10733,Kent Jones,29.58,917,31
141,0,01035,Tommy Armour III,29.59,799,27
141,0,21646,David Branshaw,29.59,858,29
143,0,23614,Rich Beem,29.62,770,26
143,0,24290,D.J. Brigman,29.62,770,26
143,0,06575,Dudley Hart,29.62,622,21
143,0,10912,Craig Perks,29.62,770,26
147,0,01361,Dan Forsman,29.63,800,27
148,0,01945,Kenny Perry,29.64,652,22
149,0,01797,Rocco Mediate,29.65,504,17
149,0,20580,Andre Stolz,29.65,593,20
151,0,01706,Davis Love III,29.67,623,21
152,0,23338,David Gossett,29.68,742,25
152,0,23063,Scott Hend,29.68,831,28
152,0,01685,J.L. Lewis,29.68,920,31
152,0,10213,Dicky Pride,29.68,653,22
152,0,21878,Mark Wilson,29.68,564,19
157,0,20628,Arron Oberholser,29.73,654,22
157,0,22293,Heath Slocum,29.73,892,30
159,0,01926,Steve Pate,29.74,684,23
159,0,21959,Ted Purdy,29.74,1011,34
161,0,06567,Vijay Singh,29.75,833,28
162,0,12394,Tom Carter,29.76,1012,34
163,0,21893,Brian Kortan,29.78,685,23
164,0,12645,Brent Geiberger,29.79,864,29
165,0,23613,Rich Barcelo,29.80,745,25
166,0,06332,Neal Lancaster,29.81,924,31
166,0,01766,Billy Mayfair,29.81,924,31
168,0,08881,Tripp Isenhour,29.85,597,20
169,0,19824,Craig Barlow,29.88,717,24
169,0,06214,Guy Boros,29.88,717,24
169,0,01527,Scott Hoch,29.88,478,16
169,0,08339,Spike McRoy,29.88,956,32
173,0,01553,John Huston,29.89,538,18
174,0,26287,Roland Thatcher,29.91,688,23
175,0,11123,Chris Couch,29.92,718,24
176,0,07939,Dan Olsen,29.93,868,29
176,0,02049,Gene Sauers,29.93,868,29
178,0,20382,Stephen Leaney,29.95,659,22
179,0,20094,Jonathan Kaye,29.96,689,23
179,0,23108,Matt Kuchar,29.96,839,28
181,0,23623,Bo Van Pelt,29.97,869,29
182,0,23983,Luke Donald,30.00,630,21
183,0,20645,John Senden,30.07,812,27
184,0,12682,Hirofumi Miyase,30.08,782,26
185,0,07867,Woody Austin,30.10,873,29
186,0,08337,Mike Heinen,30.12,512,17
186,0,02106,Chris Smith,30.12,994,33
188,0,12510,Chad Campbell,30.23,786,26
188,0,20634,Peter Lonard,30.23,665,22
190,0,25900,Lucas Glover,30.28,878,29
191,0,01724,Jeff Maggert,30.30,606,20
192,0,20498,Briny Baird,30.32,849,28
193,0,01577,Lee Janzen,30.33,728,24
194,0,06621,Joe Durant,30.46,792,26
195,0,02245,Grant Waite,30.56,825,27
196,0,21209,Sergio Garcia,30.59,520,17
