RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 2 PUTTS,TOTAL ROUNDS
1,0,20498,Briny Baird,11.15,1082,97
2,0,02002,John Riegger,10.98,582,53
3,0,06621,Joe Durant,10.96,932,85
4,0,02106,Chris Smith,10.91,1146,105
5,0,23983,Luke Donald,10.79,777,72
5,0,20634,Peter Lonard,10.79,712,66
5,0,21878,Mark Wilson,10.79,669,62
8,0,10885,Robert Allenby,10.75,946,88
8,0,01766,Billy Mayfair,10.75,1129,105
10,0,12510,Chad Campbell,10.72,997,93
10,0,21209,Sergio Garcia,10.72,686,64
12,0,10733,Kent Jones,10.71,1039,97
12,0,20645,John Senden,10.71,1028,96
12,0,02245,Grant Waite,10.71,825,77
15,0,08881,Tripp Isenhour,10.70,567,53
16,0,11123,Chris Couch,10.69,588,55
17,0,21646,David Branshaw,10.66,874,82
17,0,01219,John Cook,10.66,565,53
19,0,01142,Bart Bryant,10.64,734,69
19,0,20382,Stephen Leaney,10.64,798,75
21,0,01035,Tommy Armour III,10.62,924,87
21,0,01945,Kenny Perry,10.62,807,76
23,0,01203,Russ Cochran,10.61,647,61
23,0,20548,Hidemichi Tanaka,10.61,944,89
25,0,02101,Joey Sindelar,10.60,1039,98
26,0,25900,Lucas Glover,10.58,963,91
27,0,23353,J.J. Henry,10.57,1089,103
28,0,25237,Kevin Muncrief,10.56,528,50
29,0,12823,Carlos Franco,10.55,1044,99
29,0,21961,Charles Howell III,10.55,1066,101
31,0,22293,Heath Slocum,10.54,949,90
32,0,02104,Jeff Sluman,10.53,1021,97
33,0,08123,Jeff Brehaut,10.51,1093,104
33,0,01139,Olin Browne,10.51,925,88
33,0,23307,Roger Tambellini,10.51,820,78
36,0,12394,Tom Carter,10.49,1154,110
36,0,01527,Scott Hoch,10.49,535,51
36,0,20094,Jonathan Kaye,10.49,797,76
36,0,20628,Arron Oberholser,10.49,766,73
40,0,02049,Gene Sauers,10.47,848,81
40,0,06567,Vijay Singh,10.47,1152,110
42,0,07721,Pat Bates,10.46,1015,97
42,0,01127,Danny Briggs,10.46,847,81
42,0,01313,Steve Elkington,10.46,638,61
42,0,01771,Blaine McCallister,10.46,711,68
46,0,07939,Dan Olsen,10.45,763,73
47,0,19824,Craig Barlow,10.44,814,78
47,0,24507,Jason Bohn,10.44,992,95
47,0,01797,Rocco Mediate,10.44,501,48
47,0,12682,Hirofumi Miyase,10.44,658,63
51,0,23614,Rich Beem,10.43,803,77
