RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,30925,Dustin Johnson,25.81,381,1476,43
2,0,28237,Rory McIlroy,25.27,282,1116,11
3,0,28089,Jason Day,24.24,301,1242,53
4,0,34046,Jordan Spieth,24.20,331,1368,145
5,0,36689,Brooks Koepka,23.73,299,1260,59
6,0,32839,Hideki Matsuyama,23.52,309,1314,35
7,0,23320,Ryan Palmer,23.00,356,1548,42
8,0,01810,Phil Mickelson,22.99,298,1296,84
9,0,24502,Adam Scott,22.88,313,1368,3
10,0,24358,Robert Garrigus,22.82,267,1170,14
10,0,27141,J.B. Holmes,22.82,304,1332,105
12,0,35300,Andrew Loupe,22.74,307,1350,148
13,0,23108,Matt Kuchar,22.05,381,1728,43
14,0,25632,Jimmy Walker,22.02,325,1476,135
15,0,32150,Michael Thompson,21.98,269,1224,79
16,0,21209,Sergio Garcia,21.90,201,918,6
17,0,20472,Alex Cejka,21.89,264,1206,39
18,0,34360,Patrick Reed,21.84,397,1818,116
19,0,21961,Charles Howell III,21.79,357,1638,38
19,0,24140,Sean O'Hair,21.79,349,1602,54
19,0,34264,Hudson Swafford,21.79,408,1872,22
22,0,33399,Adam Hadwin,21.74,364,1674,83
23,0,22405,Justin Rose,21.68,242,1116,40
24,0,40026,Daniel Berger,21.66,347,1602,46
25,0,46440,Smylie Kaufman,21.65,343,1584,74
26,0,26331,Charl Schwartzel,21.59,272,1260,24
27,0,27436,Graham DeLaet,21.55,256,1188,28
27,0,29461,Jamie Lovemark,21.55,353,1638,99
29,0,33413,Ben Martin,21.53,341,1584,64
30,0,25396,Kevin Na,21.51,360,1674,64
31,0,33448,Justin Thomas,21.47,371,1728,94
32,0,25686,Jason Dufner,21.41,393,1836,6
32,0,25900,Lucas Glover,21.41,289,1350,1
32,0,27649,Brandt Snedeker,21.41,343,1602,90
35,0,31646,Emiliano Grillo,21.36,346,1620,27
36,0,29478,Kevin Kisner,21.34,361,1692,104
36,0,25804,Bubba Watson,21.34,265,1242,18
38,0,27129,Luke List,21.28,295,1386,54
39,0,24846,Ricky Barnes,21.27,356,1674,88
40,0,27895,Jonas Blixt,21.20,290,1368,178
41,0,32102,Rickie Fowler,21.14,293,1386,15
42,0,21731,Freddie Jacobson,21.12,327,1548,110
42,0,26596,Ryan Moore,21.12,308,1458,87
44,0,25834,Daniel Summerhays,21.10,376,1782,156
45,0,36699,Patrick Rodgers,21.05,322,1530,16
46,0,37455,Si Woo Kim,21.00,412,1962,112
47,0,32200,Roberto Castro,20.96,366,1746,19
