RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,36689,Brooks Koepka,28.77
2,0,28089,Jason Day,26.99
3,0,24358,Robert Garrigus,26.98
4,0,01810,Phil Mickelson,26.83
5,0,37454,Whee Kim,26.34
6,0,25349,Tim Wilkinson,26.14
7,0,33399,Adam Hadwin,25.40
8,0,40026,Daniel Berger,25.32
9,0,34264,Hudson Swafford,25.09
10,0,29420,Billy Horschel,24.64
11,0,23325,Vaughn Taylor,24.32
12,0,22371,Aaron Baddeley,24.24
13,0,23320,Ryan Palmer,24.11
14,0,21209,Sergio Garcia,24.09
15,0,27064,Jhonattan Vegas,24.03
16,0,20691,Greg Owen,23.77
17,0,34098,Russell Henley,23.76
18,0,35451,Scott Pinckney,23.66
19,0,25364,Paul Casey,23.53
20,0,20157,Retief Goosen,23.45
21,0,33413,Ben Martin,23.35
21,0,25804,Bubba Watson,23.35
23,0,21731,Freddie Jacobson,23.28
24,0,29461,Jamie Lovemark,23.27
25,0,06527,Steve Stricker,23.26
26,0,24461,Thomas Aiken,23.16
27,0,20645,John Senden,23.00
28,0,34563,Chesson Hadley,22.98
29,0,35732,Wes Roach,22.94
30,0,27141,J.B. Holmes,22.87
30,0,32839,Hideki Matsuyama,22.87
30,0,34046,Jordan Spieth,22.87
33,0,23621,Rory Sabbatini,22.86
34,0,28237,Rory McIlroy,22.84
35,0,37189,Harold Varner III,22.74
36,0,27436,Graham DeLaet,22.66
37,0,26476,Chez Reavie,22.49
38,0,33419,Cameron Tringale,22.37
39,0,33410,Andrew Landry,22.31
40,0,32150,Michael Thompson,22.17
41,0,27936,Martin Laird,22.07
42,0,32200,Roberto Castro,22.03
43,0,24507,Jason Bohn,21.98
44,0,30692,Scott Stallings,21.94
45,0,32102,Rickie Fowler,21.89
45,0,29223,Sam Saunders,21.89
47,0,12716,Charley Hoffman,21.84
48,0,24502,Adam Scott,21.81
49,0,24846,Ricky Barnes,21.76
50,0,31646,Emiliano Grillo,21.65
51,0,25632,Jimmy Walker,21.54
52,0,06522,Ernie Els,21.52
52,0,31323,Gary Woodland,21.52
54,0,35300,Andrew Loupe,21.26
55,0,33448,Justin Thomas,21.25
56,0,28158,Steve Marino,21.21
56,0,02206,David Toms,21.21
58,0,32366,Kevin Chappell,21.20
58,0,34174,John Huh,21.20
60,0,20104,Ken Duke,21.18
61,0,32876,Martin Piller,21.15
62,0,25834,Daniel Summerhays,21.09
63,0,35545,Blayne Barber,21.05
64,0,23108,Matt Kuchar,20.83
64,0,23800,Bryce Molder,20.83
66,0,29745,Tyler Aldridge,20.80
66,0,26289,Boo Weekley,20.80
68,0,26596,Ryan Moore,20.79
69,0,24140,Sean O'Hair,20.78
70,0,29478,Kevin Kisner,20.75
71,0,27895,Jonas Blixt,20.74
72,0,29974,Branden Grace,20.63
73,0,34265,Will Wilcox,20.62
74,0,27974,Sung Kang,20.58
75,0,36699,Patrick Rodgers,20.52
76,0,36801,Mark Hubbard,20.51
77,0,26300,Matt Jones,20.50
78,0,27129,Luke List,20.47
79,0,25572,Graeme McDowell,20.45
80,0,34099,Harris English,20.44
81,0,29518,Brendan Steele,20.43
82,0,45526,Abraham Ancer,20.38
83,0,29221,Webb Simpson,20.31
84,0,31420,Anirban Lahiri,20.28
85,0,29476,Kyle Reifers,20.27
86,0,29485,Brett Stegmaier,20.17
87,0,20472,Alex Cejka,20.13
88,0,34409,David Lingmerth,20.09
88,0,25493,Nick Taylor,20.09
90,0,27644,Brian Harman,20.07
91,0,32757,Patton Kizzire,20.00
91,0,28132,Tyrone Van Aswegen,20.00
93,0,30110,Kyle Stanley,19.92
94,0,20098,Stuart Appleby,19.89
95,0,26329,Louis Oosthuizen,19.88
96,0,35539,Luke Guthrie,19.86
97,0,27466,Spencer Levin,19.77
98,0,32448,James Hahn,19.62
99,0,24024,Zach Johnson,19.56
100,0,29725,Tony Finau,19.55
100,0,21961,Charles Howell III,19.55
102,0,40058,Zac Blair,19.47
103,0,30163,Henrik Norlander,19.43
104,0,34261,Scott Langley,19.41
105,0,26331,Charl Schwartzel,19.37
