RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,20104,Ken Duke,1.31,11,837,+0.82
2,0,10809,Jim Furyk,1.64,10,610,+0.50
3,0,40058,Zac Blair,1.68,19,1131,+0.32
4,0,19803,Ryan Armour,1.75,12,685,+0.42
5,0,29478,Kevin Kisner,1.77,19,1076,+0.53
6,0,25892,Steve Wheatcroft,1.80,10,555,E
7,0,22986,Søren Kjeldsen,1.91,9,472,+0.11
8,0,31202,William McGirt,1.98,20,1011,+0.25
9,0,26476,Chez Reavie,1.99,23,1155,+0.52
10,0,25364,Paul Casey,2.02,20,992,+0.65
11,0,30110,Kyle Stanley,2.06,27,1310,+0.44
12,0,26596,Ryan Moore,2.09,19,908,+0.42
13,0,31646,Emiliano Grillo,2.17,20,922,+0.45
14,0,27466,Spencer Levin,2.25,21,935,+0.67
15,0,46732,Rick Lamb,2.27,12,529,+0.67
16,0,46443,Brian Campbell,2.28,13,571,+0.92
16,0,12510,Chad Campbell,2.28,27,1182,+0.48
18,0,23325,Vaughn Taylor,2.35,25,1066,+0.28
19,0,20771,Steven Alker,2.53,18,712,+0.72
20,0,23621,Rory Sabbatini,2.58,19,736,+0.47
21,0,27644,Brian Harman,2.59,31,1196,+0.35
21,0,31560,Brian Stuard,2.59,25,965,+0.64
23,0,25198,Francesco Molinari,2.67,22,824,+0.18
24,0,35110,Brett Drewitt,2.68,16,596,+1.19
25,0,25572,Graeme McDowell,2.73,19,695,+0.37
26,0,29221,Webb Simpson,2.74,32,1170,+0.50
27,0,33413,Ben Martin,2.78,27,970,+0.44
28,0,23541,Ben Crane,2.82,27,958,+0.48
28,0,34358,Jonathan Randolph,2.82,20,710,+0.60
30,0,24024,Zach Johnson,2.85,27,949,+0.48
31,0,20572,Rod Pampling,2.93,27,920,+0.48
32,0,26758,David Hearn,2.94,29,988,+0.59
33,0,34466,Peter Malnati,2.96,30,1013,+0.70
33,0,25240,D.A. Points,2.96,24,811,+0.63
35,0,27963,Chris Stroud,2.99,20,668,+0.80
36,0,20472,Alex Cejka,3.02,26,862,+0.65
36,0,19846,Brian Gay,3.02,29,961,+1.00
38,0,47128,Richy Werenski,3.06,26,850,+0.77
39,0,27958,Ryan Blaum,3.07,35,1139,+0.63
40,0,23108,Matt Kuchar,3.09,33,1068,+0.45
41,0,21209,Sergio Garcia,3.13,20,640,+0.25
42,0,26289,Boo Weekley,3.17,27,852,+0.74
43,0,32200,Roberto Castro,3.19,24,753,+0.79
44,0,34174,John Huh,3.21,34,1058,+0.32
45,0,29479,Scott Brown,3.22,35,1087,+0.54
45,0,29476,Kyle Reifers,3.22,33,1026,+0.67
47,0,29420,Billy Horschel,3.24,36,1111,+0.39
48,0,34046,Jordan Spieth,3.27,31,949,+0.42
49,0,25349,Tim Wilkinson,3.30,21,636,+0.67
50,0,29908,C.T. Pan,3.31,35,1059,+0.69
51,0,23353,J.J. Henry,3.36,35,1041,+0.29
52,0,29485,Brett Stegmaier,3.37,27,801,+0.70
53,0,33399,Adam Hadwin,3.39,37,1093,+0.35
54,0,33204,Shane Lowry,3.40,18,529,+0.33
55,0,24781,Hunter Mahan,3.42,28,818,+0.79
55,0,29223,Sam Saunders,3.42,29,849,+0.66
57,0,33122,Russell Knox,3.44,26,755,+0.62
58,0,12716,Charley Hoffman,3.48,45,1294,+0.27
59,0,28093,Miguel Angel Carballo,3.52,21,597,+0.81
60,0,31557,Jim Herman,3.58,33,923,+0.42
61,0,24140,Sean O'Hair,3.60,35,971,+0.43
62,0,24924,Bill Haas,3.61,36,998,+0.11
63,0,37278,Nicholas Lindheim,3.62,22,607,+0.82
64,0,24361,Pat Perez,3.63,37,1020,+0.38
65,0,28679,Fabián Gómez,3.64,26,714,+0.31
66,0,27214,Kevin Streelman,3.68,40,1086,+0.60
67,0,25396,Kevin Na,3.70,34,918,+0.38
68,0,25493,Nick Taylor,3.73,43,1152,+0.19
69,0,25900,Lucas Glover,3.76,45,1196,+0.31
70,0,47959,Bryson DeChambeau,3.79,38,1003,+0.53
70,0,29740,Brad Fritsch,3.79,22,581,+0.41
70,0,22056,Cameron Percy,3.79,29,765,+0.86
73,0,35879,Kelly Kraft,3.80,34,895,+0.65
73,0,27936,Martin Laird,3.80,38,1000,+0.42
75,0,30692,Scott Stallings,3.83,36,940,+0.92
75,0,31323,Gary Woodland,3.83,36,941,+0.31
77,0,24357,K.J. Choi,3.86,29,752,+0.83
78,0,25686,Jason Dufner,3.88,39,1005,+0.72
78,0,32102,Rickie Fowler,3.88,34,876,+0.68
78,0,23497,Tag Ridings,3.88,27,696,+0.74
81,0,29926,Danny Lee,3.90,41,1051,+0.83
81,0,34264,Hudson Swafford,3.90,41,1050,+0.54
83,0,35532,Tom Hoge,3.91,21,537,+0.62
83,0,32640,Troy Merritt,3.91,38,972,+0.82
83,0,26951,Johnson Wagner,3.91,31,792,+0.68
86,0,34098,Russell Henley,3.93,47,1196,+0.47
87,0,22046,Geoff Ogilvy,3.98,37,930,+0.46
88,0,27770,Camilo Villegas,3.99,34,853,+0.56
89,0,27064,Jhonattan Vegas,4.04,40,991,+0.48
90,0,24507,Jason Bohn,4.06,35,862,+0.89
90,0,49771,J.T. Poston,4.06,41,1011,+0.76
92,0,26329,Louis Oosthuizen,4.07,29,712,+0.17
93,0,33141,Keegan Bradley,4.10,52,1267,+0.54
94,0,39324,J.J. Spaun,4.11,41,998,+0.54
95,0,26851,Marc Leishman,4.14,42,1014,+0.36
96,0,24502,Adam Scott,4.17,24,576,+0.75
97,0,29720,Andres Gonzales,4.18,33,790,+0.88
98,0,34360,Patrick Reed,4.19,49,1169,+0.35
99,0,20229,Stewart Cink,4.20,47,1120,+0.23
100,0,27649,Brandt Snedeker,4.22,25,592,+0.40
101,0,20593,Greg Chalmers,4.23,40,946,+0.45
102,0,32448,James Hahn,4.24,48,1131,+0.46
103,0,27436,Graham DeLaet,4.26,42,985,+0.48
104,0,25720,Chad Collins,4.28,32,747,+0.50
105,0,35545,Blayne Barber,4.30,40,931,+0.53
106,0,48822,Sebastián Muñoz,4.31,23,534,+0.65
107,0,35506,Mackenzie Hughes,4.33,58,1338,+0.34
108,0,25804,Bubba Watson,4.34,32,737,+0.75
109,0,40026,Daniel Berger,4.36,42,963,+0.10
109,0,48081,Xander Schauffele,4.36,45,1031,+0.53
111,0,25834,Daniel Summerhays,4.37,50,1143,+0.36
112,0,36801,Mark Hubbard,4.39,37,842,+0.73
113,0,25818,Scott Piercy,4.41,30,681,+0.70
