RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,26289,Boo Weekley,9.62,82,852,-0.04
2,0,31557,Jim Herman,9.64,89,923,+0.12
3,0,31560,Brian Stuard,9.95,96,965,+0.13
4,0,29222,Billy Hurley III,10.31,99,960,+0.11
5,0,33204,Shane Lowry,10.40,55,529,-0.04
6,0,24024,Zach Johnson,10.43,99,949,+0.07
7,0,25892,Steve Wheatcroft,10.63,59,555,+0.02
8,0,25572,Graeme McDowell,10.65,74,695,+0.16
9,0,29221,Webb Simpson,10.68,125,1170,+0.04
10,0,27649,Brandt Snedeker,10.81,64,592,+0.16
11,0,32102,Rickie Fowler,10.84,95,876,+0.05
12,0,25240,D.A. Points,10.97,89,811,+0.08
13,0,26476,Chez Reavie,11.08,128,1155,-0.01
14,0,34409,David Lingmerth,11.09,106,956,+0.06
15,0,25198,Francesco Molinari,11.29,93,824,+0.14
16,0,23325,Vaughn Taylor,11.35,121,1066,+0.08
17,0,47128,Richy Werenski,11.41,97,850,+0.12
18,0,27466,Spencer Levin,11.44,107,935,+0.11
19,0,26596,Ryan Moore,11.56,105,908,+0.15
20,0,21209,Sergio Garcia,11.72,75,640,+0.13
21,0,12510,Chad Campbell,11.76,139,1182,+0.15
22,0,34431,Robert Streb,11.98,139,1160,+0.06
23,0,23108,Matt Kuchar,12.17,130,1068,+0.13
24,0,29908,C.T. Pan,12.28,130,1059,+0.13
25,0,20472,Alex Cejka,12.30,106,862,+0.08
26,0,24140,Sean O'Hair,12.36,120,971,+0.03
27,0,31202,William McGirt,12.46,126,1011,+0.27
28,0,24357,K.J. Choi,12.63,95,752,+0.15
29,0,19803,Ryan Armour,12.70,87,685,+0.09
30,0,01810,Phil Mickelson,12.71,121,952,+0.08
31,0,29476,Kyle Reifers,12.77,131,1026,+0.06
32,0,33122,Russell Knox,12.85,97,755,+0.19
33,0,33141,Keegan Bradley,12.94,164,1267,+0.19
34,0,27436,Graham DeLaet,12.99,128,985,+0.01
35,0,29478,Kevin Kisner,13.01,140,1076,+0.11
36,0,32150,Michael Thompson,13.09,80,611,+0.11
37,0,34358,Jonathan Randolph,13.10,93,710,+0.12
38,0,26951,Johnson Wagner,13.13,104,792,+0.20
39,0,25349,Tim Wilkinson,13.21,84,636,+0.05
40,0,22986,Søren Kjeldsen,13.35,63,472,+0.30
41,0,10809,Jim Furyk,13.44,82,610,+0.17
41,0,30110,Kyle Stanley,13.44,176,1310,+0.14
43,0,33399,Adam Hadwin,13.45,147,1093,+0.04
44,0,35545,Blayne Barber,13.53,126,931,+0.14
45,0,27214,Kevin Streelman,13.54,147,1086,+0.04
46,0,39975,Michael Kim,13.57,158,1164,+0.04
47,0,30944,Jason Kokrak,13.61,156,1146,+0.15
48,0,29479,Scott Brown,13.62,148,1087,+0.07
48,0,26329,Louis Oosthuizen,13.62,97,712,+0.01
50,0,25900,Lucas Glover,13.80,165,1196,+0.10
51,0,34021,Bud Cauley,13.82,156,1129,+0.10
52,0,34360,Patrick Reed,13.86,162,1169,+0.09
52,0,29485,Brett Stegmaier,13.86,111,801,+0.28
54,0,34174,John Huh,13.89,147,1058,+0.18
55,0,27936,Martin Laird,13.90,139,1000,+0.07
56,0,25364,Paul Casey,13.91,138,992,+0.14
57,0,23353,J.J. Henry,13.93,145,1041,+0.23
58,0,29926,Danny Lee,13.99,147,1051,+0.10
59,0,39324,J.J. Spaun,14.13,141,998,+0.16
60,0,40058,Zac Blair,14.15,160,1131,+0.03
60,0,27895,Jonas Blixt,14.15,115,813,+0.12
62,0,46732,Rick Lamb,14.18,75,529,+0.31
63,0,23983,Luke Donald,14.21,84,591,+0.07
64,0,25686,Jason Dufner,14.23,143,1005,+0.06
65,0,32448,James Hahn,14.24,161,1131,+0.02
66,0,22405,Justin Rose,14.27,105,736,+0.07
67,0,24358,Robert Garrigus,14.32,118,824,+0.08
68,0,19846,Brian Gay,14.36,138,961,+0.12
69,0,34098,Russell Henley,14.38,172,1196,+0.10
70,0,48084,Wesley Bryan,14.39,153,1063,+0.17
71,0,33413,Ben Martin,14.43,140,970,+0.14
72,0,25345,Carl Pettersson,14.47,103,712,+0.19
73,0,30191,Julián Etulain,14.49,103,711,+0.11
74,0,25834,Daniel Summerhays,14.61,167,1143,+0.13
75,0,28307,Matt Every,14.63,120,820,+0.13
76,0,25804,Bubba Watson,14.65,108,737,+0.08
77,0,33418,Shawn Stefani,14.73,123,835,+0.07
78,0,22056,Cameron Percy,14.77,113,765,+0.07
79,0,30692,Scott Stallings,14.79,139,940,+0.09
80,0,25396,Kevin Na,14.81,136,918,+0.10
81,0,32200,Roberto Castro,14.87,112,753,+0.12
82,0,23541,Ben Crane,14.93,143,958,+0.22
83,0,20771,Steven Alker,15.03,107,712,+0.17
83,0,27974,Sung Kang,15.03,171,1138,+0.15
85,0,33948,Byeong Hun An,15.10,119,788,+0.21
85,0,27958,Ryan Blaum,15.10,172,1139,+0.16
87,0,20157,Retief Goosen,15.12,85,562,+0.16
87,0,29518,Brendan Steele,15.12,150,992,+0.11
87,0,28132,Tyrone Van Aswegen,15.12,168,1111,+0.17
90,0,24924,Bill Haas,15.13,151,998,+0.07
91,0,29223,Sam Saunders,15.19,129,849,+0.06
92,0,20593,Greg Chalmers,15.22,144,946,+0.16
93,0,35450,Patrick Cantlay,15.23,97,637,-0.04
94,0,27963,Chris Stroud,15.27,102,668,+0.21
95,0,24781,Hunter Mahan,15.28,125,818,+0.10
96,0,29289,S.Y. Noh,15.29,157,1027,+0.02
97,0,27644,Brian Harman,15.30,183,1196,+0.09
98,0,22046,Geoff Ogilvy,15.38,143,930,+0.12
99,0,31646,Emiliano Grillo,15.40,142,922,+0.22
100,0,26499,Rafa Cabrera Bello,15.42,99,642,+0.04
101,0,25493,Nick Taylor,15.45,178,1152,+0.04
102,0,37189,Harold Varner III,15.49,184,1188,+0.09
103,0,30925,Dustin Johnson,15.53,127,818,+0.02
104,0,33419,Cameron Tringale,15.55,139,894,+0.17
105,0,36689,Brooks Koepka,15.64,144,921,+0.14
106,0,28420,Ryan Brehm,15.68,140,893,+0.11
107,0,26758,David Hearn,15.69,155,988,+0.23
108,0,39954,Cody Gribble,15.70,152,968,+0.22
108,0,46970,Jon Rahm,15.70,144,917,-0.06
108,0,34046,Jordan Spieth,15.70,149,949,+0.03
111,0,25274,Steven Bowditch,15.72,94,598,+0.18
112,0,48822,Sebastián Muñoz,15.73,84,534,+0.07
112,0,26331,Charl Schwartzel,15.73,104,661,+0.08
114,0,27095,Nick Watney,15.76,139,882,+0.06
115,0,30926,Chris Kirk,15.83,154,973,+0.04
116,0,24846,Ricky Barnes,15.84,169,1067,+0.08
117,0,24507,Jason Bohn,15.89,137,862,+0.11
118,0,34213,Grayson Murray,15.93,188,1180,+0.04
119,0,46443,Brian Campbell,15.94,91,571,+0.05
120,0,34264,Hudson Swafford,16.00,168,1050,+0.08
121,0,20104,Ken Duke,16.01,134,837,+0.12
121,0,24138,Ian Poulter,16.01,122,762,+0.11
123,0,33120,Mark Anderson,16.07,94,585,+0.13
124,0,27129,Luke List,16.12,191,1185,-0.04
125,0,20229,Stewart Cink,16.16,181,1120,+0.09
