RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,20104,Ken Duke,7.53,63,837,+0.05
2,0,31202,William McGirt,9.00,91,1011,+0.13
3,0,28679,Fabián Gómez,9.24,66,714,+0.15
4,0,30110,Kyle Stanley,9.39,123,1310,+0.02
5,0,40058,Zac Blair,9.46,107,1131,+0.09
6,0,10809,Jim Furyk,9.67,59,610,+0.14
7,0,26476,Chez Reavie,9.70,112,1155,+0.15
8,0,26758,David Hearn,9.72,96,988,+0.08
9,0,26851,Marc Leishman,9.76,99,1014,+0.01
10,0,23541,Ben Crane,10.02,96,958,+0.09
11,0,19803,Ryan Armour,10.22,70,685,+0.11
12,0,24138,Ian Poulter,10.37,79,762,+0.11
12,0,29223,Sam Saunders,10.37,88,849,-0.01
14,0,40026,Daniel Berger,10.38,100,963,-0.02
15,0,25900,Lucas Glover,10.54,126,1196,+0.03
15,0,20572,Rod Pampling,10.54,97,920,+0.07
17,0,26289,Boo Weekley,10.56,90,852,+0.11
18,0,20771,Steven Alker,10.67,76,712,+0.08
18,0,29740,Brad Fritsch,10.67,62,581,+0.18
20,0,27214,Kevin Streelman,10.68,116,1086,+0.07
21,0,23800,Bryce Molder,10.72,95,886,+0.07
22,0,31646,Emiliano Grillo,10.74,99,922,+0.13
23,0,25198,Francesco Molinari,10.80,89,824,+0.19
24,0,33122,Russell Knox,10.86,82,755,+0.15
25,0,27936,Martin Laird,10.90,109,1000,+0.06
26,0,33204,Shane Lowry,10.96,58,529,+0.07
27,0,33461,Morgan Hoffmann,11.01,125,1135,E
27,0,23621,Rory Sabbatini,11.01,81,736,+0.11
29,0,24361,Pat Perez,11.18,114,1020,+0.14
30,0,19846,Brian Gay,11.24,108,961,+0.10
31,0,34466,Peter Malnati,11.25,114,1013,+0.06
32,0,24357,K.J. Choi,11.30,85,752,-0.11
33,0,30926,Chris Kirk,11.31,110,973,+0.11
34,0,32448,James Hahn,11.32,128,1131,+0.02
34,0,39324,J.J. Spaun,11.32,113,998,+0.05
36,0,23108,Matt Kuchar,11.33,121,1068,+0.01
37,0,29476,Kyle Reifers,11.50,118,1026,+0.10
38,0,25834,Daniel Summerhays,11.55,132,1143,+0.16
39,0,27644,Brian Harman,11.62,139,1196,+0.14
39,0,29478,Kevin Kisner,11.62,125,1076,E
41,0,24507,Jason Bohn,11.72,101,862,+0.16
42,0,36801,Mark Hubbard,11.76,99,842,E
43,0,32200,Roberto Castro,11.82,89,753,+0.04
44,0,33141,Keegan Bradley,11.84,150,1267,+0.13
44,0,35879,Kelly Kraft,11.84,106,895,+0.14
44,0,31420,Anirban Lahiri,11.84,97,819,+0.03
47,0,34098,Russell Henley,11.87,142,1196,+0.17
48,0,26596,Ryan Moore,11.89,108,908,+0.09
49,0,24024,Zach Johnson,11.91,113,949,+0.16
50,0,32640,Troy Merritt,11.93,116,972,+0.13
51,0,37278,Nicholas Lindheim,12.03,73,607,+0.10
52,0,28093,Miguel Angel Carballo,12.06,72,597,+0.21
52,0,12716,Charley Hoffman,12.06,156,1294,-0.01
54,0,22986,Søren Kjeldsen,12.08,57,472,+0.18
55,0,23320,Ryan Palmer,12.11,82,677,+0.20
56,0,26499,Rafa Cabrera Bello,12.15,78,642,+0.13
57,0,33413,Ben Martin,12.16,118,970,+0.19
58,0,23325,Vaughn Taylor,12.20,130,1066,+0.05
59,0,25572,Graeme McDowell,12.23,85,695,+0.31
60,0,22046,Geoff Ogilvy,12.26,114,930,+0.04
61,0,27963,Chris Stroud,12.28,82,668,+0.05
62,0,29518,Brendan Steele,12.30,122,992,+0.01
63,0,06522,Ernie Els,12.33,63,511,+0.08
63,0,25818,Scott Piercy,12.33,84,681,+0.15
65,0,23983,Luke Donald,12.35,73,591,+0.14
66,0,35506,Mackenzie Hughes,12.41,166,1338,+0.13
67,0,48081,Xander Schauffele,12.42,128,1031,+0.02
68,0,25892,Steve Wheatcroft,12.43,69,555,+0.12
69,0,40009,Dominic Bozzelli,12.45,94,755,+0.18
70,0,24781,Hunter Mahan,12.47,102,818,+0.12
71,0,24502,Adam Scott,12.50,72,576,+0.11
72,0,33948,Byeong Hun An,12.56,99,788,+0.09
72,0,35450,Patrick Cantlay,12.56,80,637,-0.05
74,0,32839,Hideki Matsuyama,12.61,104,825,+0.03
75,0,25493,Nick Taylor,12.67,146,1152,+0.13
76,0,29974,Branden Grace,12.71,83,653,+0.11
77,0,35891,Cameron Smith,12.82,126,983,+0.01
78,0,35110,Brett Drewitt,12.92,77,596,+0.12
79,0,27466,Spencer Levin,12.94,121,935,+0.17
80,0,29420,Billy Horschel,12.96,144,1111,+0.19
80,0,49771,J.T. Poston,12.96,131,1011,+0.11
80,0,34046,Jordan Spieth,12.96,123,949,-0.15
83,0,29221,Webb Simpson,12.99,152,1170,+0.03
84,0,37189,Harold Varner III,13.05,155,1188,+0.06
85,0,29725,Tony Finau,13.06,165,1263,-0.05
85,0,26329,Louis Oosthuizen,13.06,93,712,+0.12
87,0,25632,Jimmy Walker,13.17,91,691,+0.07
88,0,25686,Jason Dufner,13.33,134,1005,+0.07
88,0,31557,Jim Herman,13.33,123,923,-0.01
90,0,32102,Rickie Fowler,13.36,117,876,-0.01
91,0,27436,Graham DeLaet,13.40,132,985,+0.09
91,0,39975,Michael Kim,13.40,156,1164,+0.01
91,0,25396,Kevin Na,13.40,123,918,-0.04
94,0,29926,Danny Lee,13.42,141,1051,+0.07
95,0,22371,Aaron Baddeley,13.44,86,640,-0.02
96,0,34021,Bud Cauley,13.46,152,1129,+0.03
97,0,29479,Scott Brown,13.52,147,1087,+0.10
97,0,46970,Jon Rahm,13.52,124,917,-0.03
99,0,20472,Alex Cejka,13.57,117,862,+0.14
100,0,25364,Paul Casey,13.61,135,992,-0.07
101,0,33399,Adam Hadwin,13.63,149,1093,+0.14
101,0,28237,Rory McIlroy,13.63,68,499,-0.04
103,0,34213,Grayson Murray,13.64,161,1180,+0.09
104,0,29461,Jamie Lovemark,13.68,151,1104,-0.06
104,0,28132,Tyrone Van Aswegen,13.68,152,1111,+0.03
106,0,21961,Charles Howell III,13.74,129,939,+0.03
107,0,27895,Jonas Blixt,13.78,112,813,+0.13
108,0,37455,Si Woo Kim,13.79,115,834,+0.12
109,0,34409,David Lingmerth,13.81,132,956,-0.03
110,0,24924,Bill Haas,13.83,138,998,+0.07
111,0,30944,Jason Kokrak,13.87,159,1146,+0.02
112,0,31560,Brian Stuard,13.89,134,965,+0.16
112,0,26951,Johnson Wagner,13.89,110,792,+0.04
114,0,25720,Chad Collins,13.92,104,747,+0.05
115,0,32366,Kevin Chappell,13.94,139,997,+0.07
116,0,30191,Julián Etulain,14.06,100,711,+0.01
117,0,29485,Brett Stegmaier,14.11,113,801,+0.14
117,0,25804,Bubba Watson,14.11,104,737,+0.07
119,0,36689,Brooks Koepka,14.12,130,921,+0.05
120,0,25349,Tim Wilkinson,14.15,90,636,+0.10
121,0,27649,Brandt Snedeker,14.19,84,592,-0.08
122,0,31323,Gary Woodland,14.24,134,941,+0.11
123,0,26300,Matt Jones,14.27,101,708,+0.03
124,0,46732,Rick Lamb,14.37,76,529,+0.08
125,0,20593,Greg Chalmers,14.38,136,946,+0.15
126,0,31416,Derek Fathauer,14.40,128,889,+0.15
127,0,34174,John Huh,14.46,153,1058,+0.07
128,0,22405,Justin Rose,14.54,107,736,-0.07
129,0,24140,Sean O'Hair,14.62,142,971,+0.09
130,0,27129,Luke List,14.68,174,1185,-0.10
131,0,33120,Mark Anderson,14.70,86,585,-0.01
132,0,33418,Shawn Stefani,14.73,123,835,+0.18
133,0,47959,Bryson DeChambeau,14.76,148,1003,+0.14
134,0,46443,Brian Campbell,14.89,85,571,+0.08
135,0,25240,D.A. Points,14.92,121,811,+0.14
136,0,24358,Robert Garrigus,14.93,123,824,+0.02
136,0,34358,Jonathan Randolph,14.93,106,710,+0.13
138,0,35545,Blayne Barber,15.15,141,931,+0.16
139,0,27974,Sung Kang,15.20,173,1138,-0.02
140,0,23353,J.J. Henry,15.27,159,1041,+0.07
141,0,47128,Richy Werenski,15.29,130,850,+0.21
142,0,12510,Chad Campbell,15.31,181,1182,+0.08
143,0,29720,Andres Gonzales,15.32,121,790,+0.03
144,0,32150,Michael Thompson,15.38,94,611,+0.15
145,0,34360,Patrick Reed,15.40,180,1169,+0.02
146,0,48084,Wesley Bryan,15.52,165,1063,+0.08
147,0,30852,Ryo Ishikawa,15.53,91,586,+0.07
147,0,30925,Dustin Johnson,15.53,127,818,-0.09
149,0,29908,C.T. Pan,15.58,165,1059,+0.08
150,0,39954,Cody Gribble,15.60,151,968,-0.03
151,0,34264,Hudson Swafford,15.62,164,1050,+0.01
152,0,27095,Nick Watney,15.65,138,882,+0.01
153,0,20157,Retief Goosen,15.66,88,562,+0.08
154,0,27958,Ryan Blaum,15.72,179,1139,+0.11
155,0,27064,Jhonattan Vegas,15.94,158,991,+0.10
156,0,25191,Gonzalo Fernandez-Castaño,16.01,97,606,-0.01
157,0,22056,Cameron Percy,16.08,123,765,+0.13
158,0,23497,Tag Ridings,16.09,112,696,-0.10
159,0,28089,Jason Day,16.12,122,757,+0.10
160,0,35532,Tom Hoge,16.20,87,537,E
161,0,28500,Martin Flores,16.30,150,920,-0.01
162,0,34431,Robert Streb,16.55,192,1160,E
162,0,33419,Cameron Tringale,16.55,148,894,+0.03
164,0,30692,Scott Stallings,16.70,157,940,+0.04
165,0,21209,Sergio Garcia,16.72,107,640,+0.10
166,0,46440,Smylie Kaufman,16.86,147,872,+0.01
167,0,20229,Stewart Cink,16.96,190,1120,E
168,0,35300,Andrew Loupe,17.06,108,633,+0.16
169,0,37454,Whee Kim,17.12,146,853,+0.06
170,0,32757,Patton Kizzire,17.19,170,989,+0.09
171,0,46601,Trey Mullinax,17.41,168,965,+0.02
172,0,32333,Kevin Tway,17.42,177,1016,+0.12
173,0,29289,S.Y. Noh,17.43,179,1027,+0.04
174,0,27770,Camilo Villegas,17.70,151,853,+0.05
175,0,33448,Justin Thomas,17.75,159,896,-0.03
176,0,36699,Patrick Rodgers,17.76,162,912,+0.09
177,0,26331,Charl Schwartzel,17.85,118,661,-0.06
178,0,34099,Harris English,18.01,177,983,+0.02
179,0,28252,Seamus Power,18.07,170,941,-0.02
180,0,46550,Brandon Hagy,18.25,173,948,+0.01
181,0,48822,Sebastián Muñoz,18.35,98,534,+0.06
182,0,24846,Ricky Barnes,18.56,198,1067,E
183,0,27141,J.B. Holmes,18.71,156,834,+0.05
184,0,29222,Billy Hurley III,18.85,181,960,+0.09
185,0,28307,Matt Every,19.51,160,820,+0.14
186,0,25345,Carl Pettersson,19.94,142,712,+0.13
187,0,01810,Phil Mickelson,19.96,190,952,+0.04
188,0,46501,Ollie Schniederjans,20.21,226,1118,+0.12
189,0,28420,Ryan Brehm,20.60,184,893,-0.01
190,0,25274,Steven Bowditch,21.40,128,598,+0.18
