RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,57900,Chandler Phillips,20.3,108799.000,149
2,0,51696,Rico Hoey,20.8,133052.000,178
3,0,37212,Paul Barjon,20.9,93494.000,124
4,0,32757,Patton Kizzire,21.0,91644.000,121
5,0,39997,Corey Conners,21.1,161857.000,213
6,0,12716,Charley Hoffman,21.2,107589.000,141
6,0,50484,Hayden Springer,21.2,115351.000,151
8,0,35450,Patrick Cantlay,21.3,117082.000,153
9,0,39975,Michael Kim,21.4,108616.000,141
9,0,59143,Mac Meissner,21.4,102633.000,133
11,0,39971,Sungjae Im,21.7,153904.000,197
11,0,48117,Kurt Kitayama,21.7,153827.000,197
11,0,46442,Maverick McNealy,21.7,138067.000,177
14,0,52955,Ludvig Ãberg,21.8,146922.000,187
15,0,46046,Scottie Scheffler,22.0,145225.000,183
16,0,52666,Sami Valimaki,22.1,101096.000,127
17,0,25900,Lucas Glover,22.2,123226.000,154
17,0,47993,Denny McCarthy,22.2,120847.000,151
19,0,56149,Wilson Furr,22.3,88251.000,110
19,0,46717,Viktor Hovland,22.3,118860.000,148
19,0,50095,Austin Smotherman,22.3,76428.000,95
19,0,38991,Alejandro Tosti,22.3,143132.000,178
23,0,28420,Ryan Brehm,22.4,101796.000,126
23,0,34076,Joel Dahmen,22.4,114687.000,142
23,0,54421,Garrick Higgo,22.4,114411.000,142
23,0,39546,Keith Mitchell,22.4,170772.000,212
27,0,32367,Jorge Campillo,22.5,72105.000,89
27,0,32366,Kevin Chappell,22.5,74589.000,92
27,0,54576,Patrick Fishburn,22.5,126532.000,156
27,0,50493,Justin Suh,22.5,102210.000,126
31,0,52372,Cameron Champ,22.6,112055.000,138
31,0,59866,Nick Dunlap,22.6,129964.000,160
31,0,34587,Chan Kim,22.6,142411.000,175
31,0,36871,Matt NeSmith,22.6,102382.000,126
31,0,46414,Aaron Rai,22.6,138350.000,170
31,0,48867,Matti Schmid,22.6,138888.000,171
31,0,48699,Callum Tarren,22.6,120457.000,148
31,0,52513,Carson Young,22.6,125333.000,154
39,0,34374,Erik Barnes,22.7,71005.000,87
39,0,34255,Joseph Bramlett,22.7,166962.000,204
39,0,33653,Thomas Detry,22.7,119976.000,147
39,0,52375,Doug Ghim,22.7,147601.000,181
39,0,29221,Webb Simpson,22.7,89240.000,109
44,0,47663,Kevin Dougherty,22.8,122912.000,150
44,0,29908,C.T. Pan,22.8,92573.000,113
46,0,47988,Nick Hardy,22.9,161787.000,196
46,0,50188,S.H. Kim,22.9,189536.000,230
46,0,27214,Kevin Streelman,22.9,91415.000,111
49,0,33948,Byeong Hun An,23.0,160497.000,194
49,0,39977,Max Homa,23.0,146816.000,177
51,0,52215,Robert MacIntyre,23.1,123797.000,149
52,0,47591,Eric Cole,23.2,192103.000,230
52,0,29725,Tony Finau,23.2,159207.000,191
52,0,36801,Mark Hubbard,23.2,184349.000,221
52,0,49771,J.T. Poston,23.2,145583.000,174
52,0,28252,Seamus Power,23.2,172534.000,207
57,0,33141,Keegan Bradley,23.3,138262.000,165
57,0,47504,Sam Burns,23.3,145339.000,173
57,0,40098,Matt Fitzpatrick,23.3,132702.000,158
57,0,60067,Joe Highsmith,23.3,128356.000,153
57,0,27064,Jhonattan Vegas,23.3,147655.000,176
62,0,32839,Hideki Matsuyama,23.4,129467.000,154
62,0,23320,Ryan Palmer,23.4,70798.000,84
62,0,46441,Robby Shelton,23.4,111359.000,132
62,0,39324,J.J. Spaun,23.4,157289.000,187
66,0,55708,Hayden Buckley,23.5,111847.000,132
66,0,45609,Tyler Duncan,23.5,116627.000,138
66,0,27644,Brian Harman,23.5,143741.000,170
66,0,48319,Tom Whitney,23.5,96642.000,114
66,0,31323,Gary Woodland,23.5,159030.000,188
71,0,56630,Akshay Bhatia,23.6,161975.000,191
71,0,36699,Patrick Rodgers,23.6,184024.000,217
71,0,48081,Xander Schauffele,23.6,183690.000,216
74,0,48084,Wesley Bryan,23.7,68158.000,80
74,0,47483,Will Zalatoris,23.7,119376.000,140
76,0,33968,ThorbjÃ¸rn Olesen,23.8,82331.000,96
77,0,30163,Henrik Norlander,23.9,111963.000,130
77,0,46340,Alex Smalley,23.9,136546.000,159
77,0,45242,Kevin Yu,23.9,149522.000,174
80,0,55182,Tom Kim,24.0,154450.000,179
80,0,55893,Sam Stevens,24.0,169672.000,196
80,0,55454,Carl Yuan,24.0,117593.000,136
83,0,59836,Pierceson Coody,24.1,134311.000,155
83,0,32640,Troy Merritt,24.1,105158.000,121
83,0,51070,Vincent Norrman,24.1,99589.000,115
83,0,51997,Andrew Novak,24.1,151978.000,175
83,0,48119,Ben Taylor,24.1,97087.000,112
83,0,27770,Camilo Villegas,24.1,75371.000,87
89,0,59442,Parker Coody,24.2,82790.000,95
89,0,52514,Trace Crowe,24.2,111521.000,128
89,0,29936,Ryan Fox,24.2,160614.000,184
89,0,35310,Lanto Griffin,24.2,129194.000,148
89,0,28775,Nate Lashley,24.2,105257.000,121
89,0,57366,Cameron Young,24.2,184576.000,212
95,0,32070,Rafael Campos,24.3,99867.000,114
95,0,57362,Austin Eckroat,24.3,172037.000,197
95,0,59095,Chris Gotterup,24.3,149795.000,171
95,0,54628,Lee Hodges,24.3,180752.000,207
95,0,29420,Billy Horschel,24.3,131345.000,150
95,0,27936,Martin Laird,24.3,92670.000,106
95,0,33204,Shane Lowry,24.3,114505.000,131
102,0,57975,Harry Hall,24.4,150254.000,171
102,0,37455,Si Woo Kim,24.4,181215.000,206
102,0,51890,Greyson Sigg,24.4,112388.000,128
102,0,39327,Ben Silverman,24.4,107256.000,122
102,0,58168,Davis Thompson,24.4,157469.000,179
107,0,37378,Min Woo Lee,24.5,143562.000,163
107,0,46113,Ryan McCormick,24.5,98870.000,112
107,0,24502,Adam Scott,24.5,147028.000,167
107,0,40115,Adam Svensson,24.5,215885.000,245
107,0,51634,Sahith Theegala,24.5,215544.000,244
112,0,45157,Cam Davis,24.6,164686.000,186
112,0,32791,K.H. Lee,24.6,137514.000,155
112,0,47679,Victor Perez,24.6,106321.000,120
112,0,22405,Justin Rose,24.6,112550.000,127
116,0,34021,Bud Cauley,24.7,101234.000,114
116,0,50497,Adrien Dumont de Chassart,24.7,107746.000,121
116,0,51977,Max Greyserman,24.7,128850.000,145
116,0,35532,Tom Hoge,24.7,187507.000,211
116,0,40162,Justin Lower,24.7,130623.000,147
116,0,34046,Jordan Spieth,24.7,156306.000,176
122,0,45522,Christiaan Bezuidenhout,24.8,107241.000,120
122,0,60767,Blaine Hale Jr.,24.8,86771.000,97
122,0,40250,Taylor Pendrith,24.8,172913.000,194
122,0,33448,Justin Thomas,24.8,151692.000,170
126,0,40058,Zac Blair,24.9,125620.000,140
126,0,52453,Nicolai HÃ¸jgaard,24.9,99400.000,111
126,0,26596,Ryan Moore,24.9,121742.000,136
129,0,47983,Chad Ramey,25.0,113571.000,126
129,0,47995,Davis Riley,25.0,155076.000,172
129,0,32333,Kevin Tway,25.0,100808.000,112
129,0,40006,Erik van Rooyen,25.0,171008.000,190
133,0,34098,Russell Henley,25.1,112021.000,124
133,0,54783,Dylan Wu,25.1,145614.000,161
135,0,30926,Chris Kirk,25.2,151377.000,167
135,0,49947,Taylor Moore,25.2,217110.000,239
135,0,47806,Raul Pereda,25.2,55419.000,61
135,0,27139,David Skinns,25.2,132518.000,146
139,0,28237,Rory McIlroy,25.4,174521.000,191
140,0,60004,Jacob Bridgeman,25.5,123132.000,134
140,0,30911,Tommy Fleetwood,25.5,166836.000,182
140,0,27129,Luke List,25.5,170814.000,186
140,0,27349,Alex Noren,25.5,134038.000,146
144,0,31646,Emiliano Grillo,25.6,159165.000,173
144,0,35461,Beau Hossler,25.6,179969.000,195
144,0,35506,Mackenzie Hughes,25.6,197251.000,214
147,0,28089,Jason Day,25.7,153293.000,166
148,0,47420,Jake Knapp,25.8,164562.000,177
149,0,50525,Collin Morikawa,25.9,163319.000,175
149,0,26476,Chez Reavie,25.9,98994.000,106
149,0,25493,Nick Taylor,25.9,162498.000,174
149,0,51894,Vince Whaley,25.9,116410.000,125
153,0,34099,Harris English,26.0,203377.000,217
153,0,36799,Stephan Jaeger,26.0,196275.000,210
155,0,48887,Matt Wallace,26.1,136189.000,145
156,0,51766,Wyndham Clark,26.2,167572.000,178
157,0,47347,Adam Schenk,26.3,200045.000,211
158,0,51349,Nico Echavarria,26.4,155079.000,163
158,0,51287,Ryo Hisatsune,26.4,137055.000,144
158,0,23108,Matt Kuchar,26.4,97951.000,103
161,0,33408,Tyson Alexander,26.5,145137.000,152
162,0,40026,Daniel Berger,26.6,149470.000,156
163,0,54591,Ben Griffin,26.7,198651.000,207
164,0,48153,Matthieu Pavon,26.8,115815.000,120
165,0,34563,Chesson Hadley,26.9,137733.000,142
165,0,36326,David Lipsky,26.9,124150.000,128
167,0,29478,Kevin Kisner,27.0,77626.000,80
167,0,34466,Peter Malnati,27.0,127543.000,131
167,0,27330,Josh Teater,27.0,81573.000,84
170,0,36884,Ben Kohles,27.1,136535.000,140
171,0,34256,Andrew Putnam,27.2,143953.000,147
172,0,52374,Brandon Wu,27.3,130762.000,133
173,0,55789,Taylor Montgomery,27.5,93139.000,94
174,0,37275,Sam Ryder,27.8,150355.000,150
175,0,35617,Martin Trainer,27.9,80492.000,80
176,0,22371,Aaron Baddeley,28.1,94146.000,93
176,0,24024,Zach Johnson,28.1,70739.000,70
178,0,29535,Brice Garnett,28.4,86929.000,85
179,0,27649,Brandt Snedeker,28.7,87866.000,85
179,0,49960,Sepp Straka,28.7,165297.000,160
