RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
102,0,52374,Brandon Wu,24.06%,32,133,-35,-13.00
103,0,51997,Andrew Novak,24.00%,42,175,-47,-11.00
104,0,36699,Patrick Rodgers,23.96%,52,217,-50,-5.00
105,0,30163,Henrik Norlander,23.85%,31,130,-33,-9.00
106,0,33948,Byeong Hun An,23.71%,46,194,-51,E
107,0,33141,Keegan Bradley,23.64%,39,165,-44,-11.00
108,0,26476,Chez Reavie,23.58%,25,106,-27,-12.00
108,0,57366,Cameron Young,23.58%,50,212,-55,+2.00
110,0,51070,Vincent Norrman,23.48%,27,115,-26,+6.00
111,0,35506,Mackenzie Hughes,23.36%,50,214,-55,-15.00
112,0,27064,Jhonattan Vegas,23.30%,41,176,-43,-12.00
113,0,59836,Pierceson Coody,23.23%,36,155,-39,+5.00
114,0,35532,Tom Hoge,23.22%,49,211,-54,-24.00
115,0,46113,Ryan McCormick,23.21%,26,112,-28,-3.00
116,0,30911,Tommy Fleetwood,23.08%,42,182,-42,-6.00
117,0,27644,Brian Harman,22.94%,39,170,-43,-9.00
118,0,33399,Adam Hadwin,22.89%,38,166,-40,-9.00
119,0,47483,Will Zalatoris,22.86%,32,140,-31,-6.00
120,0,57362,Austin Eckroat,22.84%,45,197,-43,-12.00
121,0,37455,Si Woo Kim,22.82%,47,206,-53,-10.00
122,0,59095,Chris Gotterup,22.81%,39,171,-35,-8.00
123,0,55454,Carl Yuan,22.79%,31,136,-38,+3.00
124,0,31646,Emiliano Grillo,22.54%,39,173,-39,-15.00
125,0,35617,Martin Trainer,22.50%,18,80,-17,E
126,0,55893,Sam Stevens,22.45%,44,196,-46,-9.00
127,0,49771,J.T. Poston,22.41%,39,174,-42,-18.00
128,0,55182,Tom Kim,22.35%,40,179,-45,E
128,0,33448,Justin Thomas,22.35%,38,170,-38,-6.00
130,0,55789,Taylor Montgomery,22.34%,21,94,-24,+9.00
131,0,51634,Sahith Theegala,22.13%,54,244,-56,-11.00
132,0,39977,Max Homa,22.03%,39,177,-41,-8.00
133,0,32070,Rafael Campos,21.93%,25,114,-25,+2.00
134,0,27349,Alex Noren,21.92%,32,146,-39,-5.00
135,0,46046,Scottie Scheffler,21.86%,40,183,-39,-13.00
136,0,47993,Denny McCarthy,21.85%,33,151,-31,-26.00
137,0,25493,Nick Taylor,21.84%,38,174,-36,-8.00
138,0,33653,Thomas Detry,21.77%,32,147,-34,-12.00
138,0,40162,Justin Lower,21.77%,32,147,-29,-31.00
140,0,48153,Matthieu Pavon,21.67%,26,120,-33,-5.00
141,0,34099,Harris English,21.66%,47,217,-53,+1.00
142,0,60767,Blaine Hale Jr.,21.65%,21,97,-21,E
143,0,32839,Hideki Matsuyama,21.43%,33,154,-34,-11.00
143,0,33486,Roger Sloan,21.43%,21,98,-21,-19.00
143,0,32333,Kevin Tway,21.43%,24,112,-29,-9.00
146,0,59866,Nick Dunlap,21.25%,34,160,-35,-19.00
147,0,55708,Hayden Buckley,21.21%,28,132,-28,-12.00
148,0,29535,Brice Garnett,21.18%,18,85,-19,-13.00
149,0,34021,Bud Cauley,21.05%,24,114,-22,-16.00
149,0,59442,Parker Coody,21.05%,20,95,-22,-10.00
151,0,24502,Adam Scott,20.96%,35,167,-39,-4.00
152,0,36799,Stephan Jaeger,20.95%,44,210,-45,-9.00
153,0,56630,Akshay Bhatia,20.94%,40,191,-42,-11.00
154,0,32102,Rickie Fowler,20.86%,34,163,-33,-10.00
155,0,27936,Martin Laird,20.75%,22,106,-21,-11.00
156,0,29420,Billy Horschel,20.67%,31,150,-29,-17.00
157,0,40250,Taylor Pendrith,20.62%,40,194,-41,-12.00
158,0,50525,Collin Morikawa,20.57%,36,175,-34,-8.00
159,0,49947,Taylor Moore,20.50%,49,239,-53,-9.00
160,0,39327,Ben Silverman,20.49%,25,122,-30,-25.00
161,0,28089,Jason Day,20.48%,34,166,-31,-9.00
162,0,48081,Xander Schauffele,20.37%,44,216,-52,+2.00
163,0,40098,Matt Fitzpatrick,20.25%,32,158,-36,-13.00
