RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,28237,Rory McIlroy,79.08%,155,41
2,0,46046,Scottie Scheffler,78.13%,150,42
3,0,48081,Xander Schauffele,77.68%,174,50
4,0,33448,Justin Thomas,76.32%,145,45
5,0,33948,Byeong Hun An,76.19%,160,50
6,0,57366,Cameron Young,75.44%,172,56
7,0,38991,Alejandro Tosti,75.26%,143,47
8,0,51634,Sahith Theegala,75.00%,201,67
9,0,27064,Jhonattan Vegas,74.74%,142,48
10,0,37212,Paul Barjon,74.31%,107,37
11,0,48117,Kurt Kitayama,73.58%,156,56
12,0,52955,Ludvig Ãberg,73.56%,153,55
13,0,52372,Cameron Champ,73.25%,115,42
14,0,24502,Adam Scott,72.53%,132,50
15,0,36799,Stephan Jaeger,72.37%,165,63
16,0,34255,Joseph Bramlett,72.32%,162,62
17,0,37378,Min Woo Lee,72.28%,133,51
18,0,37455,Si Woo Kim,71.79%,168,66
19,0,31323,Gary Woodland,71.50%,153,61
20,0,47663,Kevin Dougherty,71.43%,120,48
21,0,54576,Patrick Fishburn,71.20%,131,53
21,0,34046,Jordan Spieth,71.20%,136,55
23,0,35450,Patrick Cantlay,71.02%,125,51
24,0,30911,Tommy Fleetwood,71.00%,142,58
25,0,51766,Wyndham Clark,70.92%,139,57
26,0,39997,Corey Conners,70.90%,173,71
27,0,45157,Cam Davis,70.45%,155,65
28,0,46717,Viktor Hovland,70.24%,118,50
29,0,51696,Rico Hoey,70.18%,153,65
30,0,29725,Tony Finau,70.09%,157,67
31,0,28089,Jason Day,70.00%,133,57
32,0,40006,Erik van Rooyen,69.91%,151,65
33,0,34099,Harris English,69.75%,166,72
34,0,50484,Hayden Springer,69.68%,131,57
35,0,39546,Keith Mitchell,69.58%,167,73
36,0,60067,Joe Highsmith,69.47%,132,58
37,0,40026,Daniel Berger,69.32%,122,54
38,0,36801,Mark Hubbard,69.17%,184,82
39,0,45242,Kevin Yu,69.12%,141,63
40,0,57362,Austin Eckroat,69.07%,163,73
41,0,27129,Luke List,69.05%,145,65
42,0,35310,Lanto Griffin,69.02%,127,57
43,0,30163,Henrik Norlander,68.99%,109,49
44,0,28420,Ryan Brehm,68.67%,103,47
45,0,40250,Taylor Pendrith,68.52%,148,68
46,0,50188,S.H. Kim,68.48%,189,87
46,0,49947,Taylor Moore,68.48%,189,87
48,0,22405,Justin Rose,68.18%,105,49
49,0,29936,Ryan Fox,68.10%,143,67
50,0,32333,Kevin Tway,67.91%,91,43
51,0,35506,Mackenzie Hughes,67.80%,179,85
52,0,39971,Sungjae Im,67.62%,165,79
53,0,50525,Collin Morikawa,67.59%,146,70
54,0,46340,Alex Smalley,67.53%,131,63
55,0,48867,Matti Schmid,67.48%,139,67
56,0,37275,Sam Ryder,67.35%,132,64
57,0,48887,Matt Wallace,67.05%,118,58
58,0,47504,Sam Burns,66.99%,138,68
59,0,47420,Jake Knapp,66.82%,141,70
60,0,40115,Adam Svensson,66.78%,203,101
61,0,47995,Davis Riley,66.51%,145,73
62,0,47988,Nick Hardy,66.39%,162,82
63,0,56630,Akshay Bhatia,66.12%,160,82
64,0,52215,Robert MacIntyre,65.93%,120,62
65,0,33141,Keegan Bradley,65.89%,141,73
65,0,55182,Tom Kim,65.89%,141,73
67,0,59866,Nick Dunlap,65.69%,134,70
68,0,33408,Tyson Alexander,65.63%,126,66
69,0,48699,Callum Tarren,65.59%,122,64
70,0,30926,Chris Kirk,65.53%,135,71
70,0,49960,Sepp Straka,65.53%,135,71
72,0,29420,Billy Horschel,65.46%,127,67
73,0,51977,Max Greyserman,65.26%,124,66
74,0,32070,Rafael Campos,65.07%,95,51
75,0,50095,Austin Smotherman,65.04%,80,43
76,0,51070,Vincent Norrman,65.03%,93,50
77,0,47591,Eric Cole,65.00%,195,105
78,0,59095,Chris Gotterup,64.90%,135,73
79,0,27349,Alex Noren,64.89%,122,66
80,0,39324,J.J. Spaun,64.83%,153,83
81,0,40098,Matt Fitzpatrick,64.80%,127,69
82,0,46414,Aaron Rai,64.60%,146,80
83,0,35461,Beau Hossler,64.52%,160,88
84,0,48153,Matthieu Pavon,64.38%,103,57
85,0,47483,Will Zalatoris,64.29%,117,65
86,0,47347,Adam Schenk,64.12%,168,94
