RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,37212,Paul Barjon,248.1,1107507,124
2,0,52372,Cameron Champ,249.1,1237343,138
3,0,27770,Camilo Villegas,251.7,788430,87
4,0,33948,Byeong Hun An,252.3,1762388,194
5,0,54576,Patrick Fishburn,254.0,1426362,156
6,1,48119,Ben Taylor,254.2,1024985,112
7,1,54421,Garrick Higgo,254.3,1300165,142
8,2,59143,Mac Meissner,254.7,1219544,133
9,2,28237,Rory McIlroy,254.9,1752779,191
9,2,48153,Matthieu Pavon,254.9,1101336,120
11,2,32757,Patton Kizzire,255.0,1110771,121
12,3,47504,Sam Burns,255.2,1589277,173
13,3,48084,Wesley Bryan,255.5,735969,80
14,3,50484,Hayden Springer,255.6,1389189,151
15,4,47663,Kevin Dougherty,255.8,1381120,150
15,4,46340,Alex Smalley,255.8,1464156,159
15,4,48699,Callum Tarren,255.8,1363092,148
18,4,59836,Pierceson Coody,255.9,1427936,155
18,4,50493,Justin Suh,255.9,1160668,126
20,4,35310,Lanto Griffin,256.0,1364155,148
20,4,55454,Carl Yuan,256.0,1253349,136
22,4,33141,Keegan Bradley,256.1,1521140,165
22,4,57366,Cameron Young,256.1,1954879,212
24,4,27214,Kevin Streelman,256.6,1025202,111
25,4,51696,Rico Hoey,256.8,1645318,178
25,4,38991,Alejandro Tosti,256.8,1645793,178
27,-14,52955,Ludvig Åberg,257.0,1730306,187
28,-22,32640,Troy Merritt,257.2,1120332,121
29,2,51766,Wyndham Clark,257.3,1648732,178
30,2,27139,David Skinns,257.4,1352822,146
31,2,36871,Matt NeSmith,257.5,1168130,126
32,-14,31323,Gary Woodland,257.8,1744852,188
33,1,60067,Joe Highsmith,257.9,1420779,153
33,1,47995,Davis Riley,257.9,1596939,172
35,1,35450,Patrick Cantlay,258.0,1421252,153
36,1,47983,Chad Ramey,258.3,1171452,126
36,1,39327,Ben Silverman,258.3,1134328,122
38,2,32839,Hideki Matsuyama,258.4,1432465,154
39,2,47988,Nick Hardy,258.5,1824126,196
40,-32,47420,Jake Knapp,258.7,1648366,177
40,2,22405,Justin Rose,258.7,1182847,127
42,1,40006,Erik van Rooyen,258.9,1770883,190
43,1,48887,Matt Wallace,259.1,1352512,145
43,1,47483,Will Zalatoris,259.1,1305872,140
45,1,51977,Max Greyserman,259.2,1352946,145
45,1,34587,Chan Kim,259.2,1632744,175
47,1,48117,Kurt Kitayama,259.3,1838641,197
47,1,36699,Patrick Rodgers,259.3,2025788,217
49,1,34098,Russell Henley,259.4,1158050,124
49,1,46717,Viktor Hovland,259.4,1382226,148
49,1,39971,Sungjae Im,259.4,1839861,197
49,1,32333,Kevin Tway,259.4,1045899,112
49,1,52513,Carson Young,259.4,1437870,154
54,1,59095,Chris Gotterup,259.5,1597519,171
54,1,39975,Michael Kim,259.5,1317205,141
54,1,46442,Maverick McNealy,259.5,1653354,177
57,2,28252,Seamus Power,259.6,1934749,207
58,2,12716,Charley Hoffman,259.7,1318035,141
59,2,35532,Tom Hoge,259.8,1973220,211
60,2,47993,Denny McCarthy,260.0,1413306,151
60,2,37275,Sam Ryder,260.0,1403998,150
60,2,46441,Robby Shelton,260.0,1245006,133
63,2,32791,K.H. Lee,260.1,1451414,155
64,2,50497,Adrien Dumont de Chassart,260.2,1133506,121
64,2,49771,J.T. Poston,260.2,1629916,174
66,4,59866,Nick Dunlap,260.5,1500529,160
66,4,46046,Scottie Scheffler,260.5,1716276,183
68,4,34563,Chesson Hadley,260.8,1332990,142
68,4,60767,Blaine Hale Jr.,260.8,910636,97
68,4,50188,S.H. Kim,260.8,2159169,230
68,4,50095,Austin Smotherman,260.8,891976,95
72,4,60004,Jacob Bridgeman,260.9,1258769,134
72,4,32366,Kevin Chappell,260.9,864241,92
74,4,57975,Harry Hall,261.0,1606936,171
74,4,33448,Justin Thomas,261.0,1597553,170
76,4,45609,Tyler Duncan,261.1,1297282,138
76,4,56149,Wilson Furr,261.1,1033849,110
76,4,48867,Matti Schmid,261.1,1607563,171
79,4,45157,Cam Davis,261.2,1748710,186
79,4,46113,Ryan McCormick,261.2,1053140,112
79,4,51634,Sahith Theegala,261.2,2294567,244
82,-45,28420,Ryan Brehm,261.3,1185172,126
83,3,29725,Tony Finau,261.4,1797705,191
84,3,37378,Min Woo Lee,261.5,1534396,163
84,3,49960,Sepp Straka,261.5,1506401,160
84,3,27330,Josh Teater,261.5,790691,84
87,3,28089,Jason Day,261.6,1563544,166
