RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,20848,Ángel Cabrera,32' 9",87,2849.917,+6.00
2,0,21209,Sergio Garcia,34' 7",82,2838.500,+7.00
3,0,21805,Harrison Frazar,35' 10",153,5486.667,+13.00
4,0,01226,Fred Couples,36' 0",82,2949.167,-7.00
5,0,24663,Y.E. Yang,36' 2",132,4771.167,+14.00
6,0,10117,Bob Heintz,36' 5",84,3058.250,+5.00
6,0,06567,Vijay Singh,36' 5",92,3352.167,+3.00
8,0,24358,Robert Garrigus,36' 9",108,3968.917,+2.00
9,0,02214,Kirk Triplett,37' 4",55,2055.333,+5.00
10,0,10425,Jay Williamson,37' 9",71,2678.583,+15.00
11,0,08931,Glen Day,37' 10",114,4314.417,+11.00
12,0,06251,Chris DiMarco,38' 0",119,4517.333,+20.00
12,0,21949,Joe Ogilvie,38' 0",171,6497.750,+9.00
12,0,24502,Adam Scott,38' 0",86,3265.083,+6.00
15,0,20104,Ken Duke,38' 3",108,4132.167,+7.00
16,0,22293,Heath Slocum,38' 4",91,3491.333,+16.00
16,0,26497,Casey Wittenberg,38' 4",91,3492.000,+20.00
18,0,06004,Stephen Ames,38' 7",81,3123.167,+3.00
18,0,06643,Paul Goydos,38' 7",69,2660.083,+11.00
20,0,20593,Greg Chalmers,38' 8",93,3599.667,+9.00
21,0,24140,Sean O'Hair,38' 9",123,4764.333,+7.00
22,0,21731,Freddie Jacobson,38' 10",132,5127.167,+11.00
23,0,23623,Bo Van Pelt,38' 11",107,4163.500,+17.00
24,0,27214,Kevin Streelman,39' 2",128,5009.667,-6.00
25,0,10885,Robert Allenby,39' 3",106,4160.000,E
25,0,23108,Matt Kuchar,39' 3",110,4319.417,-4.00
25,0,24361,Pat Perez,39' 3",93,3653.417,+21.00
28,0,07457,Steve Flesch,39' 5",132,5208.417,+17.00
28,0,25562,Andres Romero,39' 5",98,3860.333,+11.00
30,0,22046,Geoff Ogilvy,39' 6",96,3793.083,E
31,0,23541,Ben Crane,39' 8",118,4683.583,+4.00
31,0,01677,Tom Lehman,39' 8",47,1863.250,+5.00
31,0,01945,Kenny Perry,39' 8",123,4883.833,-1.00
34,0,26695,Michael Letzig,39' 9",162,6434.417,+17.00
34,0,22548,Patrick Sheehan,39' 9",55,2187.833,+10.00
34,0,27649,Brandt Snedeker,39' 9",81,3221.417,+6.00
37,0,29718,Anthony Kim,40' 0",115,4602.500,+6.00
38,0,27963,Chris Stroud,40' 1",122,4885.083,+23.00
39,0,23983,Luke Donald,40' 3",91,3660.750,+7.00
39,0,25818,Scott Piercy,40' 3",120,4826.583,+1.00
41,0,31416,Derek Fathauer,40' 4",92,3710.333,+17.00
42,0,26679,Kevin Stadler,40' 5",94,3802.167,+3.00
43,0,21961,Charles Howell III,40' 6",133,5385.167,-2.00
44,0,27120,Troy Matteson,40' 8",128,5202.583,+8.00
45,0,22371,Aaron Baddeley,40' 9",84,3421.500,+9.00
45,0,23349,Charles Warren,40' 9",84,3422.833,+13.00
47,0,26300,Matt Jones,41' 0",76,3117.667,+3.00
47,0,01706,Davis Love III,41' 0",147,6032.417,+15.00
47,0,25345,Carl Pettersson,41' 0",148,6071.917,+27.00
47,0,21959,Ted Purdy,41' 0",139,5704.500,+18.00
47,0,21878,Mark Wilson,41' 0",102,4182.583,+18.00
52,0,24507,Jason Bohn,41' 1",105,4316.833,+11.00
52,0,12510,Chad Campbell,41' 1",101,4152.083,+6.00
54,0,24925,Jonathan Byrd,41' 2",122,5026.083,+12.00
54,0,26881,Jarrod Lyle,41' 2",80,3291.250,+9.00
54,0,02206,David Toms,41' 2",93,3832.000,+8.00
54,0,26498,Matt Weibring,41' 2",97,3990.167,+24.00
58,0,06197,Michael Allen,41' 3",91,3755.417,+16.00
58,0,22405,Justin Rose,41' 3",82,3384.667,+8.00
60,0,24024,Zach Johnson,41' 4",96,3971.083,+1.00
60,0,25804,Bubba Watson,41' 4",137,5666.250,+16.00
62,0,23497,Tag Ridings,41' 5",82,3396.083,+5.00
63,0,20691,Greg Owen,41' 6",111,4604.500,+11.00
64,0,07749,Brett Quigley,41' 7",159,6614.500,+16.00
65,0,20498,Briny Baird,41' 8",124,5166.083,+21.00
65,0,26851,Marc Leishman,41' 8",113,4712.083,+17.00
65,0,01724,Jeff Maggert,41' 8",105,4377.083,+29.00
65,0,01948,Tim Petrovic,41' 8",122,5086.167,+14.00
65,0,06539,Rick Price,41' 8",63,2626.750,+8.00
70,0,10860,Justin Leonard,41' 9",105,4385.000,+9.00
70,0,23548,Bill Lunde,41' 9",102,4259.917,+15.00
70,0,27683,Leif Olson,41' 9",90,3753.917,+17.00
70,0,23325,Vaughn Taylor,41' 9",132,5513.667,+15.00
74,0,24846,Ricky Barnes,41' 10",97,4055.417,+21.00
74,0,28087,Kris Blanks,41' 10",64,2678.917,+6.00
74,0,23135,Tim Clark,41' 10",78,3261.833,+14.00
74,0,26476,Chez Reavie,41' 10",105,4395.583,+20.00
74,0,25632,Jimmy Walker,41' 10",117,4898.000,+7.00
79,0,26289,Boo Weekley,41' 11",96,4025.417,+15.00
80,0,12705,Cliff Kresge,42' 3",120,5071.833,+12.00
80,0,27060,John Mallinger,42' 3",109,4606.917,+16.00
80,0,01928,Corey Pavin,42' 3",65,2743.750,+3.00
83,0,21350,Ryuji Imada,42' 4",124,5249.250,+17.00
83,0,24449,Parker McLachlin,42' 4",103,4361.167,+5.00
83,0,29221,Webb Simpson,42' 4",172,7283.667,+9.00
83,0,27095,Nick Watney,42' 4",147,6225.167,-2.00
87,0,25686,Jason Dufner,42' 6",113,4801.167,+26.00
87,0,06621,Joe Durant,42' 6",48,2040.500,+9.00
89,0,23614,Rich Beem,42' 8",94,4008.083,+16.00
89,0,27141,J.B. Holmes,42' 8",172,7337.417,+23.00
89,0,27466,Spencer Levin,42' 8",126,5373.750,+12.00
89,0,01797,Rocco Mediate,42' 8",116,4951.000,+1.00
93,0,30711,Colt Knost,42' 9",72,3076.833,+17.00
93,0,28780,Nicholas Thompson,42' 9",160,6844.250,+28.00
95,0,01035,Tommy Armour III,42' 10",88,3770.333,+7.00
95,0,22913,John Rollins,42' 10",130,5570.583,+26.00
97,0,20766,Padraig Harrington,43' 1",95,4095.833,+12.00
97,0,25396,Kevin Na,43' 1",151,6507.167,+22.00
99,0,12782,Tim Herron,43' 3",155,6705.083,+28.00
99,0,23320,Ryan Palmer,43' 3",120,5192.833,+27.00
99,0,23788,D.J. Trahan,43' 3",120,5191.000,+27.00
102,0,30925,Dustin Johnson,43' 4",114,4936.917,+6.00
103,0,27936,Martin Laird,43' 6",94,4086.667,+10.00
103,0,24912,Will MacKenzie,43' 6",90,3913.000,+14.00
105,0,22892,Jason Gore,43' 7",112,4878.000,+10.00
105,0,20645,John Senden,43' 7",173,7544.333,+29.00
105,0,08845,Scott Sterling,43' 7",58,2529.333,+7.00
108,0,20850,Daniel Chopra,43' 8",183,7986.667,+35.00
108,0,22961,David Mathis,43' 8",124,5410.500,+21.00
108,0,01810,Phil Mickelson,43' 8",109,4757.583,+14.00
111,0,31323,Gary Woodland,43' 11",79,3471.083,+31.00
112,0,26301,James Nitties,44' 0",110,4835.750,+25.00
113,0,19846,Brian Gay,44' 1",90,3966.667,+11.00
113,0,24924,Bill Haas,44' 1",150,6617.500,+8.00
115,0,09011,David Duval,44' 2",113,4987.167,+34.00
115,0,01313,Steve Elkington,44' 2",103,4552.667,+27.00
117,0,21753,Brian Davis,44' 3",141,6242.083,+14.00
117,0,25900,Lucas Glover,44' 3",123,5438.667,+12.00
119,0,24357,K.J. Choi,44' 5",90,3995.833,+19.00
119,0,23718,Nathan Green,44' 5",177,7856.750,+11.00
119,0,24503,Jeff Klauk,44' 5",120,5330.083,+16.00
119,0,22295,Darron Stiles,44' 5",42,1867.083,+9.00
123,0,06527,Steve Stricker,44' 6",116,5165.000,-11.00
124,0,23778,Brad Adamonis,44' 7",111,4953.083,+22.00
124,0,07867,Woody Austin,44' 7",111,4948.250,+16.00
124,0,12716,Charley Hoffman,44' 7",160,7134.250,+9.00
124,0,24490,George McNeill,44' 7",126,5620.917,+16.00
124,0,26596,Ryan Moore,44' 7",121,5390.250,+15.00
129,0,20157,Retief Goosen,44' 9",103,4608.000,+13.00
129,0,10733,Kent Jones,44' 9",62,2776.417,+12.00
129,0,28158,Steve Marino,44' 9",134,5994.167,+1.00
132,0,01161,Mark Calcavecchia,44' 10",98,4394.333,+18.00
133,0,10809,Jim Furyk,44' 11",88,3951.750,+17.00
134,0,20229,Stewart Cink,45' 1",109,4913.333,+22.00
134,0,27933,John Merrick,45' 1",92,4147.083,+17.00
136,0,20070,Matt Bettencourt,45' 3",170,7686.583,+41.00
136,0,08075,Jerry Kelly,45' 3",145,6565.167,+15.00
