RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,23325,Vaughn Taylor,38.68,41,106,-0.24
2,1,34256,Andrew Putnam,38.24,26,68,-0.19
3,1,40058,Zac Blair,37.88,50,132,-0.16
4,1,10809,Jim Furyk,37.18,29,78,-0.17
5,1,26758,David Hearn,36.27,37,102,-0.35
6,1,27963,Chris Stroud,35.87,33,92,+0.09
7,1,31560,Brian Stuard,33.77,52,154,-0.27
8,2,23108,Matt Kuchar,32.14,36,112,-0.17
9,2,25349,Tim Wilkinson,31.52,29,92,+0.07
10,2,27942,Rob Oppenheim,30.33,37,122,-0.27
11,2,19846,Brian Gay,29.37,37,126,+0.03
12,2,23621,Rory Sabbatini,29.31,34,116,-0.06
13,2,24138,Ian Poulter,28.95,22,76,-0.14
14,2,35732,Wes Roach,28.75,23,80,-0.22
15,2,25572,Graeme McDowell,27.91,24,86,+0.13
16,2,22371,Aaron Baddeley,27.66,26,94,+0.04
17,2,19803,Ryan Armour,27.59,32,116,-0.06
18,2,32150,Michael Thompson,27.42,34,124,-0.32
19,3,36801,Mark Hubbard,26.74,46,172,+0.04
20,3,26596,Ryan Moore,26.39,19,72,-0.26
21,3,28679,Fabián Gómez,26.36,29,110,E
22,-1,30927,Brendon Todd,26.16,45,172,-0.07
23,2,27556,Ted Potter Jr.,26.14,23,88,E
24,2,45609,Tyler Duncan,25.90,43,166,E
25,2,29479,Scott Brown,25.78,33,128,-0.03
26,2,33413,Ben Martin,25.00,18,72,-0.17
27,3,33410,Andrew Landry,24.60,31,126,E
28,3,28775,Nate Lashley,24.47,23,94,+0.04
29,3,25686,Jason Dufner,24.19,30,124,+0.13
30,4,31557,Jim Herman,24.17,29,120,-0.17
31,4,29535,Brice Garnett,24.14,28,116,-0.18
32,4,34098,Russell Henley,23.81,30,126,E
33,4,24024,Zach Johnson,23.77,29,122,E
34,4,34466,Peter Malnati,23.68,27,114,+0.04
35,4,40009,Dominic Bozzelli,23.61,17,72,+0.41
36,4,33486,Roger Sloan,23.53,24,102,-0.04
37,4,33404,Chris Baker,23.47,23,98,+0.17
38,4,33120,Mark Anderson,23.40,22,94,-0.14
39,4,32254,Xinjun Zhang,23.29,34,146,-0.09
40,4,23623,Bo Van Pelt,23.26,20,86,-0.05
41,4,27330,Josh Teater,23.17,19,82,-0.16
42,4,33490,Bo Hoag,23.13,31,134,-0.13
43,4,29908,C.T. Pan,22.92,22,96,-0.05
44,4,27649,Brandt Snedeker,22.64,24,106,E
44,4,30110,Kyle Stanley,22.64,24,106,-0.04
46,4,21407,Arjun Atwal,22.58,14,62,-0.29
47,4,34076,Joel Dahmen,22.54,32,142,-0.03
48,4,35532,Tom Hoge,22.30,33,148,E
49,4,39953,Chase Seiffert,22.22,24,108,+0.13
50,4,49298,Kramer Hickok,21.43,21,98,-0.10
50,4,31420,Anirban Lahiri,21.43,15,70,-0.40
50,4,48119,Ben Taylor,21.43,18,84,E
50,4,47128,Richy Werenski,21.43,24,112,+0.13
54,5,26476,Chez Reavie,20.77,27,130,+0.33
55,22,25396,Kevin Na,20.63,26,126,-0.15
56,4,34021,Bud Cauley,20.49,25,122,+0.12
57,6,30163,Henrik Norlander,20.27,30,148,-0.30
58,6,24361,Pat Perez,20.21,19,94,+0.11
58,6,23788,D.J. Trahan,20.21,19,94,-0.11
60,-2,29478,Kevin Kisner,20.00,26,130,-0.23
61,0,26851,Marc Leishman,19.81,21,106,+0.19
62,5,29970,Dylan Frittelli,19.59,29,148,-0.07
63,5,25632,Jimmy Walker,19.57,18,92,+0.22
64,5,32448,James Hahn,19.44,14,72,-0.14
65,5,24924,Bill Haas,19.32,17,88,-0.41
66,5,31646,Emiliano Grillo,19.30,22,114,-0.14
67,5,33122,Russell Knox,19.05,24,126,-0.21
68,5,29974,Branden Grace,18.92,14,74,+0.14
69,5,47993,Denny McCarthy,18.83,29,154,+0.03
70,5,32139,Danny Willett,18.75,12,64,-0.08
71,5,30692,Scott Stallings,18.66,25,134,+0.12
72,7,36871,Matthew NeSmith,18.38,25,136,+0.04
73,7,32102,Rickie Fowler,18.18,16,88,+0.25
74,7,25818,Scott Piercy,18.10,21,116,+0.14
75,7,22056,Cameron Percy,17.78,16,90,-0.13
76,7,21961,Charles Howell III,17.54,20,114,-0.15
77,1,34360,Patrick Reed,17.42,23,132,-0.04
78,6,40098,Matt Fitzpatrick,17.39,16,92,-0.13
79,8,29221,Webb Simpson,17.31,18,104,-0.44
80,5,32618,Rhein Gibson,17.00,17,100,+0.06
81,5,35449,Adam Long,16.88,27,160,-0.11
82,5,33399,Adam Hadwin,16.67,19,114,-0.05
82,5,27644,Brian Harman,16.67,26,156,-0.08
82,5,33204,Shane Lowry,16.67,12,72,+0.08
85,7,34431,Robert Streb,16.00,16,100,-0.06
86,8,46435,Austin Cook,15.83,19,120,-0.21
86,8,32640,Troy Merritt,15.83,19,120,-0.26
88,8,46442,Maverick McNealy,15.79,24,152,-0.08
89,8,49771,J.T. Poston,15.71,22,140,-0.05
90,8,20229,Stewart Cink,15.69,16,102,E
91,2,29420,Billy Horschel,15.67,21,134,-0.14
92,7,48045,Michael Gellerman,15.48,13,84,+0.31
93,7,32757,Patton Kizzire,15.45,17,110,-0.06
94,7,32791,K.H. Lee,15.44,21,136,+0.10
95,8,53165,Doc Redman,15.24,25,164,-0.28
