RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,47959,Bryson DeChambeau,310.4,269441,868
2,0,52372,Cameron Champ,308.8,264964,858
3,0,28420,Ryan Brehm,304.3,136339,448
4,1,28237,Rory McIlroy,303.4,216639,714
5,-1,25804,Bubba Watson,303.1,241864,798
6,0,56278,Matthew Wolff,302.5,267981,886
7,0,46970,Jon Rahm,301.8,242070,802
8,0,30925,Dustin Johnson,301.5,199586,662
9,0,21209,Sergio Garcia,300.5,134631,448
10,0,46550,Brandon Hagy,300.3,151354,504
11,0,29725,Tony Finau,300.2,247985,826
12,0,35450,Patrick Cantlay,299.9,185910,620
13,0,33448,Justin Thomas,299.5,244412,816
14,0,48081,Xander Schauffele,299.0,256573,858
15,0,27129,Luke List,298.6,246650,826
15,0,40042,Tyler McCumber,298.6,158855,532
17,0,47504,Sam Burns,298.5,229867,770
17,0,34213,Grayson Murray,298.5,129565,434
17,0,36699,Patrick Rodgers,298.5,313415,1050
20,0,30944,Jason Kokrak,298.3,212985,714
21,0,35617,Martin Trainer,298.1,163967,550
22,2,46046,Scottie Scheffler,297.8,291871,980
22,0,24502,Adam Scott,297.8,125056,420
24,-1,56762,Will Gordon,297.6,91655,308
25,-1,30911,Tommy Fleetwood,297.5,116614,392
26,0,33449,Zack Sucher,297.4,99912,336
27,0,39546,Keith Mitchell,297.1,209182,704
28,0,33948,Byeong Hun An,296.8,249305,840
29,0,01810,Phil Mickelson,296.6,157806,532
30,0,27974,Sung Kang,296.5,258547,872
31,1,34314,Sebastian Cappelen,296.4,145223,490
32,-2,32839,Hideki Matsuyama,296.3,253075,854
33,0,35461,Beau Hossler,295.9,202982,686
34,0,36689,Brooks Koepka,295.6,157271,532
34,3,45486,Joaquin Niemann,295.6,270179,914
34,0,31323,Gary Woodland,295.6,220528,746
37,-1,51766,Wyndham Clark,295.3,190196,644
38,0,29926,Danny Lee,295.0,227138,770
39,0,37455,Si Woo Kim,294.5,247344,840
40,0,27554,Scott Harrington,294.4,222535,756
40,0,32333,Kevin Tway,294.4,144266,490
42,0,27064,Jhonattan Vegas,294.3,152472,518
43,0,48887,Matt Wallace,294.2,164733,560
44,0,21961,Charles Howell III,294.0,205812,700
45,1,35658,Kris Ventura,293.8,115178,392
46,2,25364,Paul Casey,293.6,182004,620
47,2,46717,Viktor Hovland,293.5,238294,812
48,1,45157,Cam Davis,293.2,188838,644
49,2,33667,Carlos Ortiz,292.9,266530,910
50,4,39971,Sungjae Im,292.8,323827,1106
50,2,27936,Martin Laird,292.8,118858,406
50,8,23320,Ryan Palmer,292.8,243063,830
53,0,33419,Cameron Tringale,292.7,217152,742
54,15,34363,Tyrrell Hatton,292.6,139300,476
54,4,35891,Cameron Smith,292.6,225330,770
54,0,34046,Jordan Spieth,292.6,192534,658
57,-1,28089,Jason Day,292.5,163826,560
58,-1,32366,Kevin Chappell,292.4,130994,448
58,0,48822,Sebastián Muñoz,292.4,320499,1096
60,-2,39977,Max Homa,292.3,234442,802
61,1,33597,Harry Higgs,292.2,282252,966
61,1,29518,Brendan Steele,292.2,229076,784
63,1,32139,Danny Willett,292.1,130849,448
64,1,49960,Sepp Straka,292.0,253498,868
65,2,34360,Patrick Reed,291.9,266820,914
66,0,39997,Corey Conners,291.8,254423,872
67,0,29974,Branden Grace,291.5,134675,462
68,2,29420,Billy Horschel,291.0,240378,826
68,2,37189,Harold Varner III,291.0,232246,798
70,2,33141,Keegan Bradley,290.9,232130,798
71,2,12716,Charley Hoffman,290.7,195359,672
72,2,51894,Vince Whaley,290.6,113918,392
73,2,25900,Lucas Glover,290.4,203279,700
74,5,35310,Lanto Griffin,290.3,326262,1124
75,1,47347,Adam Schenk,290.2,223422,770
76,1,25632,Jimmy Walker,290.1,166499,574
76,1,49964,Aaron Wise,290.1,138105,476
78,5,50525,Collin Morikawa,290.0,289405,998
78,1,37275,Sam Ryder,290.0,227368,784
80,1,28252,Seamus Power,289.9,85241,294
81,1,25818,Scott Piercy,289.8,202861,700
82,1,26329,Louis Oosthuizen,289.7,162250,560
83,0,45526,Abraham Ancer,289.6,227064,784
83,3,46442,Maverick McNealy,289.6,235194,812
85,2,39324,J.J. Spaun,289.4,194453,672
86,7,35506,Mackenzie Hughes,289.3,251093,868
86,2,26300,Matt Jones,289.3,259185,896
88,1,34076,Joel Dahmen,289.2,255046,882
88,1,32448,James Hahn,289.2,109308,378
90,5,29221,Webb Simpson,289.1,206428,714
90,1,25493,Nick Taylor,289.1,202345,700
92,0,32102,Rickie Fowler,288.8,166900,578
93,0,29484,Peter Uihlein,288.7,133402,462
94,1,33204,Shane Lowry,288.6,145474,504
94,1,22405,Justin Rose,288.6,133325,462
96,7,40026,Daniel Berger,288.5,226165,784
96,4,26851,Marc Leishman,288.5,210003,728
96,2,33486,Roger Sloan,288.5,153496,532
99,0,31646,Emiliano Grillo,288.4,193817,672
100,0,32254,Xinjun Zhang,288.3,238166,826
101,1,35230,Nelson Ledesma,288.2,96848,336
102,2,33399,Adam Hadwin,287.9,217639,756
103,2,32662,Michael Gligic,287.5,136873,476
103,2,27644,Brian Harman,287.5,285815,994
103,2,33122,Russell Knox,287.5,197237,686
106,2,34255,Joseph Bramlett,287.4,156947,546
107,2,29970,Dylan Frittelli,287.2,274605,956
107,2,46441,Robby Shelton,287.2,229179,798
109,2,31420,Anirban Lahiri,286.9,92380,322
109,2,27214,Kevin Streelman,286.9,228946,798
111,2,47128,Richy Werenski,286.8,196719,686
