RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,1,52372,Cameron Champ,85.71,120,140,-0.24
2,-1,47959,Bryson DeChambeau,82.26,102,124,-0.22
3,0,30911,Tommy Fleetwood,78.57,44,56,+0.05
4,0,47504,Sam Burns,76.72,89,116,-0.22
5,0,56278,Matthew Wolff,76.52,101,132,-0.12
6,0,28420,Ryan Brehm,76.00,76,100,-0.29
7,0,45157,Cam Davis,75.00,87,116,-0.25
7,0,34213,Grayson Murray,75.00,54,72,-0.37
9,0,30944,Jason Kokrak,71.30,77,108,-0.03
10,0,36689,Brooks Koepka,71.05,54,76,-0.26
11,0,40042,Tyler McCumber,70.75,75,106,-0.19
12,0,25804,Bubba Watson,69.83,81,116,-0.30
13,1,36699,Patrick Rodgers,68.68,125,182,-0.32
14,1,27064,Jhonattan Vegas,68.48,63,92,-0.13
15,1,27554,Scott Harrington,68.38,93,136,-0.33
16,-3,28237,Rory McIlroy,68.27,71,104,-0.18
17,1,30925,Dustin Johnson,67.35,66,98,-0.05
18,0,29725,Tony Finau,67.19,86,128,-0.30
19,-1,46046,Scottie Scheffler,67.07,110,164,-0.25
20,-3,27129,Luke List,66.92,87,130,-0.34
21,-3,24502,Adam Scott,66.67,40,60,-0.23
22,0,25364,Paul Casey,65.63,63,96,-0.17
23,0,46550,Brandon Hagy,65.22,60,92,-0.45
24,0,46970,Jon Rahm,64.66,75,116,-0.20
25,1,56762,Will Gordon,64.06,41,64,-0.32
26,1,33448,Justin Thomas,63.79,74,116,-0.30
27,-2,48081,Xander Schauffele,63.71,79,124,-0.22
28,0,35461,Beau Hossler,63.43,85,134,-0.15
29,1,34314,Sebastian Cappelen,63.21,67,106,-0.27
30,1,21209,Sergio Garcia,62.50,40,64,-0.05
31,1,51766,Wyndham Clark,62.26,66,106,-0.24
32,1,45486,Joaquin Niemann,60.29,82,136,-0.21
33,1,32366,Kevin Chappell,59.76,49,82,-0.41
34,1,32333,Kevin Tway,59.72,43,72,-0.26
35,1,35658,Kris Ventura,59.09,52,88,-0.27
