RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,2,31557,Jim Herman,5.00,6,120,+0.17
2,2,27942,Rob Oppenheim,4.92,6,122,+0.67
3,-1,25396,Kevin Na,4.76,6,126,+0.67
4,1,29970,Dylan Frittelli,4.73,7,148,+0.29
5,1,34256,Andrew Putnam,4.41,3,68,+0.33
6,2,23108,Matt Kuchar,3.57,4,112,+0.25
6,2,27349,Alex Noren,3.57,4,112,+0.50
6,2,49771,J.T. Poston,3.57,5,140,+0.60
9,-2,30927,Brendon Todd,3.49,6,172,E
10,3,21407,Arjun Atwal,3.23,2,62,+1.00
10,3,25686,Jason Dufner,3.23,4,124,+0.25
12,3,33120,Mark Anderson,3.19,3,94,+0.67
13,-1,29478,Kevin Kisner,3.08,4,130,+0.25
13,4,26476,Chez Reavie,3.08,4,130,-0.25
15,-4,34363,Tyrrell Hatton,2.94,2,68,+0.50
16,3,30110,Kyle Stanley,2.83,3,106,+0.33
17,1,35310,Lanto Griffin,2.72,5,184,+0.40
18,2,33448,Justin Thomas,2.59,3,116,+0.67
19,3,10809,Jim Furyk,2.56,2,78,+0.50
20,1,23320,Ryan Palmer,2.50,3,120,-0.33
21,3,29484,Peter Uihlein,2.33,2,86,+1.00
22,3,40058,Zac Blair,2.27,3,132,-0.33
22,1,34360,Patrick Reed,2.27,3,132,+0.33
24,2,28089,Jason Day,2.22,2,90,+0.50
25,2,28775,Nate Lashley,2.13,2,94,E
26,2,33667,Carlos Ortiz,2.08,3,144,+0.67
27,2,33404,Chris Baker,2.04,2,98,+1.00
28,2,35532,Tom Hoge,2.03,3,148,+0.33
29,2,28420,Ryan Brehm,2.00,2,100,+4.50
29,2,32618,Rhein Gibson,2.00,2,100,+0.50
31,2,34255,Joseph Bramlett,1.89,2,106,+0.50
31,2,34314,Sebastian Cappelen,1.89,2,106,+1.50
33,2,12716,Charley Hoffman,1.82,2,110,+0.50
34,2,45609,Tyler Duncan,1.81,3,166,-0.33
35,2,21961,Charles Howell III,1.75,2,114,E
35,2,34466,Peter Malnati,1.75,2,114,+0.50
37,2,25493,Nick Taylor,1.69,2,118,-0.50
38,2,24502,Adam Scott,1.67,1,60,E
39,3,24024,Zach Johnson,1.64,2,122,E
40,4,19846,Brian Gay,1.59,2,126,+0.50
41,-1,29725,Tony Finau,1.56,2,128,+0.50
41,4,28252,Seamus Power,1.56,1,64,+1.00
43,3,47347,Adam Schenk,1.52,2,132,E
43,3,56278,Matthew Wolff,1.52,2,132,+0.50
45,4,34076,Joel Dahmen,1.41,2,142,+1.50
45,4,46441,Robby Shelton,1.41,2,142,E
47,4,33204,Shane Lowry,1.39,1,72,+1.00
47,4,33413,Ben Martin,1.39,1,72,E
47,4,26596,Ryan Moore,1.39,1,72,+1.00
47,4,32333,Kevin Tway,1.39,1,72,-1.00
51,4,32254,Xinjun Zhang,1.37,2,146,E
52,4,46442,Maverick McNealy,1.32,2,152,+0.50
52,4,51894,Vince Whaley,1.32,1,76,+1.00
54,4,31560,Brian Stuard,1.30,2,154,E
55,4,35230,Nelson Ledesma,1.25,1,80,E
55,4,35732,Wes Roach,1.25,1,80,E
55,4,48887,Matt Wallace,1.25,1,80,E
58,5,26499,Rafa Cabrera Bello,1.22,1,82,+1.00
58,5,32366,Kevin Chappell,1.22,1,82,E
60,5,46402,Talor Gooch,1.20,2,166,E
61,5,48045,Michael Gellerman,1.19,1,84,E
61,-2,48822,Sebastián Muñoz,1.19,2,168,-0.50
63,4,25572,Graeme McDowell,1.16,1,86,E
63,4,23623,Bo Van Pelt,1.16,1,86,E
65,4,27556,Ted Potter Jr.,1.14,1,88,+1.00
65,4,27095,Nick Watney,1.14,1,88,E
67,4,28307,Matt Every,1.11,1,90,-1.00
68,5,35450,Patrick Cantlay,1.09,1,92,E
68,5,35617,Martin Trainer,1.09,1,92,E
68,5,25349,Tim Wilkinson,1.09,1,92,E
71,5,22371,Aaron Baddeley,1.06,1,94,-1.00
71,5,23788,D.J. Trahan,1.06,1,94,E
73,5,32662,Michael Gligic,1.04,1,96,+1.00
73,5,29908,C.T. Pan,1.04,1,96,-1.00
75,5,49298,Kramer Hickok,1.02,1,98,E
75,-4,30925,Dustin Johnson,1.02,1,98,E
77,5,34046,Jordan Spieth,1.00,1,100,E
78,5,20229,Stewart Cink,.98,1,102,E
78,5,26758,David Hearn,.98,1,102,E
78,5,33486,Roger Sloan,.98,1,102,-1.00
81,6,51766,Wyndham Clark,.94,1,106,E
81,-1,26851,Marc Leishman,.94,1,106,+1.00
81,6,40042,Tyler McCumber,.94,1,106,E
81,6,27649,Brandt Snedeker,.94,1,106,+2.00
85,5,39953,Chase Seiffert,.93,1,108,E
86,5,28679,Fabián Gómez,.91,1,110,+1.00
86,5,32757,Patton Kizzire,.91,1,110,+1.00
86,5,49766,Hank Lebioda,.91,1,110,+1.00
89,-3,35891,Cameron Smith,.89,1,112,-1.00
90,4,31646,Emiliano Grillo,.88,1,114,E
91,4,29535,Brice Garnett,.86,1,116,E
91,4,25818,Scott Piercy,.86,1,116,+2.00
91,4,23621,Rory Sabbatini,.86,1,116,E
91,4,25804,Bubba Watson,.86,1,116,E
95,5,32640,Troy Merritt,.83,1,120,E
96,5,34021,Bud Cauley,.82,1,122,+1.00
96,5,29926,Danny Lee,.82,1,122,+1.00
98,5,39997,Corey Conners,.81,1,124,+1.00
98,5,39977,Max Homa,.81,1,124,+1.00
98,-3,48081,Xander Schauffele,.81,1,124,E
98,5,32150,Michael Thompson,.81,1,124,+1.00
102,4,34098,Russell Henley,.79,1,126,E
102,4,33419,Cameron Tringale,.79,1,126,E
104,5,27129,Luke List,.77,1,130,+1.00
104,5,27214,Kevin Streelman,.77,1,130,-1.00
106,5,35461,Beau Hossler,.75,1,134,E
106,5,30692,Scott Stallings,.75,1,134,+1.00
108,5,27554,Scott Harrington,.74,1,136,-1.00
108,5,32791,K.H. Lee,.74,1,136,E
108,5,36871,Matthew NeSmith,.74,1,136,E
108,0,45486,Joaquin Niemann,.74,1,136,E
112,5,37275,Sam Ryder,.71,1,140,+2.00
113,0,50525,Collin Morikawa,.69,1,144,E
114,4,47993,Denny McCarthy,.65,1,154,-1.00
115,4,27644,Brian Harman,.64,1,156,E
116,5,35449,Adam Long,.63,1,160,E
117,2,39971,Sungjae Im,.61,1,164,E
117,7,46046,Scottie Scheffler,.61,1,164,+1.00
119,3,33597,Harry Higgs,.60,1,166,+1.00
120,3,36801,Mark Hubbard,.58,1,172,-1.00
121,3,33948,Byeong Hun An,.00,0,126,E
121,3,45526,Abraham Ancer,.00,0,124,E
121,3,19803,Ryan Armour,.00,0,116,E
121,3,40026,Daniel Berger,.00,0,120,E
121,3,40009,Dominic Bozzelli,.00,0,72,E
121,3,33141,Keegan Bradley,.00,0,120,E
121,3,29479,Scott Brown,.00,0,128,E
121,3,29268,Bronson Burgoon,.00,0,106,E
121,3,47504,Sam Burns,.00,0,116,E
121,3,25364,Paul Casey,.00,0,96,E
121,3,52372,Cameron Champ,.00,0,140,E
121,3,46435,Austin Cook,.00,0,120,E
121,3,45157,Cam Davis,.00,0,116,E
121,3,47959,Bryson DeChambeau,.00,0,124,E
121,3,34099,Harris English,.00,0,152,E
121,3,40098,Matt Fitzpatrick,.00,0,92,E
121,3,30911,Tommy Fleetwood,.00,0,56,E
121,3,32102,Rickie Fowler,.00,0,88,E
121,3,21209,Sergio Garcia,.00,0,64,E
121,3,52375,Doug Ghim,.00,0,80,E
121,3,25900,Lucas Glover,.00,0,110,E
121,3,56762,Will Gordon,.00,0,64,E
121,3,29974,Branden Grace,.00,0,74,E
121,3,24924,Bill Haas,.00,0,88,E
121,3,34563,Chesson Hadley,.00,0,108,E
121,3,33399,Adam Hadwin,.00,0,114,E
121,3,46550,Brandon Hagy,.00,0,92,E
121,3,32448,James Hahn,.00,0,72,E
121,3,33490,Bo Hoag,.00,0,134,E
121,3,29420,Billy Horschel,.00,0,134,E
121,3,46717,Viktor Hovland,.00,0,132,E
121,3,35506,Mackenzie Hughes,.00,0,140,E
121,3,26300,Matt Jones,.00,0,144,E
121,3,27974,Sung Kang,.00,0,130,E
121,3,37455,Si Woo Kim,.00,0,132,E
121,3,33122,Russell Knox,.00,0,126,E
121,3,36689,Brooks Koepka,.00,0,76,E
121,3,30944,Jason Kokrak,.00,0,108,E
121,3,31420,Anirban Lahiri,.00,0,70,E
121,3,27936,Martin Laird,.00,0,78,E
121,3,33410,Andrew Landry,.00,0,126,E
121,3,32839,Hideki Matsuyama,.00,0,124,E
121,3,28237,Rory McIlroy,.00,0,104,E
121,3,01810,Phil Mickelson,.00,0,86,E
121,3,39546,Keith Mitchell,.00,0,112,E
121,3,34213,Grayson Murray,.00,0,72,E
121,3,30163,Henrik Norlander,.00,0,148,E
121,3,26329,Louis Oosthuizen,.00,0,80,E
121,3,22056,Cameron Percy,.00,0,90,E
121,3,24361,Pat Perez,.00,0,94,E
121,3,24138,Ian Poulter,.00,0,76,E
121,3,46970,Jon Rahm,.00,0,116,E
121,3,53165,Doc Redman,.00,0,164,E
121,3,36699,Patrick Rodgers,.00,0,182,E
121,3,22405,Justin Rose,.00,0,68,E
121,3,29221,Webb Simpson,.00,0,104,E
121,3,39324,J.J. Spaun,.00,0,116,E
121,3,29518,Brendan Steele,.00,0,128,E
121,3,49960,Sepp Straka,.00,0,140,E
121,3,34431,Robert Streb,.00,0,100,E
121,3,27963,Chris Stroud,.00,0,92,E
121,3,33449,Zack Sucher,.00,0,72,E
121,3,48119,Ben Taylor,.00,0,84,E
121,3,23325,Vaughn Taylor,.00,0,106,E
121,3,27330,Josh Teater,.00,0,82,E
121,3,37189,Harold Varner III,.00,0,132,E
121,3,27064,Jhonattan Vegas,.00,0,92,E
121,3,35658,Kris Ventura,.00,0,88,E
121,3,25632,Jimmy Walker,.00,0,92,E
121,3,47128,Richy Werenski,.00,0,112,E
121,3,32139,Danny Willett,.00,0,64,E
121,3,49964,Aaron Wise,.00,0,90,E
121,3,31323,Gary Woodland,.00,0,108,E
