RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,22295,Darron Stiles,2.715,288.624,106.319,33,0241703381
2,0,26476,Chez Reavie,2.676,282.591,105.591,75,0220303576
3,0,06567,Vijay Singh,2.667,301.273,112.981,61,0218303489
4,0,01724,Jeff Maggert,2.659,287.729,108.225,72,0218003087
4,0,22348,Nick O'Hern,2.659,278.130,104.617,87,0223503161
6,0,24357,K.J. Choi,2.657,287.832,108.313,58,0223303549
7,0,24449,Parker McLachlin,2.652,290.438,109.522,63,0209403445
7,0,02206,David Toms,2.652,285.572,107.700,83,0234203305
9,0,22046,Geoff Ogilvy,2.647,300.496,113.504,69,0225603494
10,0,29718,Anthony Kim,2.645,306.768,115.979,63,0212103354
10,0,29221,Webb Simpson,2.645,291.957,110.377,76,0221703030
12,0,25345,Carl Pettersson,2.644,291.602,110.274,78,0219703434
13,0,01945,Kenny Perry,2.642,295.247,111.770,81,0210903477
14,0,27060,John Mallinger,2.640,280.608,106.275,75,0228703082
15,0,06012,Greg Kraft,2.638,276.488,104.790,41,0220903256
16,0,12705,Cliff Kresge,2.636,282.944,107.336,67,0213803183
16,0,22293,Heath Slocum,2.636,285.868,108.467,82,0216103044
18,0,06522,Ernie Els,2.634,299.069,113.535,53,0223003551
18,0,24781,Hunter Mahan,2.634,298.009,113.119,69,0223903263
18,0,21949,Joe Ogilvie,2.634,289.386,109.856,71,0218603004
18,0,23320,Ryan Palmer,2.634,298.111,113.162,68,0219303181
22,0,22892,Jason Gore,2.633,292.612,111.130,57,0220803046
22,0,21878,Mark Wilson,2.633,281.455,106.908,81,0216403146
24,0,27770,Camilo Villegas,2.632,299.367,113.748,59,0210103418
25,0,24138,Ian Poulter,2.631,288.777,109.752,50,0230203144
26,0,24024,Zach Johnson,2.630,282.950,107.574,92,0222703496
26,0,10860,Justin Leonard,2.630,284.645,108.213,88,0209103490
28,0,19846,Brian Gay,2.629,271.197,103.152,91,0211703488
29,0,22961,David Mathis,2.627,285.836,108.789,69,0229902980
29,0,25240,D.A. Points,2.627,284.387,108.238,85,0231403067
29,0,28118,Peter Tomasulo,2.627,297.914,113.412,43,0205603050
32,0,21753,Brian Davis,2.625,281.414,107.220,96,0209203046
33,0,08931,Glen Day,2.624,272.190,103.727,63,0129803107
34,0,28158,Steve Marino,2.622,295.233,112.603,88,0227403043
34,0,01941,Tom Pernice Jr.,2.622,282.972,107.926,76,0216503102
34,0,27649,Brandt Snedeker,2.622,280.546,106.993,62,0230603036
34,0,02214,Kirk Triplett,2.622,281.216,107.263,53,0170803008
34,0,10425,Jay Williamson,2.622,284.224,108.420,56,0210603145
