RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,08793,Tiger Woods,4.65,242,52
2,0,01810,Phil Mickelson,4.38,302,69
3,0,24925,Jonathan Byrd,4.24,280,66
4,0,20850,Daniel Chopra,4.07,435,107
5,0,10809,Jim Furyk,4.05,356,88
6,0,22405,Justin Rose,4.04,384,95
6,0,23322,Brett Wetterich,4.04,331,82
8,0,23325,Vaughn Taylor,4.03,355,88
9,0,25900,Lucas Glover,3.98,402,101
10,0,08537,J.P. Hayes,3.96,218,55
11,0,06567,Vijay Singh,3.94,394,100
12,0,12716,Charley Hoffman,3.92,384,98
12,0,06527,Steve Stricker,3.92,243,62
14,0,21805,Harrison Frazar,3.89,354,91
15,0,24781,Hunter Mahan,3.88,380,98
16,0,01706,Davis Love III,3.87,294,76
17,0,02206,David Toms,3.86,266,69
18,0,24502,Adam Scott,3.85,262,68
19,0,27095,Nick Watney,3.84,365,95
20,0,24358,Robert Garrigus,3.83,318,83
20,0,22378,Trevor Immelman,3.83,329,86
20,0,23623,Bo Van Pelt,3.83,391,102
23,0,21209,Sergio Garcia,3.82,210,55
23,0,20608,David Howell,3.82,172,45
25,0,20498,Briny Baird,3.77,290,77
25,0,23320,Ryan Palmer,3.77,373,99
27,0,23135,Tim Clark,3.76,297,79
27,0,11123,Chris Couch,3.76,282,75
27,0,23541,Ben Crane,3.76,301,80
27,0,11032,Frank Lickliter II,3.76,365,97
31,0,10885,Robert Allenby,3.74,288,77
31,0,20098,Stuart Appleby,3.74,292,78
31,0,06034,Marco Dawson,3.74,325,87
31,0,10423,Mike Weir,3.74,318,85
31,0,21878,Mark Wilson,3.74,284,76
36,0,06197,Michael Allen,3.73,313,84
36,0,19824,Craig Barlow,3.73,272,73
36,0,23983,Luke Donald,3.73,235,63
36,0,21949,Joe Ogilvie,3.73,339,91
40,0,23048,Eric Axley,3.72,331,89
40,0,20766,Padraig Harrington,3.72,186,50
42,0,20472,Alex Cejka,3.71,338,91
42,0,26360,Bubba Dickerson,3.71,356,96
44,0,24361,Pat Perez,3.70,185,50
44,0,02239,Scott Verplank,3.70,318,86
44,0,25804,Bubba Watson,3.70,292,79
47,0,20691,Greg Owen,3.69,284,77
47,0,22913,John Rollins,3.69,336,91
49,0,01941,Tom Pernice Jr.,3.68,383,104
50,0,20628,Arron Oberholser,3.67,290,79
51,0,06004,Stephen Ames,3.66,227,62
51,0,20229,Stewart Cink,3.66,322,88
51,0,06522,Ernie Els,3.66,234,64
51,0,06350,Bob May,3.66,227,62
51,0,27770,Camilo Villegas,3.66,340,93
56,0,23718,Nathan Green,3.65,380,104
56,0,27141,J.B. Holmes,3.65,281,77
58,0,10505,Shane Bertsch,3.64,371,102
58,0,19846,Brian Gay,3.64,389,107
58,0,20378,Mathias Grönberg,3.64,324,89
58,0,20572,Rod Pampling,3.64,306,84
62,0,12680,Shigeki Maruyama,3.63,334,92
62,0,24138,Ian Poulter,3.63,189,52
64,0,06621,Joe Durant,3.62,366,101
64,0,20157,Retief Goosen,3.62,217,60
64,0,26596,Ryan Moore,3.62,235,65
64,0,07749,Brett Quigley,3.62,380,105
68,0,12660,Jesper Parnevik,3.61,303,84
68,0,23621,Rory Sabbatini,3.61,300,83
70,0,07867,Woody Austin,3.60,385,107
70,0,08123,Jeff Brehaut,3.60,346,96
70,0,01161,Mark Calcavecchia,3.60,335,93
70,0,23497,Tag Ridings,3.60,360,100
70,0,07013,Wes Short Jr.,3.60,338,94
75,0,23614,Rich Beem,3.59,298,83
75,0,22046,Geoff Ogilvy,3.59,251,70
75,0,02214,Kirk Triplett,3.59,201,56
78,0,08075,Jerry Kelly,3.58,358,100
78,0,24912,Will MacKenzie,3.58,315,88
80,0,01035,Tommy Armour III,3.57,232,65
80,0,02104,Jeff Sluman,3.57,361,101
82,0,06251,Chris DiMarco,3.55,277,78
82,0,21731,Freddie Jacobson,3.55,199,56
82,0,21959,Ted Purdy,3.55,359,101
82,0,22293,Heath Slocum,3.55,330,93
82,0,12602,Dean Wilson,3.55,394,111
87,0,23353,J.J. Henry,3.54,329,93
87,0,21470,Daisuke Maruyama,3.54,280,79
87,0,20127,Chris Riley,3.54,290,82
87,0,20645,John Senden,3.54,329,93
87,0,02110,Jerry Smith,3.54,326,92
92,0,01139,Olin Browne,3.53,367,104
92,0,01577,Lee Janzen,3.53,279,79
92,0,25240,D.A. Points,3.53,282,80
95,0,21753,Brian Davis,3.52,317,90
96,0,06575,Dudley Hart,3.51,291,83
96,0,01553,John Huston,3.51,253,72
96,0,24140,Sean O'Hair,3.51,344,98
99,0,24507,Jason Bohn,3.49,363,104
99,0,01249,John Daly,3.49,171,49
99,0,20121,Todd Fischer,3.49,346,99
99,0,24980,Scott Gutschewski,3.49,178,51
99,0,24924,Bill Haas,3.49,335,96
99,0,10733,Kent Jones,3.49,352,101
99,0,06515,Shaun Micheel,3.49,325,93
106,0,12510,Chad Campbell,3.48,303,87
106,0,28475,Jeff Overton,3.48,324,93
106,0,02246,Duffy Waldorf,3.48,320,92
109,0,24357,K.J. Choi,3.47,319,92
109,0,08835,Kris Cox,3.47,281,81
109,0,01320,Bob Estes,3.47,295,85
109,0,20105,Jeff Gove,3.47,302,87
109,0,23788,D.J. Trahan,3.47,312,90
109,0,23349,Charles Warren,3.47,312,90
115,0,21407,Arjun Atwal,3.46,329,95
115,0,07457,Steve Flesch,3.46,398,115
115,0,20631,David McKenzie,3.46,277,80
115,0,25345,Carl Pettersson,3.46,322,93
119,0,26420,Richard Johnson,3.45,324,94
119,0,20382,Stephen Leaney,3.45,290,84
119,0,01707,Steve Lowery,3.45,335,97
122,0,22371,Aaron Baddeley,3.43,261,76
122,0,01666,Bernhard Langer,3.43,247,72
122,0,27120,Troy Matteson,3.43,346,101
125,0,02106,Chris Smith,3.42,229,67
126,0,21646,David Branshaw,3.41,334,98
126,0,09011,David Duval,3.41,235,69
126,0,12760,Danny Ellis,3.41,218,64
126,0,06573,Brandt Jobe,3.41,300,88
126,0,06373,José María Olazábal,3.41,198,58
131,0,21350,Ryuji Imada,3.40,347,102
132,0,20574,Mathew Goggin,3.39,237,70
132,0,01619,Skip Kendall,3.39,244,72
132,0,12755,Vance Veazey,3.39,200,59
135,0,12645,Brent Geiberger,3.38,328,97
136,0,01024,Billy Andrade,3.36,249,74
136,0,12823,Carlos Franco,3.36,289,86
136,0,27943,Matt Hansen,3.36,222,66
136,0,01724,Jeff Maggert,3.36,272,81
136,0,01945,Kenny Perry,3.36,242,72
136,0,02101,Joey Sindelar,3.36,302,90
136,0,06595,Kevin Sutherland,3.36,323,96
143,0,01388,Robert Gamez,3.35,315,94
143,0,22892,Jason Gore,3.35,281,84
143,0,06643,Paul Goydos,3.35,241,72
146,0,19881,Robert Damron,3.34,304,91
147,0,01381,Fred Funk,3.32,349,105
147,0,20094,Jonathan Kaye,3.32,305,92
149,0,08385,Omar Uresti,3.31,195,59
149,0,25632,Jimmy Walker,3.31,192,58
151,0,01766,Billy Mayfair,3.30,310,94
151,0,28780,Nicholas Thompson,3.30,307,93
153,0,01042,Paul Azinger,3.29,286,87
153,0,10565,Ian Leggatt,3.29,250,76
155,0,24024,Zach Johnson,3.28,289,88
156,0,20099,Doug Barron,3.26,238,73
156,0,23409,James Driscoll,3.26,261,80
156,0,02223,Bob Tway,3.26,254,78
159,0,20593,Greg Chalmers,3.25,218,67
159,0,01219,John Cook,3.25,218,67
159,0,21660,Jason Schultz,3.25,244,75
162,0,21961,Charles Howell III,3.23,300,93
162,0,06012,Greg Kraft,3.23,242,75
162,0,08375,Paul Stankowski,3.23,226,70
165,0,01226,Fred Couples,3.22,161,50
165,0,01313,Steve Elkington,3.22,164,51
165,0,22548,Patrick Sheehan,3.22,322,100
168,0,22946,Henrik Bjornstad,3.19,303,95
168,0,22621,Ben Curtis,3.19,274,86
168,0,19913,Ron Whittaker,3.19,252,79
171,0,11011,Mike Sposa,3.18,207,65
172,0,01761,Len Mattiace,3.17,187,59
173,0,25936,Alex Aragon,3.16,193,61
174,0,01599,Steve Jones,3.15,258,82
175,0,01142,Bart Bryant,3.14,270,86
175,0,01948,Tim Petrovic,3.14,286,91
177,0,23307,Roger Tambellini,3.13,191,61
178,0,12782,Tim Herron,3.11,252,81
178,0,10860,Justin Leonard,3.11,246,79
180,0,07223,Brian Bateman,3.09,201,65
180,0,01329,Brad Faxon,3.09,241,78
182,0,23673,Michael Connell,3.08,148,48
182,0,01887,Mark O'Meara,3.08,154,50
184,0,01685,J.L. Lewis,3.07,175,57
185,0,20634,Peter Lonard,3.04,231,76
186,0,23616,Ryan Hietala,3.02,178,59
186,0,20812,Tjaart van der Walt,3.02,172,57
188,0,01677,Tom Lehman,2.95,177,60
189,0,12662,Thomas Levet,2.90,148,51
190,0,01473,Todd Hamilton,2.89,208,72
190,0,01928,Corey Pavin,2.89,202,70
192,0,01132,Mark Brooks,2.88,256,89
193,0,25842,Jon Mills,2.83,187,66
194,0,25935,John Engler Jr.,2.82,189,67
195,0,01823,Larry Mize,2.75,140,51
196,0,20548,Hidemichi Tanaka,2.64,193,73
