RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,08793,Tiger Woods,27.14,254,936
2,0,01810,Phil Mickelson,25.12,312,1242
3,0,24925,Jonathan Byrd,24.07,286,1188
4,0,20850,Daniel Chopra,23.26,448,1926
5,0,23322,Brett Wetterich,23.04,340,1476
6,0,23325,Vaughn Taylor,22.98,364,1584
7,0,25900,Lucas Glover,22.77,414,1818
8,0,10809,Jim Furyk,22.73,360,1584
9,0,22405,Justin Rose,22.63,387,1710
10,0,06567,Vijay Singh,22.61,407,1800
11,0,12716,Charley Hoffman,22.51,397,1764
12,0,24502,Adam Scott,22.39,274,1224
13,0,21805,Harrison Frazar,22.28,365,1638
14,0,08537,J.P. Hayes,22.22,220,990
14,0,06527,Steve Stricker,22.22,248,1116
16,0,01706,Davis Love III,22.15,303,1368
17,0,02206,David Toms,21.90,272,1242
18,0,24358,Robert Garrigus,21.89,327,1494
19,0,24781,Hunter Mahan,21.88,386,1764
20,0,23623,Bo Van Pelt,21.84,401,1836
21,0,21209,Sergio Garcia,21.82,216,990
22,0,27095,Nick Watney,21.81,373,1710
23,0,10885,Robert Allenby,21.79,302,1386
24,0,22378,Trevor Immelman,21.77,337,1548
25,0,27141,J.B. Holmes,21.65,300,1386
26,0,19824,Craig Barlow,21.61,284,1314
27,0,22913,John Rollins,21.49,352,1638
28,0,20498,Briny Baird,21.43,297,1386
29,0,23541,Ben Crane,21.39,308,1440
30,0,20098,Stuart Appleby,21.37,300,1404
31,0,20608,David Howell,21.36,173,810
32,0,23320,Ryan Palmer,21.32,380,1782
33,0,11032,Frank Lickliter II,21.31,372,1746
33,0,25804,Bubba Watson,21.31,303,1422
35,0,23048,Eric Axley,21.29,341,1602
36,0,23983,Luke Donald,21.25,241,1134
37,0,10423,Mike Weir,21.24,325,1530
38,0,11123,Chris Couch,21.19,286,1350
39,0,23135,Tim Clark,21.17,301,1422
40,0,06197,Michael Allen,21.16,320,1512
41,0,06004,Stephen Ames,21.15,236,1116
42,0,21878,Mark Wilson,21.13,289,1368
43,0,21949,Joe Ogilvie,21.12,346,1638
44,0,24361,Pat Perez,21.11,190,900
45,0,06034,Marco Dawson,21.07,330,1566
46,0,26360,Bubba Dickerson,21.06,364,1728
47,0,01941,Tom Pernice Jr.,21.05,394,1872
48,0,27770,Camilo Villegas,20.97,351,1674
49,0,20628,Arron Oberholser,20.96,298,1422
50,0,20472,Alex Cejka,20.94,343,1638
51,0,06522,Ernie Els,20.92,241,1152
52,0,20766,Padraig Harrington,20.89,188,900
53,0,02239,Scott Verplank,20.87,323,1548
54,0,20691,Greg Owen,20.85,289,1386
55,0,20229,Stewart Cink,20.77,329,1584
55,0,12660,Jesper Parnevik,20.77,314,1512
57,0,20157,Retief Goosen,20.74,224,1080
58,0,20378,Mathias Grönberg,20.66,331,1602
59,0,24912,Will MacKenzie,20.64,327,1584
60,0,06621,Joe Durant,20.63,375,1818
60,0,20572,Rod Pampling,20.63,312,1512
62,0,23718,Nathan Green,20.62,386,1872
62,0,23621,Rory Sabbatini,20.62,308,1494
64,0,06350,Bob May,20.61,230,1116
65,0,10505,Shane Bertsch,20.59,378,1836
66,0,22046,Geoff Ogilvy,20.56,259,1260
67,0,21959,Ted Purdy,20.52,373,1818
68,0,07749,Brett Quigley,20.48,387,1890
69,0,12680,Shigeki Maruyama,20.47,339,1656
70,0,19846,Brian Gay,20.46,394,1926
71,0,07013,Wes Short Jr.,20.45,346,1692
72,0,08075,Jerry Kelly,20.44,368,1800
73,0,26596,Ryan Moore,20.43,239,1170
74,0,21470,Daisuke Maruyama,20.39,290,1422
74,0,23497,Tag Ridings,20.39,367,1800
76,0,08123,Jeff Brehaut,20.37,352,1728
76,0,20645,John Senden,20.37,341,1674
78,0,07867,Woody Austin,20.35,392,1926
78,0,23614,Rich Beem,20.35,304,1494
80,0,02214,Kirk Triplett,20.34,205,1008
81,0,24138,Ian Poulter,20.30,190,936
82,0,01553,John Huston,20.29,263,1296
83,0,24980,Scott Gutschewski,20.26,186,918
84,0,23349,Charles Warren,20.25,328,1620
85,0,01161,Mark Calcavecchia,20.19,338,1674
85,0,23353,J.J. Henry,20.19,338,1674
87,0,08835,Kris Cox,20.16,294,1458
88,0,21731,Freddie Jacobson,20.14,203,1008
89,0,24140,Sean O'Hair,20.12,355,1764
89,0,12602,Dean Wilson,20.12,402,1998
91,0,01035,Tommy Armour III,20.09,235,1170
92,0,22293,Heath Slocum,20.07,336,1674
93,0,10733,Kent Jones,20.02,364,1818
93,0,02104,Jeff Sluman,20.02,364,1818
95,0,06251,Chris DiMarco,20.01,281,1404
96,0,21407,Arjun Atwal,20.00,342,1710
96,0,21753,Brian Davis,20.00,324,1620
96,0,25240,D.A. Points,20.00,288,1440
99,0,20127,Chris Riley,19.99,295,1476
100,0,01139,Olin Browne,19.98,374,1872
101,0,24924,Bill Haas,19.97,345,1728
102,0,06575,Dudley Hart,19.95,298,1494
103,0,23788,D.J. Trahan,19.94,323,1620
104,0,24507,Jason Bohn,19.93,373,1872
104,0,02110,Jerry Smith,19.93,330,1656
106,0,12510,Chad Campbell,19.92,312,1566
107,0,01577,Lee Janzen,19.90,283,1422
108,0,06515,Shaun Micheel,19.89,333,1674
109,0,07457,Steve Flesch,19.86,411,2070
110,0,01249,John Daly,19.84,175,882
111,0,25345,Carl Pettersson,19.83,332,1674
112,0,01707,Steve Lowery,19.76,345,1746
113,0,01320,Bob Estes,19.74,302,1530
114,0,06373,José María Olazábal,19.73,206,1044
115,0,20631,David McKenzie,19.72,284,1440
116,0,27120,Troy Matteson,19.69,358,1818
117,0,22371,Aaron Baddeley,19.66,269,1368
118,0,28475,Jeff Overton,19.65,329,1674
119,0,20121,Todd Fischer,19.64,350,1782
120,0,24357,K.J. Choi,19.63,325,1656
121,0,21646,David Branshaw,19.61,346,1764
122,0,01666,Bernhard Langer,19.60,254,1296
123,0,09011,David Duval,19.57,243,1242
123,0,06573,Brandt Jobe,19.57,310,1584
123,0,02106,Chris Smith,19.57,236,1206
123,0,02246,Duffy Waldorf,19.57,324,1656
127,0,12755,Vance Veazey,19.49,207,1062
128,0,22892,Jason Gore,19.44,294,1512
128,0,21350,Ryuji Imada,19.44,357,1836
128,0,06595,Kevin Sutherland,19.44,336,1728
131,0,20105,Jeff Gove,19.41,304,1566
132,0,26420,Richard Johnson,19.39,328,1692
133,0,20382,Stephen Leaney,19.31,292,1512
134,0,20574,Mathew Goggin,19.29,243,1260
135,0,12823,Carlos Franco,19.25,298,1548
136,0,01024,Billy Andrade,19.14,255,1332
137,0,27943,Matt Hansen,19.11,227,1188
138,0,12760,Danny Ellis,19.10,220,1152
139,0,12645,Brent Geiberger,19.07,333,1746
139,0,01724,Jeff Maggert,19.07,278,1458
141,0,01619,Skip Kendall,19.06,247,1296
141,0,01945,Kenny Perry,19.06,247,1296
143,0,02101,Joey Sindelar,19.01,308,1620
