RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,23983,Luke Donald,27.39
2,0,29289,S.Y. Noh,25.42
3,0,36689,Brooks Koepka,25.32
4,0,22405,Justin Rose,25.14
5,0,21753,Brian Davis,24.63
6,0,01810,Phil Mickelson,24.59
7,0,25804,Bubba Watson,24.28
8,0,27095,Nick Watney,24.20
9,0,32102,Rickie Fowler,24.07
10,0,35539,Luke Guthrie,23.85
10,0,25345,Carl Pettersson,23.85
12,0,32640,Troy Merritt,23.60
13,0,30852,Ryo Ishikawa,23.47
14,0,21961,Charles Howell III,23.42
15,0,34021,Bud Cauley,23.38
16,0,23320,Ryan Palmer,23.33
17,0,07867,Woody Austin,23.30
18,0,21528,Henrik Stenson,23.23
19,0,25632,Jimmy Walker,23.14
20,0,30927,Brendon Todd,23.13
21,0,33461,Morgan Hoffmann,23.05
22,0,34099,Harris English,22.98
23,0,25572,Graeme McDowell,22.93
24,0,10885,Robert Allenby,22.91
25,0,27936,Martin Laird,22.87
26,0,29478,Kevin Kisner,22.84
27,0,22046,Geoff Ogilvy,22.83
28,0,29420,Billy Horschel,22.82
29,0,10809,Jim Furyk,22.78
30,0,24490,George McNeill,22.67
31,0,32150,Michael Thompson,22.64
32,0,34265,Will Wilcox,22.48
33,0,20848,Ángel Cabrera,22.27
34,0,25562,Andres Romero,22.18
35,0,25274,Steven Bowditch,22.15
36,0,28237,Rory McIlroy,22.01
37,0,08075,Jerry Kelly,21.94
38,0,25364,Paul Casey,21.88
39,0,30944,Jason Kokrak,21.76
40,0,27436,Graham DeLaet,21.72
40,0,34046,Jordan Spieth,21.72
42,0,27141,J.B. Holmes,21.69
43,0,31323,Gary Woodland,21.67
44,0,24925,Jonathan Byrd,21.57
45,0,35300,Andrew Loupe,21.53
46,0,33419,Cameron Tringale,21.45
47,0,26331,Charl Schwartzel,21.43
48,0,23623,Bo Van Pelt,21.40
49,0,27214,Kevin Streelman,21.32
50,0,28132,Tyrone Van Aswegen,21.30
51,0,29740,Brad Fritsch,21.21
52,0,24358,Robert Garrigus,21.10
53,0,31560,Brian Stuard,21.07
54,0,26289,Boo Weekley,21.05
55,0,25191,Gonzalo Fernandez-Castaño,21.03
56,0,27408,Martin Kaymer,21.00
57,0,20157,Retief Goosen,20.92
58,0,01724,Jeff Maggert,20.89
59,0,20645,John Senden,20.82
60,0,20104,Ken Duke,20.81
61,0,32334,Charlie Beljan,20.80
61,0,12716,Charley Hoffman,20.80
63,0,28500,Martin Flores,20.75
64,0,24502,Adam Scott,20.73
65,0,20396,Lee Westwood,20.69
66,0,31557,Jim Herman,20.67
67,0,26851,Marc Leishman,20.61
68,0,29926,Danny Lee,20.59
68,0,33413,Ben Martin,20.59
70,0,01706,Davis Love III,20.54
71,0,27644,Brian Harman,20.47
71,0,26679,Kevin Stadler,20.47
73,0,22371,Aaron Baddeley,20.36
74,0,34409,David Lingmerth,20.33
74,0,35541,John Peterson,20.33
76,0,34098,Russell Henley,20.32
77,0,25834,Daniel Summerhays,20.31
78,0,24024,Zach Johnson,20.25
79,0,24138,Ian Poulter,20.24
80,0,28475,Jeff Overton,20.09
81,0,32366,Kevin Chappell,20.00
81,0,21209,Sergio Garcia,20.00
81,0,34261,Scott Langley,20.00
81,0,29461,Jamie Lovemark,20.00
81,0,31193,Jim Renner,20.00
86,0,30926,Chris Kirk,19.93
87,0,02206,David Toms,19.86
88,0,32448,James Hahn,19.84
89,0,29425,Andrew Svoboda,19.80
90,0,37273,Derek Ernst,19.78
91,0,20498,Briny Baird,19.75
92,0,25396,Kevin Na,19.74
93,0,23409,James Driscoll,19.67
94,0,24846,Ricky Barnes,19.65
95,0,28780,Nicholas Thompson,19.63
96,0,24357,K.J. Choi,19.59
97,0,26758,David Hearn,19.41
98,0,29479,Scott Brown,19.34
99,0,27770,Camilo Villegas,19.32
100,0,34174,John Huh,19.25
101,0,27963,Chris Stroud,19.20
102,0,29518,Brendan Steele,19.15
103,0,26596,Ryan Moore,19.13
104,0,26300,Matt Jones,19.03
105,0,33122,Russell Knox,18.98
106,0,25686,Jason Dufner,18.97
107,0,34563,Chesson Hadley,18.86
108,0,06567,Vijay Singh,18.85
109,0,34264,Hudson Swafford,18.78
110,0,20098,Stuart Appleby,18.70
111,0,23541,Ben Crane,18.67
112,0,32839,Hideki Matsuyama,18.64
113,0,33141,Keegan Bradley,18.60
113,0,10423,Mike Weir,18.60
115,0,26329,Louis Oosthuizen,18.59
116,0,25444,Justin Hicks,18.50
117,0,27649,Brandt Snedeker,18.47
118,0,24781,Hunter Mahan,18.44
119,0,30925,Dustin Johnson,18.38
120,0,29221,Webb Simpson,18.33
121,0,25720,Chad Collins,18.30
122,0,20229,Stewart Cink,18.28
123,0,27120,Troy Matteson,18.23
124,0,28259,Sangmoon Bae,18.18
124,0,28307,Matt Every,18.18
126,0,27330,Josh Teater,18.15
127,0,24924,Bill Haas,17.94
127,0,27933,John Merrick,17.94
129,0,24912,Will MacKenzie,17.92
130,0,29222,Billy Hurley III,17.89
131,0,24507,Jason Bohn,17.75
132,0,26956,Bronson La'Cassie,17.69
133,0,30110,Kyle Stanley,17.67
134,0,30692,Scott Stallings,17.58
135,0,20593,Greg Chalmers,17.57
136,0,34360,Patrick Reed,17.49
136,0,25349,Tim Wilkinson,17.49
138,0,23621,Rory Sabbatini,17.39
138,0,22293,Heath Slocum,17.39
140,0,29535,Brice Garnett,17.34
141,0,30750,Tommy Gainey,17.30
142,0,24361,Pat Perez,17.09
143,0,35139,Richard Lee,16.96
143,0,24140,Sean O'Hair,16.96
145,0,25240,D.A. Points,16.94
146,0,34431,Robert Streb,16.91
147,0,22621,Ben Curtis,16.89
148,0,20160,Charlie Wi,16.83
149,0,23135,Tim Clark,16.75
150,0,28486,Michael Putnam,16.67
150,0,33418,Shawn Stefani,16.67
152,0,23108,Matt Kuchar,16.59
153,0,27895,Jonas Blixt,16.57
154,0,10860,Justin Leonard,16.36
155,0,27556,Ted Potter Jr.,16.28
156,0,21878,Mark Wilson,16.11
157,0,24663,Y.E. Yang,15.92
158,0,23638,Brendon de Jonge,15.87
159,0,28089,Jason Day,15.79
159,0,06522,Ernie Els,15.79
161,0,35732,Wes Roach,15.58
162,0,32200,Roberto Castro,15.55
163,0,28092,D.H. Lee,15.53
164,0,31202,William McGirt,15.50
165,0,27064,Jhonattan Vegas,15.20
166,0,26951,Johnson Wagner,14.84
167,0,22378,Trevor Immelman,14.52
168,0,25900,Lucas Glover,14.47
169,0,23800,Bryce Molder,14.29
170,0,19846,Brian Gay,14.22
170,0,23353,J.J. Henry,14.22
172,0,24494,Erik Compton,14.12
173,0,21731,Freddie Jacobson,14.11
174,0,32333,Kevin Tway,13.88
175,0,27466,Spencer Levin,13.86
176,0,12510,Chad Campbell,11.02
177,0,22913,John Rollins,9.62
