RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,01559,Hale Irwin,.40,1,252
2,0,01049,Ian Baker-Finch,.85,2,234
2,0,01239,Michael Cunning,.85,2,234
4,0,01943,Chris Perry,.93,2,216
4,0,01960,Don Pooley,.93,2,216
6,0,01355,Raymond Floyd,1.11,3,270
6,0,01723,Andrew Magee,1.11,4,360
6,0,02095,Larry Silveira,1.11,2,180
9,0,01876,Greg Norman,1.19,3,252
9,0,02167,Mike Sullivan,1.19,3,252
11,0,02111,Mike Smith,1.21,5,414
12,0,02322,Richard Zokol,1.28,3,234
13,0,02279,Mark Wiebe,1.31,4,306
14,0,01408,Kelly Gibson,1.39,4,288
15,0,01261,Jay Delsing,1.46,5,342
16,0,01435,Wayne Grady,1.48,4,270
17,0,02104,Jeff Sluman,1.50,7,468
18,0,01132,Mark Brooks,1.56,7,450
19,0,06122,Greg Hickman,1.59,2,126
20,0,01550,Ed Humenik,1.67,6,360
20,0,02224,Greg Twiggs,1.67,3,180
22,0,02190,Doug Tewell,1.74,5,288
22,0,02225,Howard Twitty,1.74,5,288
24,0,01569,Peter Jacobsen,1.75,6,342
24,0,02090,Tom Sieckmann,1.75,6,342
26,0,02185,Lance Ten Broeck,1.77,7,396
27,0,01323,Brad Fabel,1.85,7,378
27,0,01414,Bob Gilder,1.85,6,324
27,0,01443,Hubert Green,1.85,2,108
27,0,01457,Jay Haas,1.85,8,432
27,0,01495,Morris Hatalsky,1.85,4,216
32,0,02067,Ted Schulz,1.93,8,414
33,0,01346,Ed Fiori,1.94,7,360
34,0,02099,Scott Simpson,1.96,6,306
35,0,08277,Greg Lesher,1.98,5,252
36,0,01168,David Canipe,2.02,4,198
36,0,01553,John Huston,2.02,8,396
36,0,01958,Dan Pohl,2.02,4,198
36,0,02214,Kirk Triplett,2.02,4,198
40,0,01331,Rick Fehr,2.05,7,342
40,0,02246,Duffy Waldorf,2.05,7,342
42,0,01024,Billy Andrade,2.08,6,288
42,0,01378,David Frost,2.08,6,288
44,0,01093,Ronnie Black,2.12,8,378
44,0,01288,Ed Dougherty,2.12,8,378
44,0,01313,Steve Elkington,2.12,8,378
44,0,01771,Blaine McCallister,2.12,8,378
44,0,01928,Corey Pavin,2.12,8,378
49,0,01035,Tommy Armour III,2.14,5,234
49,0,02159,Curtis Strange,2.14,5,234
51,0,01823,Larry Mize,2.16,7,324
51,0,02267,D.A. Weibring,2.16,7,324
53,0,01706,Davis Love III,2.17,9,414
54,0,01042,Paul Azinger,2.22,8,360
54,0,01226,Fred Couples,2.22,8,360
54,0,02311,Kim Young,2.22,4,180
57,0,01489,Steve Hart,2.29,7,306
58,0,01353,Bruce Fleisher,2.31,10,432
58,0,01522,Lon Hinkle,2.31,5,216
60,0,06124,Patrick Burke,2.34,8,342
61,0,06034,Marco Dawson,2.38,6,252
61,0,01469,Dan Halldorson,2.38,6,252
61,0,01475,Donnie Hammond,2.38,6,252
61,0,01978,Fran Quinn,2.38,3,126
61,0,02206,David Toms,2.38,6,252
66,0,01129,Bill Britton,2.47,8,324
66,0,01219,John Cook,2.47,8,324
66,0,01307,Joel Edwards,2.47,4,162
66,0,02230,Stan Utley,2.47,4,162
70,0,01376,Bob Friend,2.50,9,360
70,0,01837,Gil Morgan,2.50,9,360
72,0,02135,Mike Standly,2.53,10,396
72,0,02170,Hal Sutton,2.53,5,198
74,0,01755,Dick Mast,2.56,6,234
74,0,02321,Fuzzy Zoeller,2.56,6,234
76,0,01098,Jay Don Blake,2.59,7,270
77,0,01133,Billy Ray Brown,2.61,8,306
77,0,01797,Rocco Mediate,2.61,8,306
79,0,01235,Ben Crenshaw,2.63,9,342
79,0,02292,Bob Wolcott,2.63,9,342
81,0,01196,Brian Claar,2.65,10,378
82,0,02010,Loren Roberts,2.66,11,414
83,0,06142,Mitch Adcock,2.78,6,216
83,0,01096,Phil Blackmar,2.78,9,324
83,0,01139,Olin Browne,2.78,8,288
83,0,01458,Jerry Haas,2.78,6,216
83,0,08537,J.P. Hayes,2.78,6,216
83,0,01510,Nolan Henke,2.78,8,288
83,0,01549,Mike Hulbert,2.78,12,432
83,0,01690,Bruce Lietzke,2.78,8,288
83,0,01766,Billy Mayfair,2.78,13,468
83,0,01926,Steve Pate,2.78,12,432
83,0,01946,Peter Persons,2.78,11,396
83,0,01968,Nick Price,2.78,12,432
83,0,02201,Jim Thorpe,2.78,4,144
83,0,02298,Jim Woodward,2.78,6,216
97,0,01014,Fulton Allem,2.91,11,378
98,0,01249,John Daly,2.94,9,306
98,0,02049,Gene Sauers,2.94,9,306
100,0,01996,Mike Reid,2.96,8,270
101,0,01418,Bill Glasson,3.03,6,198
101,0,06132,Sonny Skinner,3.03,6,198
101,0,02195,Leonard Thompson,3.03,6,198
101,0,06751,Chris Tucker,3.03,6,198
105,0,06575,Dudley Hart,3.06,11,360
106,0,01006,John Adams,3.09,10,324
106,0,01701,Bob Lohr,3.09,10,324
106,0,01971,Dillard Pruitt,3.09,10,324
109,0,01385,Jim Gallagher Jr.,3.11,14,450
110,0,06040,John Ross,3.13,9,288
111,0,01329,Brad Faxon,3.17,12,378
111,0,01577,Lee Janzen,3.17,12,378
111,0,02226,Tray Tyner,3.17,4,126
114,0,01444,Ken Green,3.22,11,342
115,0,01677,Tom Lehman,3.24,14,432
116,0,06128,Steve Lamontagne,3.27,10,306
116,0,01945,Kenny Perry,3.27,10,306
118,0,02101,Joey Sindelar,3.28,13,396
119,0,01143,Brad Bryant,3.29,16,486
120,0,01181,Jon Chaffee,3.33,3,90
120,0,06150,Carl Cooper,3.33,6,180
120,0,01846,Jodie Mudd,3.33,9,270
123,0,02007,Larry Rinker,3.40,11,324
124,0,02223,Bob Tway,3.42,8,234
125,0,01072,Chip Beck,3.44,13,378
126,0,01361,Dan Forsman,3.50,17,486
127,0,01682,Wayne Levi,3.51,12,342
127,0,06090,Jim McGovern,3.51,12,342
127,0,02033,Dave Rummells,3.51,12,342
130,0,01203,Russ Cochran,3.54,14,396
130,0,01306,David Edwards,3.54,14,396
130,0,01639,Kenny Knox,3.54,7,198
130,0,01725,John Mahaffey,3.54,7,198
130,0,01938,David Peoples,3.54,14,396
135,0,01390,Buddy Gardner,3.57,9,252
135,0,02303,Robert Wrenn,3.57,9,252
137,0,01783,Mark McCumber,3.59,11,306
