RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,01677,Tom Lehman,$80916,1780158
2,0,01810,Phil Mickelson,$80847,1697799
3,0,08793,Tiger Woods,$71872,790594
4,0,01226,Fred Couples,$69371,1248693
5,0,06527,Steve Stricker,$62897,1383738
6,0,08635,Colin Montgomerie,$60144,421011
7,0,01887,Mark O'Meara,$59797,1255749
8,0,01326,Nick Faldo,$58913,942620
9,0,19991,Peter Hedblom,$54250,54250
9,0,07269,Greg Turner,$54250,54250
11,0,01706,Davis Love III,$52658,1211138
12,0,01876,Greg Norman,$52425,891236
13,0,02256,Tom Watson,$50749,761237
14,0,06522,Ernie Els,$50385,906944
15,0,01132,Mark Brooks,$49289,1429396
16,0,01329,Brad Faxon,$47956,1055050
17,0,09011,David Duval,$42481,977078
18,0,01928,Corey Pavin,$38696,851320
19,0,01527,Scott Hoch,$38502,1039564
20,0,01945,Kenny Perry,$37003,925078
21,0,06567,Vijay Singh,$35630,855139
22,0,06613,Tommy Tolles,$34863,871588
23,0,01355,Raymond Floyd,$33900,67800
24,0,10457,Frank Nobilo,$32786,262291
25,0,10860,Justin Leonard,$32522,943140
26,0,01783,Mark McCumber,$32481,487225
27,0,06575,Dudley Hart,$32476,422197
28,0,01599,Steve Jones,$32425,810644
29,0,01219,John Cook,$31971,831259
30,0,01116,Michael Bradley,$31570,820825
31,0,02010,Loren Roberts,$31531,725230
32,0,12461,Paul McGinley,$31387,31387
33,0,01724,Jeff Maggert,$30959,804954
34,0,02246,Duffy Waldorf,$28780,604381
35,0,01968,Nick Price,$26831,402467
36,0,10809,Jim Furyk,$26391,738949
37,0,01381,Fred Funk,$26268,814333
38,0,02267,D.A. Weibring,$25663,436275
39,0,02294,Willie Wood,$25515,255158
40,0,12680,Shigeki Maruyama,$25293,50587
41,0,01313,Steve Elkington,$24191,459637
42,0,20766,Padraig Harrington,$24025,24025
42,0,20858,Michael Welch,$24025,24025
44,0,01797,Rocco Mediate,$22631,475255
45,0,20229,Stewart Cink,$21742,108710
46,0,02321,Fuzzy Zoeller,$21726,347629
47,0,01161,Mark Calcavecchia,$21684,628850
48,0,02104,Jeff Sluman,$21670,650127
49,0,02146,Payne Stewart,$21491,537293
50,0,02223,Bob Tway,$21178,529456
51,0,19825,Darren Clarke,$20925,41850
52,0,12660,Jesper Parnevik,$20487,389266
53,0,01553,John Huston,$20246,506173
54,0,01457,Jay Haas,$20116,523018
55,0,01577,Lee Janzen,$20033,540916
56,0,08633,Per-Ulrik Johansson,$19775,79100
57,0,01920,Craig Parry,$18925,454203
58,0,02133,Craig Stadler,$18712,336819
59,0,19919,Carl Mason,$18406,18406
60,0,01891,David Ogrin,$17907,537224
61,0,01040,Emlyn Aubrey,$17412,296005
62,0,01378,David Frost,$17406,382947
63,0,01975,Tom Purtzer,$17236,396443
64,0,02023,Clarence Rose,$17107,461898
65,0,01796,Mark McNulty,$15693,31387
66,0,08375,Paul Stankowski,$15622,390574
67,0,01024,Billy Andrade,$15469,433156
68,0,07867,Woody Austin,$15411,539397
69,0,12782,Tim Herron,$15344,475670
70,0,01633,Tom Kite,$15206,319326
71,0,06643,Paul Goydos,$15107,438111
72,0,10585,Scott McCarron,$14975,404328
73,0,10962,Bradley Hughes,$14884,74420
74,0,08191,Paul Broadhurst,$14763,14763
74,0,19965,Peter Mitchell,$14763,14763
76,0,02214,Kirk Triplett,$14623,321714
77,0,01864,Larry Nelson,$14527,305082
78,0,01837,Gil Morgan,$14432,259776
79,0,02099,Scott Simpson,$14074,309647
80,0,06088,Steve Gotsche,$14070,14070
81,0,01823,Larry Mize,$13802,317467
82,0,01201,Lennie Clements,$13548,325166
83,0,20472,Alex Cejka,$13496,134960
84,0,01098,Jay Don Blake,$13358,347328
85,0,06791,Mark Wurtz,$13040,13040
86,0,01723,Andrew Magee,$12788,332503
87,0,01766,Billy Mayfair,$12773,357653
88,0,01510,Nolan Henke,$12613,302725
89,0,01346,Ed Fiori,$12442,261292
90,0,01331,Rick Fehr,$12417,273186
91,0,06012,Greg Kraft,$12285,331708
92,0,01736,Roger Maltbie,$12200,48800
93,0,14269,Eamonn Darcy,$12157,12157
93,0,02020,Eduardo Romero,$12157,12157
95,0,20154,Guy Hill,$12000,24000
96,0,07235,John Morse,$11929,322089
97,0,01203,Russ Cochran,$11792,330183
98,0,02245,Grant Waite,$11626,302287
99,0,01560,David Ishii,$11605,11605
100,0,01385,Jim Gallagher Jr.,$11572,277739
101,0,20856,Klas Eriksson,$11082,11082
102,0,06124,Patrick Burke,$11045,265082
103,0,08931,Glen Day,$11041,298130
104,0,11722,Stewart Ginn,$10880,21760
105,0,08075,Jerry Kelly,$10862,336748
106,0,01042,Paul Azinger,$10547,232040
107,0,01559,Hale Irwin,$10516,31550
108,0,01905,Joe Ozaki,$10352,227762
109,0,01006,John Adams,$10313,257839
110,0,01353,Bruce Fleisher,$10241,143380
111,0,02054,Ken Schall,$10200,20400
112,0,01185,Brandel Chamblee,$10141,233264
113,0,19896,Patrick Lee,$10125,20250
114,0,01388,Robert Gamez,$9969,249227
115,0,20371,Richard Boxall,$9920,9920
115,0,01473,Todd Hamilton,$9920,9920
117,0,02101,Joey Sindelar,$9840,275531
118,0,01682,Wayne Levi,$9749,194998
118,0,20548,Hidemichi Tanaka,$9749,38999
120,0,10569,Mike Brisky,$9642,260359
121,0,01093,Ronnie Black,$9512,247319
122,0,01143,Brad Bryant,$9384,253381
123,0,20471,Sven Struver,$9350,18700
124,0,06034,Marco Dawson,$9345,261660
125,0,01235,Ben Crenshaw,$9308,176856
126,0,01943,Chris Perry,$9208,184170
127,0,01307,Joel Edwards,$9201,248450
128,0,07003,David Berganio Jr.,$9147,36590
129,0,06214,Guy Boros,$9140,283358
130,0,10824,Seiki Okuda,$9100,18200
131,0,01014,Fulton Allem,$9028,162515
132,0,20104,Ken Duke,$8900,8900
133,0,19958,Miguel Angel Jiménez,$8876,26630
134,0,06004,Stephen Ames,$8815,8815
134,0,19980,Jim Payne,$8815,8815
136,0,01408,Kelly Gibson,$8777,307227
137,0,01685,J.L. Lewis,$8706,26118
138,0,02077,Nobuo Serizawa,$8520,8520
139,0,01707,Steve Lowery,$8500,263505
140,0,13155,Brian Barnes,$8486,8486
140,0,20596,Michael Jonzon,$8486,8486
142,0,01323,Brad Fabel,$8469,228667
143,0,01306,David Edwards,$8415,201973
144,0,01139,Olin Browne,$8285,223703
145,0,21635,Gordon Law,$8215,8215
145,0,19992,Carl Suneson,$8215,8215
147,0,02115,Taylor Smith,$8204,221517
148,0,01096,Phil Blackmar,$8188,229274
149,0,02279,Mark Wiebe,$8042,201057
150,0,20817,David Russell,$7982,7982
151,0,01761,Len Mattiace,$7965,238976
152,0,01072,Chip Beck,$7866,228127
153,0,01189,Bob Charles,$7750,7750
154,0,01361,Dan Forsman,$7736,170198
155,0,01690,Bruce Lietzke,$7683,122940
156,0,01549,Mike Hulbert,$7584,235130
157,0,02159,Curtis Strange,$7578,181883
158,0,19974,Roger Chapman,$7556,7556
158,0,19907,Domingo Hospital,$7556,7556
160,0,01249,John Daly,$7545,173556
161,0,02239,Scott Verplank,$7400,88800
162,0,20157,Retief Goosen,$7362,7362
163,0,06315,Pete Jordan,$7355,191239
164,0,10423,Mike Weir,$7324,36624
165,0,20953,Arnaud Langenaeken,$7285,7285
166,0,01748,Doug Martin,$7264,210667
167,0,01906,Masashi Jumbo Ozaki,$7230,28920
168,0,01175,Jim Carter,$7216,223696
169,0,02206,David Toms,$7075,205187
170,0,01996,Mike Reid,$7012,161284
171,0,06577,John Wilson,$7004,182121
172,0,02300,Ian Woosnam,$6949,41696
173,0,02207,Sam Torrance,$6909,41454
174,0,01886,Peter O'Malley,$6710,33552
175,0,01569,Peter Jacobsen,$6694,127197
176,0,02170,Hal Sutton,$6680,193722
177,0,20400,Michael Campbell,$6633,66338
178,0,08547,John Maginnes,$6573,184064
179,0,06332,Neal Lancaster,$6562,210000
180,0,01771,Blaine McCallister,$6408,179426
181,0,01157,Tom Byrum,$6403,166500
182,0,01717,Sandy Lyle,$6299,94489
183,0,01869,Jack Nicklaus,$6296,37779
184,0,01418,Bill Glasson,$6253,50028
185,0,10213,Dicky Pride,$6216,167851
186,0,01572,Mark James,$6135,18406
187,0,01156,Curt Byrum,$6130,104225
188,0,06036,Scott Dunlap,$6024,168682
189,0,09071,David Gilford,$5994,17982
190,0,07087,Hugh Royer III,$5905,183066
191,0,06148,Dennis Harrington,$5825,5825
191,0,01849,Bill Murchison,$5825,5825
191,0,06386,Bill Porter,$5825,5825
194,0,02008,Lee Rinker,$5797,185529
195,0,06044,Scott Gump,$5720,177332
196,0,07721,Pat Bates,$5713,5713
197,0,01198,Howard Clark,$5695,11390
198,0,01334,Keith Fergus,$5677,164639
199,0,01958,Dan Pohl,$5586,100561
200,0,20259,Hisayuki Sasaki,$5560,105650
201,0,12387,Michael Christie,$5505,5505
202,0,01200,Keith Clearwater,$5504,137616
203,0,02131,Mike Springer,$5488,164665
204,0,20098,Stuart Appleby,$5482,164483
205,0,10733,Kent Jones,$5415,5415
206,0,01360,Anders Forsbrand,$5398,43190
207,0,01444,Ken Green,$5388,161663
208,0,08385,Omar Uresti,$5368,171797
209,0,05466,Jack O'Keefe,$5305,5305
209,0,08465,Javier Sanchez,$5305,5305
211,0,01941,Tom Pernice Jr.,$5235,5235
