RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,29221,Webb Simpson,66.10,351,531
2,0,26951,Johnson Wagner,65.41,261,399
3,0,26329,Louis Oosthuizen,64.26,214,333
4,0,26596,Ryan Moore,64.16,281,438
4,0,08793,Tiger Woods,64.16,256,399
6,0,20472,Alex Cejka,64.00,288,450
7,0,28252,Seamus Power,63.80,312,489
8,0,25396,Kevin Na,63.62,348,547
9,0,23108,Matt Kuchar,63.60,304,478
10,0,30926,Chris Kirk,63.53,385,606
11,0,34076,Joel Dahmen,63.31,302,477
12,0,36689,Brooks Koepka,63.28,224,354
13,0,19846,Brian Gay,63.26,408,645
14,0,32102,Rickie Fowler,63.05,256,406
15,0,22405,Justin Rose,63.03,225,357
16,0,23541,Ben Crane,63.00,235,373
17,0,28237,Rory McIlroy,62.97,233,370
18,0,34360,Patrick Reed,62.94,355,564
19,0,31202,William McGirt,62.86,286,455
20,0,45526,Abraham Ancer,62.69,363,579
21,0,10809,Jim Furyk,62.58,199,318
21,0,34363,Tyrrell Hatton,62.58,204,326
23,0,30925,Dustin Johnson,62.50,245,392
24,0,33448,Justin Thomas,62.47,288,461
25,0,28089,Jason Day,62.35,265,425
25,0,24024,Zach Johnson,62.35,318,510
27,0,26476,Chez Reavie,62.27,302,485
28,0,46435,Austin Cook,62.02,400,645
29,0,25493,Nick Taylor,61.83,324,524
30,0,27349,Alex Noren,61.74,234,379
31,0,34046,Jordan Spieth,61.63,249,404
32,0,34256,Andrew Putnam,61.52,291,473
33,0,40058,Zac Blair,61.43,215,350
34,0,35532,Tom Hoge,61.41,374,609
35,0,23621,Rory Sabbatini,61.36,316,515
36,0,34466,Peter Malnati,61.30,339,553
37,0,33948,Byeong Hun An,61.16,296,484
38,0,35891,Cameron Smith,61.12,316,517
39,0,22371,Aaron Baddeley,61.09,314,514
40,0,29461,Jamie Lovemark,61.07,342,560
41,0,31646,Emiliano Grillo,61.05,315,516
42,0,25892,Steve Wheatcroft,61.03,213,349
43,0,27214,Kevin Streelman,60.93,287,471
44,0,21961,Charles Howell III,60.87,336,552
45,0,30692,Scott Stallings,60.86,339,557
46,0,29926,Danny Lee,60.81,329,541
47,0,32839,Hideki Matsuyama,60.80,242,398
48,0,21528,Henrik Stenson,60.67,162,267
49,0,28775,Nate Lashley,60.59,163,269
50,0,25364,Paul Casey,60.58,249,411
51,0,24924,Bill Haas,60.34,283,469
52,0,29478,Kevin Kisner,60.29,293,486
53,0,48084,Wesley Bryan,60.17,281,467
54,0,26300,Matt Jones,60.16,225,374
55,0,19803,Ryan Armour,60.13,368,612
56,0,34021,Bud Cauley,60.12,205,341
57,0,27649,Brandt Snedeker,60.08,310,516
58,0,35461,Beau Hossler,60.00,360,600
58,0,39328,Conrad Shindler,60.00,204,340
60,0,27963,Chris Stroud,59.96,292,487
61,0,25572,Graeme McDowell,59.95,226,377
62,0,23325,Vaughn Taylor,59.91,281,469
63,0,47959,Bryson DeChambeau,59.84,304,508
64,0,25900,Lucas Glover,59.83,216,361
64,0,47993,Denny McCarthy,59.83,216,361
64,0,34358,Jonathan Randolph,59.83,277,463
67,0,32448,James Hahn,59.62,279,468
68,0,27942,Rob Oppenheim,59.55,262,440
69,0,46402,Talor Gooch,59.53,281,472
70,0,33122,Russell Knox,59.43,293,493
71,0,12510,Chad Campbell,59.39,291,490
72,0,31560,Brian Stuard,59.23,340,574
73,0,27936,Martin Laird,59.15,236,399
74,0,25632,Jimmy Walker,59.09,312,528
75,0,26851,Marc Leishman,59.07,319,540
76,0,40026,Daniel Berger,58.94,267,453
77,0,35879,Kelly Kraft,58.93,353,599
78,0,40009,Dominic Bozzelli,58.86,269,457
79,0,28679,Fabián Gómez,58.85,286,486
80,0,24781,Hunter Mahan,58.81,207,352
81,0,33413,Ben Martin,58.80,244,415
82,0,25198,Francesco Molinari,58.67,220,375
83,0,29535,Brice Garnett,58.63,333,568
84,0,27064,Jhonattan Vegas,58.60,327,558
85,0,33399,Adam Hadwin,58.59,300,512
86,0,34409,David Lingmerth,58.57,304,519
87,0,35376,Roberto Díaz,58.56,260,444
87,0,37454,Whee Kim,58.56,342,584
