RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,23108,Matt Kuchar,$1193700
2,0,27120,Troy Matteson,$941455
3,0,06004,Stephen Ames,$889250
4,0,27936,Martin Laird,$872250
5,0,24490,George McNeill,$783200
6,0,23325,Vaughn Taylor,$659000
7,0,32102,Rickie Fowler,$571090
8,0,01948,Tim Petrovic,$539800
9,0,10860,Justin Leonard,$491700
10,0,29461,Jamie Lovemark,$440000
11,0,12510,Chad Campbell,$396016
12,0,22348,Nick O'Hern,$371456
13,0,27683,Leif Olson,$348000
14,0,22405,Justin Rose,$308800
15,0,25632,Jimmy Walker,$300850
16,0,25240,D.A. Points,$289865
17,0,28780,Nicholas Thompson,$266728
18,0,29221,Webb Simpson,$252700
19,0,26596,Ryan Moore,$248700
20,0,23135,Tim Clark,$246230
20,0,23548,Bill Lunde,$246230
22,0,23623,Bo Van Pelt,$234522
23,0,20645,John Senden,$228000
24,0,24503,Jeff Klauk,$207658
25,0,01941,Tom Pernice Jr.,$202598
26,0,27963,Chris Stroud,$201129
27,0,20378,Mathias Grönberg,$197528
28,0,23541,Ben Crane,$197400
28,0,25818,Scott Piercy,$197400
30,0,21805,Harrison Frazar,$195930
31,0,23788,D.J. Trahan,$194898
32,0,25345,Carl Pettersson,$188685
33,0,20472,Alex Cejka,$185040
34,0,10809,Jim Furyk,$184800
35,0,20686,Jeev Milkha Singh,$183504
36,0,20572,Rod Pampling,$174600
37,0,23800,Bryce Molder,$173750
37,0,10423,Mike Weir,$173750
39,0,25562,Andres Romero,$169430
40,0,24925,Jonathan Byrd,$166300
41,0,21753,Brian Davis,$162575
42,0,26498,Matt Weibring,$161904
43,0,12716,Charley Hoffman,$151200
44,0,21731,Freddie Jacobson,$149159
45,0,20634,Peter Lonard,$145344
46,0,23621,Rory Sabbatini,$144500
47,0,24507,Jason Bohn,$140690
48,0,22293,Heath Slocum,$135000
49,0,24024,Zach Johnson,$131600
50,0,24924,Bill Haas,$124400
