RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$618127,10508163
2,0,02256,Tom Watson,$366301,732603
3,0,01810,Phil Mickelson,$296264,5332754
4,0,06527,Steve Stricker,$287847,6332635
5,0,21528,Henrik Stenson,$255018,2550184
6,0,25364,Paul Casey,$215181,2582181
7,0,22000,Chris Wood,$214220,428441
8,0,22046,Geoff Ogilvy,$193313,3866269
9,0,24140,Sean O'Hair,$187673,4316493
10,0,01945,Kenny Perry,$185231,4445561
11,0,24024,Zach Johnson,$181338,4714812
12,0,10809,Jim Furyk,$171587,3946515
13,0,20157,Retief Goosen,$161632,3232649
14,0,20848,Ángel Cabrera,$154439,2625471
15,0,24663,Y.E. Yang,$151718,3489515
16,0,24138,Ian Poulter,$143000,2431000
17,0,25900,Lucas Glover,$142022,3692579
18,0,20396,Lee Westwood,$135676,1085413
19,0,27095,Nick Watney,$134225,3221420
20,0,20766,Padraig Harrington,$131418,2628376
21,0,20229,Stewart Cink,$128228,2821030
22,0,30925,Dustin Johnson,$119116,2977900
23,0,19846,Brian Gay,$118566,3201294
24,0,24781,Hunter Mahan,$117653,2941348
25,0,06522,Ernie Els,$113008,2147156
26,0,02206,David Toms,$112859,3047197
27,0,23621,Rory Sabbatini,$110091,2752291
28,0,25396,Kevin Na,$104800,2724824
29,0,23108,Matt Kuchar,$103716,2489192
30,0,23983,Luke Donald,$103568,2174947
31,0,10423,Mike Weir,$99142,2379421
32,0,08075,Jerry Kelly,$98563,2562647
33,0,23135,Tim Clark,$97178,2235104
34,0,32102,Rickie Fowler,$95181,571090
35,0,06004,Stephen Ames,$92675,2131538
36,0,29461,Jamie Lovemark,$90774,453872
37,0,10885,Robert Allenby,$90045,1890945
38,0,29718,Anthony Kim,$89643,1972155
39,0,02239,Scott Verplank,$87171,2092113
40,0,27770,Camilo Villegas,$85951,1804980
41,0,10860,Justin Leonard,$85860,2232377
42,0,25686,Jason Dufner,$84261,2190792
43,0,22913,John Rollins,$84054,2269475
44,0,26596,Ryan Moore,$82328,2222870
45,0,20645,John Senden,$79499,2305492
46,0,24361,Pat Perez,$78198,1720360
47,0,28237,Rory McIlroy,$77247,849718
48,0,25198,Francesco Molinari,$76092,304368
49,0,01226,Fred Couples,$74873,1197970
50,0,28158,Steve Marino,$74535,2161539
51,0,22293,Heath Slocum,$73185,2195565
52,0,21209,Sergio Garcia,$71324,1212522
53,0,12716,Charley Hoffman,$70182,1894925
54,0,28089,Jason Day,$69512,1251218
55,0,12510,Chad Campbell,$66355,1725237
56,0,32366,Kevin Chappell,$65829,197487
57,0,23800,Bryce Molder,$65771,1381211
58,0,21878,Mark Wilson,$65657,1838414
59,0,23623,Bo Van Pelt,$64843,1945306
60,0,06643,Paul Goydos,$64796,1619918
61,0,27060,John Mallinger,$63597,1717139
62,0,21961,Charles Howell III,$62222,1804460
62,0,26851,Marc Leishman,$62222,1742242
64,0,23541,Ben Crane,$61743,1667084
65,0,06567,Vijay Singh,$60800,1276814
66,0,01706,Davis Love III,$60088,1622401
67,0,20218,Shingo Katayama,$60000,360000
68,0,06373,José María Olazábal,$59907,239629
69,0,25804,Bubba Watson,$59593,1430243
70,0,25572,Graeme McDowell,$58683,645516
71,0,21753,Brian Davis,$58572,1874318
72,0,27649,Brandt Snedeker,$57059,1483557
73,0,27936,Martin Laird,$56223,1349354
74,0,24490,George McNeill,$55354,1439219
75,0,27896,Ross Fisher,$54454,544546
76,0,23624,Soren Hansen,$54080,432644
77,0,24925,Jonathan Byrd,$52670,1316770
78,0,27933,John Merrick,$51388,1438891
79,0,12680,Shigeki Maruyama,$51266,256330
80,0,22405,Justin Rose,$51159,1125518
81,0,07749,Brett Quigley,$50456,1412780
82,0,26289,Boo Weekley,$50338,1107448
83,0,01948,Tim Petrovic,$50060,1551866
84,0,01761,Len Mattiace,$49742,49742
85,0,24924,Bill Haas,$49152,1425417
86,0,20160,Charlie Wi,$49110,1375096
87,0,24461,Thomas Aiken,$49057,147171
88,0,27120,Troy Matteson,$48869,1466070
89,0,27141,J.B. Holmes,$48781,1219534
90,0,23718,Nathan Green,$47878,1436342
91,0,20940,Kenichi Kuboya,$47793,47793
92,0,21731,Freddie Jacobson,$47599,1189994
93,0,23409,James Driscoll,$47504,807577
94,0,07867,Woody Austin,$47388,1137331
95,0,01320,Bob Estes,$46953,1079928
96,0,01823,Larry Mize,$46575,46575
97,0,24507,Jason Bohn,$46397,1159935
98,0,26679,Kevin Stadler,$46275,925514
99,0,20121,Todd Fischer,$45567,136701
100,0,25240,D.A. Points,$45517,1320020
101,0,06595,Kevin Sutherland,$45133,1218604
102,0,22621,Ben Curtis,$44417,799523
103,0,24357,K.J. Choi,$44022,968505
104,0,26882,Michael Sim,$43396,130188
105,0,20574,Mathew Goggin,$43032,1118844
106,0,24503,Jeff Klauk,$42886,1243696
107,0,01116,Michael Bradley,$42811,727787
108,0,28475,Jeff Overton,$42619,1193346
109,0,26287,Roland Thatcher,$42601,681630
110,0,20498,Briny Baird,$42392,1186981
111,0,23325,Vaughn Taylor,$42081,1178282
112,0,29221,Webb Simpson,$41655,1249674
113,0,20572,Rod Pampling,$41604,956897
114,0,23353,J.J. Henry,$41487,1161641
