RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,30926,Chris Kirk,68.52,1850,27
2,0,22405,Justin Rose,68.95,2827,41
3,0,31646,Emiliano Grillo,69.00,1863,27
4,0,19846,Brian Gay,69.04,1657,24
5,0,34076,Joel Dahmen,69.07,1865,27
6,0,29221,Webb Simpson,69.17,3320,48
7,0,45526,Abraham Ancer,69.20,1730,25
8,0,33448,Justin Thomas,69.22,3392,49
9,0,28237,Rory McIlroy,69.27,2286,33
10,0,30925,Dustin Johnson,69.33,3189,46
11,0,24925,Jonathan Byrd,69.36,971,14
12,0,48081,Xander Schauffele,69.49,2849,41
13,0,49771,J.T. Poston,69.50,1390,20
14,0,25198,Francesco Molinari,69.56,2226,32
15,0,29485,Brett Stegmaier,69.58,835,12
16,0,47959,Bryson DeChambeau,69.63,2785,40
16,0,27644,Brian Harman,69.63,2437,35
16,0,49964,Aaron Wise,69.63,2089,30
19,0,32102,Rickie Fowler,69.65,3343,48
20,0,26596,Ryan Moore,69.68,2160,31
21,0,08793,Tiger Woods,69.71,2858,41
22,0,36689,Brooks Koepka,69.72,2231,32
23,0,33122,Russell Knox,69.73,1813,26
24,0,34046,Jordan Spieth,69.74,2441,35
25,0,25804,Bubba Watson,69.78,2582,37
26,0,23353,J.J. Henry,69.85,908,13
27,0,28089,Jason Day,69.87,2725,39
28,0,35545,Blayne Barber,69.88,1118,16
28,0,33141,Keegan Bradley,69.88,2306,33
30,0,34563,Chesson Hadley,69.90,2167,31
31,0,26951,Johnson Wagner,69.91,1608,23
32,0,29725,Tony Finau,69.92,3426,49
33,0,29420,Billy Horschel,69.94,2518,36
33,0,34409,David Lingmerth,69.94,1189,17
35,0,32839,Hideki Matsuyama,69.97,2099,30
35,0,25396,Kevin Na,69.97,2029,29
37,0,21528,Henrik Stenson,70.03,2101,30
38,0,26476,Chez Reavie,70.04,1751,25
38,0,37275,Sam Ryder,70.04,1611,23
40,0,01810,Phil Mickelson,70.05,2872,41
41,0,26851,Marc Leishman,70.08,2523,36
42,0,34256,Andrew Putnam,70.09,1542,22
43,0,39324,J.J. Spaun,70.10,1402,20
44,0,35310,Lanto Griffin,70.13,1052,15
44,0,27214,Kevin Streelman,70.13,1613,23
46,0,27958,Ryan Blaum,70.14,1543,22
47,0,31420,Anirban Lahiri,70.15,1824,26
47,0,29926,Danny Lee,70.15,1894,27
49,0,35450,Patrick Cantlay,70.17,2456,35
50,0,10809,Jim Furyk,70.19,1123,16
51,0,30911,Tommy Fleetwood,70.20,2457,35
51,0,27556,Ted Potter Jr.,70.20,1404,20
51,0,39328,Conrad Shindler,70.20,702,10
51,0,25892,Steve Wheatcroft,70.20,1404,20
55,0,39546,Keith Mitchell,70.21,2036,29
56,0,33204,Shane Lowry,70.22,632,9
57,0,20229,Stewart Cink,70.23,2107,30
57,0,25632,Jimmy Walker,70.23,1545,22
59,0,31202,William McGirt,70.24,1475,21
60,0,34360,Patrick Reed,70.25,2810,40
60,0,47128,Richy Werenski,70.25,1686,24
62,0,26499,Rafa Cabrera Bello,70.27,2108,30
63,0,23108,Matt Kuchar,70.28,2530,36
64,0,37454,Whee Kim,70.29,1968,28
64,0,37189,Harold Varner III,70.29,1968,28
66,0,28679,Fabián Gómez,70.33,844,12
66,0,24024,Zach Johnson,70.33,2321,33
66,0,30110,Kyle Stanley,70.33,2743,39
69,0,30944,Jason Kokrak,70.34,2040,29
70,0,33948,Byeong Hun An,70.36,1970,28
71,0,29478,Kevin Kisner,70.39,2182,31
72,0,27936,Martin Laird,70.41,1549,22
73,0,33399,Adam Hadwin,70.42,1690,24
74,0,29908,C.T. Pan,70.43,2465,35
75,0,46435,Austin Cook,70.46,1832,26
76,0,27649,Brandt Snedeker,70.47,2114,30
77,0,26329,Louis Oosthuizen,70.48,1903,27
78,0,35891,Cameron Smith,70.53,2116,30
79,0,50526,Tom Lovelady,70.54,1834,26
80,0,23320,Ryan Palmer,70.59,1553,22
80,0,46970,Jon Rahm,70.59,2259,32
82,0,23541,Ben Crane,70.60,1059,15
83,0,47993,Denny McCarthy,70.61,1271,18
84,0,24502,Adam Scott,70.62,2048,29
85,0,19803,Ryan Armour,70.64,1766,25
85,0,27095,Nick Watney,70.64,989,14
87,0,34213,Grayson Murray,70.65,1201,17
87,0,39327,Ben Silverman,70.65,1625,23
89,0,35461,Beau Hossler,70.66,2897,41
90,0,23325,Vaughn Taylor,70.68,1343,19
91,0,12716,Charley Hoffman,70.69,2262,32
91,0,34358,Jonathan Randolph,70.69,919,13
91,0,32150,Michael Thompson,70.69,919,13
94,0,29535,Brice Garnett,70.70,1626,23
94,0,24361,Pat Perez,70.70,1909,27
94,0,30692,Scott Stallings,70.70,2333,33
97,0,29479,Scott Brown,70.71,2192,31
97,0,27942,Rob Oppenheim,70.71,990,14
97,0,31560,Brian Stuard,70.71,1697,24
100,0,27349,Alex Noren,70.75,1981,28
101,0,34099,Harris English,70.77,1557,22
102,0,29268,Bronson Burgoon,70.78,1911,27
103,0,46601,Trey Mullinax,70.80,1062,15
103,0,22056,Cameron Percy,70.80,708,10
105,0,29974,Branden Grace,70.81,1487,21
105,0,32333,Kevin Tway,70.81,2549,36
107,0,31323,Gary Woodland,70.82,2337,33
108,0,39975,Michael Kim,70.83,1629,23
108,0,32640,Troy Merritt,70.83,1275,18
110,0,34098,Russell Henley,70.85,1417,20
111,0,35421,Brandon Harkins,70.86,1559,22
111,0,32876,Martin Piller,70.86,1559,22
113,0,39997,Corey Conners,70.90,1418,20
113,0,21961,Charles Howell III,70.90,2127,30
113,0,36699,Patrick Rodgers,70.90,1418,20
116,0,26300,Matt Jones,70.91,1560,22
116,0,24138,Ian Poulter,70.91,1560,22
