RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,02104,Jeff Sluman,473,Bob Hope Chrysl,2,14,649
2,0,20157,Retief Goosen,452,Mercedes Champ,2,18,656
3,0,12663,Phil Tataurangi,449,Mercedes Champ,2,18,656
4,0,06643,Paul Goydos,446,Honda Classic,2,5,692
5,0,10565,Ian Leggatt,439,Mercedes Champ,2,18,656
6,0,23177,Kenneth Staton,436,Texas Open,1,1,625
7,0,06012,Greg Kraft,430,Texas Open,1,1,625
8,0,20094,Jonathan Kaye,428,Buick Invitatio,2,6,004
9,0,21961,Charles Howell III,425,Mercedes Champ,2,18,656
10,0,01706,Davis Love III,416,WGC-NEC Invit'l,4,16,036
11,0,02106,Chris Smith,415,Mercedes Champ,2,18,656
12,0,23614,Rich Beem,414,Mercedes Champ,2,18,656
13,0,08075,Jerry Kelly,413,Mercedes Champ,2,18,656
13,0,06567,Vijay Singh,413,Mercedes Champ,2,18,656
15,0,06522,Ernie Els,409,Mercedes Champ,4,12,656
15,0,01797,Rocco Mediate,409,Mercedes Champ,2,18,656
17,0,01928,Corey Pavin,408,Buick Invitatio,4,17,004
18,0,20628,Arron Oberholser,407,Honda Classic,1,7,692
20,0,23983,Luke Donald,405,Mercedes Champ,2,18,656
20,0,23552,Hank Kuehne,405,100th Western,2,1,526
20,0,08339,Spike McRoy,405,Mercedes Champ,1,18,656
20,0,06373,José María Olazábal,405,Mercedes Champ,2,18,656
24,0,01320,Bob Estes,404,Mercedes Champ,2,18,656
27,0,24925,Jonathan Byrd,402,Mercedes Champ,1,18,656
27,0,24357,K.J. Choi,402,Mercedes Champ,2,18,656
27,0,10809,Jim Furyk,402,Mercedes Champ,2,18,656
32,0,08633,Per-Ulrik Johansson,400,Las Vegas Inv'l,2,9,670
32,0,10425,Jay Williamson,400,Nissan Open,1,3,500
36,0,10860,Justin Leonard,399,Mercedes Champ,2,18,656
37,0,06251,Chris DiMarco,398,Mercedes Champ,2,18,656
40,0,01549,Mike Hulbert,397,Shell Houston,1,14,699
41,0,22892,Jason Gore,396,Tucson,2,13,101
41,0,01766,Billy Mayfair,396,Bob Hope Chrysl,1,10,649
41,0,08793,Tiger Woods,396,WGC-NEC Invit'l,1,18,036
45,0,10912,Craig Perks,394,Mercedes Champ,1,18,656
48,0,20229,Stewart Cink,392,Texas Open,4,1,625
48,0,23541,Ben Crane,392,Ford Champ,3,7,008
48,0,02010,Loren Roberts,392,Mercedes Champ,2,18,656
52,0,21209,Sergio Garcia,390,Mercedes Champ,1,18,656
54,0,20127,Chris Riley,389,Mercedes Champ,4,18,656
58,0,25031,Andy Miller,388,John Deere Clas,1,10,669
58,0,20663,Brenden Pappas,388,John Deere Clas,1,10,669
65,0,12680,Shigeki Maruyama,386,Mercedes Champ,2,18,656
65,0,06595,Kevin Sutherland,386,Mercedes Champ,2,18,656
65,0,27389,Tyler Swanson,386,John Deere Clas,1,10,669
72,0,01249,John Daly,385,John Deere Clas,1,10,669
76,0,10201,Matt Gogel,384,Mercedes Champ,2,18,656
76,0,02049,Gene Sauers,384,Mercedes Champ,2,18,656
80,0,25364,Paul Casey,383,WGC-NEC Invit'l,4,9,036
80,0,19825,Darren Clarke,383,The Open,4,1,547
80,0,01810,Phil Mickelson,383,WGC-NEC Invit'l,4,8,036
80,0,22913,John Rollins,383,Mercedes Champ,1,18,656
92,0,10885,Robert Allenby,382,WGC-NEC Invit'l,4,18,036
92,0,20574,Mathew Goggin,382,Reno-Tahoe Open,4,9,660
92,0,01761,Len Mattiace,382,Mercedes Champ,2,18,656
107,0,23497,Tag Ridings,380,Ford Champ,2,12,008
107,0,20548,Hidemichi Tanaka,380,Nissan Open,1,3,500
112,0,27095,Nick Watney,379,Reno-Tahoe Open,3,17,660
120,0,20848,Ángel Cabrera,378,WGC-NEC Invit'l,1,18,036
