RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,28475,Jeff Overton,239,Barclays Class,2,18 - Par 5
2,0,23821,Yusaku Miyazato,231,Reno-Tahoe Open,2,7 - Par 3 -
3,0,22548,Patrick Sheehan,213,Buick Champ,2,5 - Par 3 -
4,0,10885,Robert Allenby,211,Deutsche Bank,2,16 - Par 3
5,0,29741,Victor Ciesielski,210,Canadian Open,2,6 - Par 3 -
6,0,02239,Scott Verplank,206,Zurich Classic,2,17 - Par 3
7,0,10809,Jim Furyk,206,WGC-Bridgestone,2,15 - Par 3
8,0,24925,Jonathan Byrd,205,Deutsche Bank,2,11 - Par 3
9,0,25900,Lucas Glover,203,Mercedes Champ,3,8 - Par 3 -
10,0,08375,Paul Stankowski,200,Milwaukee,3,4 - Par 4 -
11,0,07013,Wes Short Jr.,197,Wachovia Champ,2,16 - Par 4
12,0,19846,Brian Gay,194,Nissan Open,2,1 - Par 5 -
13,0,23135,Tim Clark,193,WGC-Bridgestone,1,14 - Par 4
14,0,10860,Justin Leonard,192,THE PLAYERS,2,13 - Par 3
15,0,12660,Jesper Parnevik,192,THE PLAYERS,2,13 - Par 3
16,0,22348,Nick O'Hern,191,Greensboro,4,18 - Par 4
17,0,20623,Gavin Coles,189,BellSouth Class,1,17 - Par 4
18,0,22046,Geoff Ogilvy,180,Honda Classic,1,6 - Par 5 -
19,0,01761,Len Mattiace,180,Booz Allen,1,12 - Par 4
20,0,02214,Kirk Triplett,179,Reno-Tahoe Open,3,15 - Par 4
21,0,21753,Brian Davis,178,84 LUMBER,3,18 - Par 4
22,0,23623,Bo Van Pelt,177,Canadian Open,3,18 - Par 4
23,0,01219,John Cook,176,Buick Open,4,17 - Par 3
24,0,06012,Greg Kraft,175,So. Farm Bureau,2,12 - Par 3
25,0,21528,Henrik Stenson,175,THE PLAYERS,3,13 - Par 3
27,0,01928,Corey Pavin,172,Milwaukee,4,8 - Par 4 -
28,0,01599,Steve Jones,172,So. Farm Bureau,1,5 - Par 5 -
29,0,24357,K.J. Choi,172,EDS B. Nelson,3,3 - Par 4 -
30,0,24781,Hunter Mahan,170,Zurich Classic,1,8 - Par 3 -
31,0,26631,Cody Freeman,170,Zurich Classic,1,8 - Par 3 -
32,0,20098,Stuart Appleby,168,Western Open,4,18 - Par 4
33,0,25632,Jimmy Walker,165,Buick Open,2,6 - Par 4 -
34,0,22378,Trevor Immelman,165,Nissan Open,2,16 - Par 3
37,0,22371,Aaron Baddeley,160,Heritage,2,18 - Par 4
38,0,01226,Fred Couples,159,THE PLAYERS,4,13 - Par 3
39,0,10912,Craig Perks,158,Ford Champ,2,3 - Par 4 -
40,0,24502,Adam Scott,157,Deutsche Bank,1,15 - Par 4
41,0,01329,Brad Faxon,155,Barclays Class,4,13 - Par 4
42,0,01035,Tommy Armour III,155,Wachovia Champ,1,11 - Par 4
43,0,23349,Charles Warren,155,EDS B. Nelson,2,8 - Par 4 -
45,0,08215,Steve Schneiter,152,Sony Open,1,6 - Par 4 -
47,0,23325,Vaughn Taylor,149,Western Open,4,5 - Par 4 -
48,0,26679,Kevin Stadler,149,Bay Hill Invita,3,11 - Par 4
49,0,23307,Roger Tambellini,149,Zurich Classic,4,5 - Par 4 -
50,0,21961,Charles Howell III,148,Barclays Class,2,6 - Par 3 -
51,0,20229,Stewart Cink,148,Buick Invitatio,4,10 - Par 4
52,0,21878,Mark Wilson,147,Buick Open,4,4 - Par 4 -
53,0,06617,Brian Henninger,147,Tucson,2,6 - Par 4 -
54,0,10733,Kent Jones,146,Buick Open,4,6 - Par 4 -
