RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01139,Olin Browne,7.84,99,1263,+0.20
2,0,01724,Jeff Maggert,7.96,71,892,+0.11
3,0,01487,Jeff Hart,8.01,68,849,+0.25
4,0,01381,Fred Funk,8.80,109,1239,+0.11
5,0,23108,Matt Kuchar,9.17,74,807,+0.18
6,0,19846,Brian Gay,9.35,129,1379,+0.12
7,0,02246,Duffy Waldorf,9.38,102,1088,+0.22
8,0,19881,Robert Damron,9.69,120,1239,+0.24
9,0,20472,Alex Cejka,9.73,104,1069,+0.14
10,0,01619,Skip Kendall,10.04,109,1086,+0.22
11,0,12826,Paul Claxton,10.13,106,1046,+0.23
12,0,08385,Omar Uresti,10.21,114,1117,+0.18
13,0,01127,Danny Briggs,10.22,97,949,+0.09
14,0,01175,Jim Carter,10.27,86,837,+0.30
15,0,02104,Jeff Sluman,10.40,133,1279,+0.11
16,0,12652,Cameron Beckman,10.48,134,1279,+0.17
17,0,20099,Doug Barron,10.64,104,977,+0.08
17,0,01685,J.L. Lewis,10.64,133,1250,+0.08
19,0,01219,John Cook,10.88,100,919,+0.25
20,0,20094,Jonathan Kaye,10.89,104,955,+0.12
20,0,01945,Kenny Perry,10.89,97,891,+0.09
22,0,01823,Larry Mize,10.91,73,669,+0.27
23,0,23135,Tim Clark,10.92,108,989,+0.09
24,0,20433,Mark Hensby,10.93,80,732,+0.21
25,0,01142,Bart Bryant,10.97,127,1158,+0.16
26,0,08075,Jerry Kelly,11.03,130,1179,+0.10
27,0,26679,Kevin Stadler,11.09,142,1281,+0.20
28,0,20548,Hidemichi Tanaka,11.13,158,1420,+0.04
29,0,01132,Mark Brooks,11.21,109,972,+0.26
30,0,10425,Jay Williamson,11.23,83,739,+0.16
31,0,01810,Phil Mickelson,11.25,91,809,-0.02
31,0,22293,Heath Slocum,11.25,149,1325,+0.14
33,0,20623,Gavin Coles,11.44,112,979,+0.13
34,0,01161,Mark Calcavecchia,11.49,131,1140,+0.08
34,0,20382,Stephen Leaney,11.49,134,1166,+0.13
36,0,01707,Steve Lowery,11.52,151,1311,+0.06
37,0,19824,Craig Barlow,11.53,117,1015,+0.20
38,0,12645,Brent Geiberger,11.59,92,794,+0.21
39,0,25240,D.A. Points,11.79,148,1255,+0.09
40,0,08123,Jeff Brehaut,11.82,110,931,+0.03
40,0,06595,Kevin Sutherland,11.82,137,1159,+0.09
40,0,21878,Mark Wilson,11.82,115,973,+0.17
43,0,22295,Darron Stiles,11.88,126,1061,+0.13
44,0,26287,Roland Thatcher,11.90,121,1017,+0.16
45,0,10733,Kent Jones,11.93,161,1349,+0.14
46,0,07457,Steve Flesch,11.94,115,963,+0.23
47,0,26758,David Hearn,11.97,110,919,+0.12
47,0,20645,John Senden,11.97,165,1379,+0.18
49,0,26420,Richard Johnson,11.99,80,667,+0.06
50,0,22621,Ben Curtis,12.01,92,766,+0.18
50,0,01361,Dan Forsman,12.01,83,691,+0.06
52,0,08931,Glen Day,12.05,131,1087,+0.07
52,0,01599,Steve Jones,12.05,84,697,+0.27
54,0,01035,Tommy Armour III,12.06,166,1376,+0.11
55,0,10809,Jim Furyk,12.15,134,1103,+0.25
56,0,06034,Marco Dawson,12.19,139,1140,+0.08
57,0,08725,Tom Gillis,12.25,128,1045,+0.14
58,0,06515,Shaun Micheel,12.26,121,987,+0.15
59,0,21959,Ted Purdy,12.34,186,1507,+0.10
59,0,20127,Chris Riley,12.34,89,721,+0.16
61,0,20498,Briny Baird,12.35,165,1336,+0.07
62,0,23983,Luke Donald,12.36,76,615,+0.20
63,0,01157,Tom Byrum,12.49,141,1129,+0.22
64,0,08993,Franklin Langham,12.56,149,1186,+0.12
