RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,06567,Vijay Singh,1.875,.819,.607,.450,63
2,0,21209,Sergio Garcia,1.625,.503,.891,.230,56
3,0,01810,Phil Mickelson,1.604,.402,.842,.360,59
4,0,10885,Robert Allenby,1.546,.534,1.217,-.205,86
5,0,24502,Adam Scott,1.299,.475,.384,.440,35
6,0,27770,Camilo Villegas,1.166,.296,.777,.093,63
7,0,06522,Ernie Els,1.120,.101,.790,.228,36
8,0,29718,Anthony Kim,1.117,.549,.474,.093,65
9,0,26289,Boo Weekley,1.048,.715,.443,-.109,64
10,0,01945,Kenny Perry,.995,.514,.599,-.118,92
11,0,20766,Padraig Harrington,.959,.279,.221,.460,32
12,0,23788,D.J. Trahan,.934,.374,.496,.064,78
13,0,20498,Briny Baird,.931,.208,.650,.073,96
14,0,25804,Bubba Watson,.904,.538,.416,-.051,80
15,0,02239,Scott Verplank,.901,.266,.508,.127,65
16,0,20645,John Senden,.899,.385,.630,-.116,82
17,0,10809,Jim Furyk,.881,.260,.590,.031,75
18,0,24361,Pat Perez,.856,.318,.423,.115,79
19,0,01706,Davis Love III,.764,.448,.289,.026,65
20,0,10423,Mike Weir,.758,-.052,.268,.541,66
21,0,06595,Kevin Sutherland,.750,.137,.352,.261,88
22,0,02206,David Toms,.741,.113,.610,.018,56
23,0,06004,Stephen Ames,.736,-.085,.623,.198,66
24,0,12510,Chad Campbell,.732,.068,.830,-.166,85
25,0,22293,Heath Slocum,.719,.306,.545,-.132,86
26,0,01226,Fred Couples,.718,.347,.218,.154,51
27,0,20574,Mathew Goggin,.704,.509,-.027,.222,82
28,0,01142,Bart Bryant,.693,.316,.347,.030,67
29,0,22046,Geoff Ogilvy,.684,.328,.263,.094,49
30,0,10860,Justin Leonard,.675,.265,.244,.165,73
31,0,22378,Trevor Immelman,.670,-.061,.303,.427,54
32,0,06621,Joe Durant,.665,.582,.447,-.364,79
32,0,24781,Hunter Mahan,.665,.360,.742,-.437,72
34,0,20098,Stuart Appleby,.648,-.024,.310,.362,67
34,0,21961,Charles Howell III,.648,.130,.283,.236,87
36,0,01677,Tom Lehman,.643,-.065,.546,.162,38
37,0,07867,Woody Austin,.628,.299,.410,-.081,88
38,0,24140,Sean O'Hair,.624,.448,.179,-.003,68
39,0,28158,Steve Marino,.611,.461,.194,-.044,104
40,0,01766,Billy Mayfair,.605,.308,.003,.294,95
41,0,20229,Stewart Cink,.604,.045,.501,.058,64
42,0,01161,Mark Calcavecchia,.597,.247,.513,-.163,54
43,0,25364,Paul Casey,.595,.372,.616,-.394,36
44,0,27141,J.B. Holmes,.574,.866,-.172,-.119,69
45,0,24024,Zach Johnson,.572,.161,.612,-.201,71
46,0,23135,Tim Clark,.565,-.141,.597,.109,73
47,0,22348,Nick O'Hern,.536,-.102,.491,.147,71
48,0,25900,Lucas Glover,.535,.410,.288,-.162,83
49,0,20572,Rod Pampling,.530,.300,-.020,.250,68
50,0,23621,Rory Sabbatini,.524,.358,-.013,.178,63
51,0,27095,Nick Watney,.518,.531,.133,-.146,84
52,0,06527,Steve Stricker,.497,-.345,.377,.464,58
53,0,20157,Retief Goosen,.476,-.162,.187,.450,42
54,0,26695,Michael Letzig,.467,.599,-.257,.126,74
55,0,24490,George McNeill,.463,.038,.434,-.010,90
56,0,01553,John Huston,.457,.394,.233,-.170,49
57,0,20160,Charlie Wi,.456,.066,.141,.249,88
58,0,06197,Michael Allen,.455,.286,.216,-.047,78
59,0,22621,Ben Curtis,.440,.377,-.173,.236,63
60,0,20472,Alex Cejka,.434,-.041,.677,-.202,60
61,0,27214,Kevin Streelman,.427,.517,.106,-.196,97
62,0,08385,Omar Uresti,.416,.037,-.007,.385,63
63,0,20105,Jeff Gove,.413,.260,-.075,.228,44
64,0,02002,John Riegger,.409,.351,.217,-.159,64
65,0,27933,John Merrick,.399,.410,.040,-.052,77
66,0,24357,K.J. Choi,.394,-.017,.158,.252,57
67,0,21753,Brian Davis,.385,.147,.038,.200,102
68,0,23108,Matt Kuchar,.379,-.198,.470,.106,70
69,0,21805,Harrison Frazar,.368,.454,.097,-.184,62
70,0,24358,Robert Garrigus,.359,.577,.174,-.392,86
71,0,25396,Kevin Na,.356,-.114,.000,.470,91
72,0,01320,Bob Estes,.352,-.126,.396,.082,86
73,0,07749,Brett Quigley,.324,-.228,.321,.231,73
74,0,01941,Tom Pernice Jr.,.309,-.175,.305,.179,98
75,0,24924,Bill Haas,.300,.218,.031,.051,90
76,0,28780,Nicholas Thompson,.295,.611,-.344,.028,96
77,0,08931,Glen Day,.293,-.156,.079,.370,56
78,0,01797,Rocco Mediate,.287,-.063,.400,-.050,69
79,0,24925,Jonathan Byrd,.281,.089,.028,.165,77
80,0,23320,Ryan Palmer,.280,.122,.470,-.312,60
81,0,01313,Steve Elkington,.263,.297,.054,-.088,73
82,0,23614,Rich Beem,.235,.296,.027,-.088,79
83,0,20848,Ángel Cabrera,.223,.048,.249,-.074,39
84,0,25345,Carl Pettersson,.220,-.052,.236,.036,97
85,0,19846,Brian Gay,.205,-.529,.537,.198,86
86,0,22913,John Rollins,.199,.440,-.200,-.042,79
87,0,21350,Ryuji Imada,.175,-.406,.232,.349,68
88,0,12652,Cameron Beckman,.171,-.162,.174,.160,74
89,0,27936,Martin Laird,.166,.165,.113,-.111,85
90,0,27649,Brandt Snedeker,.161,-.280,.325,.116,67
91,0,21878,Mark Wilson,.156,.050,-.055,.160,104
92,0,08075,Jerry Kelly,.155,-.128,.127,.156,74
93,0,20634,Peter Lonard,.141,.212,-.081,.010,80
94,0,26476,Chez Reavie,.138,.003,.209,-.074,90
95,0,23541,Ben Crane,.135,.171,-.081,.045,75
96,0,21731,Freddie Jacobson,.134,-.227,.234,.127,64
97,0,23778,Brad Adamonis,.132,-.082,-.084,.298,76
98,0,20104,Ken Duke,.130,-.012,.159,-.018,105
98,0,23623,Bo Van Pelt,.130,.187,.014,-.071,93
100,0,22371,Aaron Baddeley,.123,.096,-.192,.218,60
101,0,01388,Robert Gamez,.122,.096,.180,-.154,71
102,0,20623,Gavin Coles,.111,-.510,.454,.167,44
103,0,10425,Jay Williamson,.108,.142,.147,-.181,80
104,0,07457,Steve Flesch,.090,-.269,.149,.209,81
104,0,02223,Bob Tway,.090,-.087,.350,-.173,57
106,0,08845,Scott Sterling,.086,-.072,.246,-.088,74
107,0,27120,Troy Matteson,.085,.174,.113,-.203,89
108,0,10733,Kent Jones,.069,-.079,.154,-.007,55
109,0,27060,John Mallinger,.064,.075,-.169,.159,84
110,0,22892,Jason Gore,.060,.482,-.100,-.321,85
110,0,25349,Tim Wilkinson,.060,-.120,-.081,.262,80
112,0,28475,Jeff Overton,.058,.178,-.036,-.083,91
113,0,12716,Charley Hoffman,.038,.464,-.219,-.207,86
113,0,30925,Dustin Johnson,.038,.435,-.268,-.129,81
115,0,23349,Charles Warren,.031,.683,-.148,-.504,74
116,0,23353,J.J. Henry,.009,.121,-.043,-.069,99
117,0,12705,Cliff Kresge,.000,-.177,.302,-.125,73
118,0,23325,Vaughn Taylor,-.009,-.120,.256,-.144,94
119,0,10505,Shane Bertsch,-.016,-.197,.102,.079,90
120,0,21959,Ted Purdy,-.032,.102,-.051,-.084,59
121,0,23497,Tag Ridings,-.061,.106,-.030,-.137,81
122,0,01948,Tim Petrovic,-.078,.094,-.408,.235,81
123,0,01724,Jeff Maggert,-.082,.092,.085,-.259,79
124,0,12782,Tim Herron,-.083,.104,-.404,.217,87
125,0,24449,Parker McLachlin,-.084,-.180,-.067,.162,79
126,0,26679,Kevin Stadler,-.092,.293,.013,-.397,73
127,0,06573,Brandt Jobe,-.117,.062,.265,-.444,47
128,0,06575,Dudley Hart,-.119,-.456,.204,.132,67
129,0,24138,Ian Poulter,-.138,-.056,-.320,.238,36
130,0,01035,Tommy Armour III,-.142,.029,.015,-.187,66
131,0,27963,Chris Stroud,-.143,.132,-.224,-.052,66
132,0,26951,Johnson Wagner,-.163,-.203,.144,-.104,68
133,0,24912,Will MacKenzie,-.177,.192,-.239,-.130,57
134,0,01473,Todd Hamilton,-.187,.182,-.026,-.343,74
135,0,12823,Carlos Franco,-.190,-.362,-.011,.184,63
136,0,06643,Paul Goydos,-.195,-.283,.098,-.010,67
137,0,12602,Dean Wilson,-.238,-.760,.563,-.041,93
138,0,25190,Jeff Quinney,-.239,-.965,.781,-.055,73
139,0,10585,Scott McCarron,-.261,-.073,-.297,.108,54
140,0,25842,Jon Mills,-.269,-.109,-.174,.014,78
