RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,01249,John Daly,64.13,59,92,-0.12
2,0,20574,Mathew Goggin,50.83,61,120,-0.15
3,0,26289,Boo Weekley,49.07,53,108,-0.15
4,0,01927,Dennis Paulson,42.07,69,164,-0.22
5,0,08793,Tiger Woods,38.00,38,100,-0.55
6,0,01514,Eduardo Herrera,37.93,44,116,-0.20
7,0,06613,Tommy Tolles,36.67,44,120,-0.18
8,0,12782,Tim Herron,36.21,63,174,-0.27
9,0,23623,Bo Van Pelt,35.42,51,144,-0.18
10,0,12823,Carlos Franco,34.69,68,196,-0.26
11,0,23614,Rich Beem,34.66,61,176,-0.31
11,0,24925,Jonathan Byrd,34.66,61,176,-0.39
13,0,20663,Brenden Pappas,33.05,39,118,-0.08
14,0,21961,Charles Howell III,32.80,61,186,-0.38
15,0,20645,John Senden,32.74,55,168,-0.25
16,0,01226,Fred Couples,32.35,33,102,-0.27
17,0,23322,Brett Wetterich,32.10,52,162,-0.31
18,0,02106,Chris Smith,31.76,54,170,-0.19
19,0,08881,Tripp Isenhour,31.54,41,130,-0.17
20,0,21633,Steve Allan,31.18,53,170,-0.36
21,0,12663,Phil Tataurangi,30.13,47,156,-0.32
22,0,23541,Ben Crane,29.27,48,164,-0.31
23,0,09011,David Duval,29.17,35,120,-0.31
24,0,21805,Harrison Frazar,29.01,47,162,-0.30
25,0,07223,Brian Bateman,28.82,49,170,-0.20
26,0,23621,Rory Sabbatini,27.68,31,112,-0.39
27,0,20098,Stuart Appleby,27.33,41,150,-0.44
28,0,20095,Carl Paulson,27.22,43,158,-0.09
29,0,21209,Sergio Garcia,26.79,30,112,-0.53
30,0,23353,J.J. Henry,26.50,53,200,-0.34
31,0,10117,Bob Heintz,26.15,34,130,-0.26
32,0,06197,Michael Allen,26.09,36,138,-0.31
33,0,10565,Ian Leggatt,25.93,42,162,-0.33
34,0,08375,Paul Stankowski,25.84,46,178,-0.37
35,0,22046,Geoff Ogilvy,25.61,42,164,-0.31
36,0,23903,Stephen Gangluff,25.36,35,138,-0.26
37,0,02101,Joey Sindelar,25.28,45,178,-0.20
38,0,23177,Kenneth Staton,25.26,48,190,-0.40
39,0,06515,Shaun Micheel,25.00,46,184,-0.41
40,0,01810,Phil Mickelson,24.67,37,150,-0.27
41,0,10107,Deane Pappas,24.39,40,164,-0.18
42,0,20094,Jonathan Kaye,23.97,35,146,-0.40
43,0,21806,Paul Gow,23.89,43,180,-0.14
44,0,01945,Kenny Perry,23.81,40,168,-0.45
45,0,01926,Steve Pate,23.64,26,110,-0.27
