RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,02214,Kirk Triplett,4,58
2,0,21753,Brian Davis,3,54
2,0,24912,Will MacKenzie,3,51
4,0,20098,Stuart Appleby,2,38
4,0,24925,Jonathan Byrd,2,54
4,0,01329,Brad Faxon,2,14
4,0,22892,Jason Gore,2,51
4,0,21959,Ted Purdy,2,61
9,0,01035,Tommy Armour III,1,19
9,0,07867,Woody Austin,1,45
9,0,22371,Aaron Baddeley,1,24
9,0,24846,Ricky Barnes,1,39
9,0,01132,Mark Brooks,1,23
9,0,20848,Ángel Cabrera,1,24
9,0,01161,Mark Calcavecchia,1,52
9,0,20472,Alex Cejka,1,40
9,0,24357,K.J. Choi,1,20
9,0,20850,Daniel Chopra,1,42
9,0,01226,Fred Couples,1,29
9,0,28089,Jason Day,1,27
9,0,01313,Steve Elkington,1,29
9,0,06522,Ernie Els,1,29
9,0,31416,Derek Fathauer,1,34
9,0,19846,Brian Gay,1,26
9,0,01473,Todd Hamilton,1,32
9,0,12782,Tim Herron,1,43
9,0,12716,Charley Hoffman,1,41
9,0,27141,J.B. Holmes,1,50
9,0,21961,Charles Howell III,1,31
9,0,01577,Lee Janzen,1,31
9,0,30925,Dustin Johnson,1,28
9,0,29718,Anthony Kim,1,28
9,0,27466,Spencer Levin,1,25
9,0,23548,Bill Lunde,1,49
9,0,24781,Hunter Mahan,1,40
9,0,10585,Scott McCarron,1,33
9,0,25345,Carl Pettersson,1,28
9,0,25818,Scott Piercy,1,44
9,0,25240,D.A. Points,1,55
9,0,28620,Aron Price,1,50
9,0,25562,Andres Romero,1,29
9,0,23621,Rory Sabbatini,1,27
9,0,24502,Adam Scott,1,31
9,0,06567,Vijay Singh,1,36
9,0,22293,Heath Slocum,1,52
9,0,26679,Kevin Stadler,1,33
9,0,27214,Kevin Streelman,1,55
9,0,06595,Kevin Sutherland,1,38
9,0,28780,Nicholas Thompson,1,77
9,0,30927,Brendon Todd,1,33
9,0,02206,David Toms,1,33
9,0,26668,Marc Turnesa,1,48
9,0,23623,Bo Van Pelt,1,47
9,0,02239,Scott Verplank,1,26
9,0,27770,Camilo Villegas,1,34
9,0,26289,Boo Weekley,1,41
9,0,20160,Charlie Wi,1,22
9,0,12602,Dean Wilson,1,34
9,0,21878,Mark Wilson,1,45
9,0,26497,Casey Wittenberg,1,33
