RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,06527,Steve Stricker,32' 2",31015.250,965,Under
2,0,26287,Roland Thatcher,32' 6",25454.500,783,Over
3,0,10809,Jim Furyk,32' 10",38354.250,1167,Under
4,0,25686,Jason Dufner,33' 0",37629.917,1141,1 Under
5,0,25572,Graeme McDowell,33' 1",22346.500,676,Under
5,0,28237,Rory McIlroy,33' 1",23694.667,717,Under
5,0,26289,Boo Weekley,33' 1",34298.167,1038,Over
8,0,23135,Tim Clark,33' 3",29816.917,897,Under
8,0,22293,Heath Slocum,33' 3",44679.250,1344,Under
10,0,23325,Vaughn Taylor,33' 4",38076.833,1142,Under
11,0,26476,Chez Reavie,33' 7",39830.833,1185,Under
11,0,08793,Tiger Woods,33' 7",28978.167,863,Under
13,0,33122,Russell Knox,33' 8",33784.167,1004,Under
13,0,26331,Charl Schwartzel,33' 8",24029.250,713,Under
15,0,22582,Kyle Thompson,33' 9",22368.417,662,Over
16,0,23623,Bo Van Pelt,33' 10",39337.917,1163,Under
17,0,30925,Dustin Johnson,33' 11",32163.333,949,Under
18,0,32334,Charlie Beljan,34' 0",26124.167,768,Under
18,0,22621,Ben Curtis,34' 0",29358.917,863,Under
20,0,27060,John Mallinger,34' 1",38521.583,1130,Over
21,0,20623,Gavin Coles,34' 2",34953.083,1022,Under
21,0,24358,Robert Garrigus,34' 2",45272.500,1324,Under
23,0,23108,Matt Kuchar,34' 3",40581.833,1185,Under
24,0,12652,Cameron Beckman,34' 4",42356.000,1234,Over
24,0,01706,Davis Love III,34' 4",32031.500,933,Under
26,0,26679,Kevin Stadler,34' 5",43135.500,1252,Under
27,0,23638,Brendon de Jonge,34' 6",62965.833,1827,1 Under
27,0,27644,Brian Harman,34' 6",54174.833,1572,Under
29,0,24507,Jason Bohn,34' 7",40870.083,1181,Under
29,0,28307,Matt Every,34' 7",39652.250,1147,Under
29,0,26596,Ryan Moore,34' 7",50079.667,1449,Under
29,0,22405,Justin Rose,34' 7",32912.917,951,Under
29,0,02206,David Toms,34' 7",27236.833,788,Under
34,0,23983,Luke Donald,34' 8",29866.833,862,Under
34,0,30110,Kyle Stanley,34' 8",43454.833,1254,Under
36,0,34021,Bud Cauley,34' 9",56643.167,1630,Under
36,0,06036,Scott Dunlap,34' 9",28668.167,824,Over
36,0,29420,Billy Horschel,34' 9",29874.500,860,Under
36,0,01724,Jeff Maggert,34' 9",48526.333,1398,Under
36,0,27095,Nick Watney,34' 9",47173.167,1359,Under
41,0,12510,Chad Campbell,34' 10",45625.333,1311,Under
