RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,02190,Doug Tewell,82.33,871,1058
2,0,01823,Larry Mize,79.42,899,1132
3,0,01996,Mike Reid,79.38,851,1072
4,0,01559,Hale Irwin,79.32,721,909
5,0,01381,Fred Funk,78.95,1200,1520
6,0,01971,Dillard Pruitt,77.94,989,1269
7,0,01946,Peter Persons,76.83,1061,1381
8,0,01306,David Edwards,76.74,1006,1311
9,0,01014,Fulton Allem,76.47,1053,1377
10,0,01928,Corey Pavin,76.05,946,1244
11,0,01196,Brian Claar,76.01,1052,1384
12,0,02010,Loren Roberts,75.95,1080,1422
13,0,01766,Billy Mayfair,75.68,1201,1587
14,0,02267,D.A. Weibring,75.55,856,1133
15,0,01443,Hubert Green,75.47,526,697
16,0,01968,Nick Price,75.45,1045,1385
17,0,01346,Ed Fiori,75.26,995,1322
18,0,01355,Raymond Floyd,75.18,630,838
19,0,01701,Bob Lohr,75.04,929,1238
20,0,01724,Jeff Maggert,75.00,933,1244
21,0,01353,Bruce Fleisher,74.96,1066,1422
22,0,01239,Michael Cunning,74.91,854,1140
22,0,01557,John Inman,74.91,1021,1363
24,0,01690,Bruce Lietzke,74.89,692,924
25,0,01725,John Mahaffey,74.62,788,1056
26,0,02311,Kim Young,74.60,699,937
27,0,01168,David Canipe,74.42,803,1079
28,0,02159,Curtis Strange,74.37,624,839
29,0,01049,Ian Baker-Finch,74.29,624,840
30,0,01457,Jay Haas,74.07,1074,1450
31,0,01331,Rick Fehr,73.90,875,1184
32,0,01200,Keith Clearwater,73.75,1093,1482
33,0,02322,Richard Zokol,73.64,690,937
34,0,06048,Dicky Thompson,73.44,705,960
35,0,01510,Nolan Henke,73.39,880,1199
36,0,01633,Tom Kite,73.27,932,1272
37,0,01142,Bart Bryant,73.03,612,838
38,0,01495,Morris Hatalsky,73.01,763,1045
39,0,01132,Mark Brooks,72.99,1092,1496
40,0,02214,Kirk Triplett,72.93,703,964
41,0,01960,Don Pooley,72.92,579,794
42,0,01797,Rocco Mediate,72.87,830,1139
43,0,01435,Wayne Grady,72.86,714,980
44,0,01682,Wayne Levi,72.75,841,1156
45,0,01887,Mark O'Meara,72.70,823,1132
46,0,01891,David Ogrin,72.66,808,1112
47,0,02242,Lanny Wadkins,72.62,883,1216
48,0,01475,Donnie Hammond,72.56,669,922
49,0,01577,Lee Janzen,72.55,1052,1450
50,0,07569,Mark Carnevale,72.51,836,1153
51,0,01569,Peter Jacobsen,72.38,938,1296
52,0,01157,Tom Byrum,72.19,763,1057
53,0,02099,Scott Simpson,72.16,736,1020
54,0,02226,Tray Tyner,72.12,657,911
55,0,02094,Tony Sills,71.97,660,917
56,0,01284,Mike Donald,71.72,1007,1404
57,0,01837,Gil Morgan,71.63,871,1216
58,0,06132,Sonny Skinner,71.60,726,1014
59,0,01783,Mark McCumber,71.57,803,1122
60,0,02321,Fuzzy Zoeller,71.48,619,866
61,0,02007,Larry Rinker,71.47,819,1146
62,0,01376,Bob Friend,71.39,963,1349
63,0,02111,Mike Smith,71.38,1055,1478
64,0,02100,Tim Simpson,71.37,678,950
65,0,06124,Patrick Burke,71.35,884,1239
66,0,02225,Howard Twitty,71.05,837,1178
67,0,01958,Dan Pohl,70.88,594,838
68,0,01288,Ed Dougherty,70.84,1064,1502
69,0,01414,Bob Gilder,70.81,929,1312
70,0,01385,Jim Gallagher Jr.,70.75,1040,1470
71,0,01313,Steve Elkington,70.63,849,1202
72,0,01042,Paul Azinger,70.57,849,1203
73,0,01388,Robert Gamez,70.48,776,1101
74,0,01307,Joel Edwards,70.28,525,747
75,0,02246,Duffy Waldorf,70.13,843,1202
76,0,01378,David Frost,70.11,795,1134
77,0,01489,Steve Hart,69.92,874,1250
78,0,01771,Blaine McCallister,69.90,936,1339
79,0,06044,Scott Gump,69.81,1082,1550
80,0,01129,Bill Britton,69.65,817,1173
80,0,01139,Olin Browne,69.65,872,1252
82,0,01072,Chip Beck,69.64,867,1245
83,0,02033,Dave Rummells,69.48,931,1340
84,0,01040,Emlyn Aubrey,69.43,695,1001
84,0,02303,Robert Wrenn,69.43,795,1145
86,0,01023,Jerry Anderson,69.26,838,1210
87,0,02146,Payne Stewart,69.03,789,1143
88,0,01203,Russ Cochran,69.02,927,1343
89,0,02195,Leonard Thompson,68.67,662,964
90,0,06284,Jim Hallet,68.46,1068,1560
91,0,01060,Dave Barr,68.45,881,1287
92,0,01024,Billy Andrade,68.44,822,1201
93,0,02133,Craig Stadler,68.35,784,1147
94,0,01469,Dan Halldorson,68.34,818,1197
95,0,01444,Ken Green,68.33,824,1206
96,0,01320,Bob Estes,68.30,849,1243
97,0,01549,Mike Hulbert,68.19,1046,1534
98,0,01677,Tom Lehman,68.18,977,1433
99,0,06090,Jim McGovern,68.16,959,1407
100,0,01938,David Peoples,68.07,938,1378
101,0,02104,Jeff Sluman,68.02,1053,1548
102,0,02185,Lance Ten Broeck,67.99,1013,1490
103,0,02206,David Toms,67.93,824,1213
104,0,01219,John Cook,67.84,749,1104
105,0,02049,Gene Sauers,67.80,735,1084
106,0,02135,Mike Standly,67.77,938,1384
106,0,02298,Jim Woodward,67.77,658,971
108,0,02067,Ted Schulz,67.75,1004,1482
109,0,01723,Andrew Magee,67.66,908,1342
110,0,01706,Davis Love III,67.42,867,1286
111,0,01550,Ed Humenik,67.39,934,1386
112,0,01736,Roger Maltbie,67.04,600,895
113,0,01418,Bill Glasson,67.03,492,734
114,0,01361,Dan Forsman,66.97,1018,1520
115,0,01945,Kenny Perry,66.96,772,1153
116,0,01876,Greg Norman,66.95,543,811
117,0,02230,Stan Utley,66.90,677,1012
118,0,01323,Brad Fabel,66.79,875,1310
119,0,01748,Doug Martin,66.53,787,1183
120,0,08277,Greg Lesher,66.42,722,1087
121,0,02313,Bruce Zabriski,66.37,734,1106
122,0,01975,Tom Purtzer,66.32,756,1140
122,0,06751,Chris Tucker,66.32,766,1155
124,0,02224,Greg Twiggs,66.20,476,719
125,0,01934,Dave Peege,65.82,624,948
126,0,01458,Jerry Haas,65.61,538,820
127,0,02002,John Riegger,65.54,639,975
128,0,01133,Billy Ray Brown,65.49,687,1049
129,0,01093,Ronnie Black,65.46,815,1245
130,0,01926,Steve Pate,65.39,958,1465
131,0,01755,Dick Mast,65.25,661,1013
132,0,06142,Mitch Adcock,65.23,679,1041
133,0,01235,Ben Crenshaw,65.21,748,1147
134,0,06012,Greg Kraft,65.09,731,1123
135,0,06040,John Ross,65.02,777,1195
136,0,01226,Fred Couples,64.82,759,1171
137,0,02170,Hal Sutton,64.81,687,1060
138,0,02279,Mark Wiebe,64.79,747,1153
139,0,01143,Brad Bryant,64.72,1020,1576
140,0,01527,Scott Hoch,64.60,531,822
141,0,06128,Steve Lamontagne,64.38,788,1224
142,0,02292,Bob Wolcott,64.37,914,1420
143,0,01553,John Huston,64.36,939,1459
144,0,06122,Greg Hickman,64.34,572,889
145,0,02101,Joey Sindelar,64.28,959,1492
146,0,06383,E.J. Pfister,64.22,517,805
147,0,02095,Larry Silveira,63.73,478,750
148,0,01261,Jay Delsing,63.58,824,1296
149,0,02090,Tom Sieckmann,63.50,823,1296
150,0,01185,Brandel Chamblee,63.31,749,1183
151,0,01522,Lon Hinkle,63.26,513,811
152,0,02167,Mike Sullivan,63.25,704,1113
153,0,06575,Dudley Hart,63.04,834,1323
154,0,01468,Gary Hallberg,62.93,764,1214
155,0,01214,Frank Conner,62.79,756,1204
156,0,06034,Marco Dawson,62.51,697,1115
157,0,02063,Dave Schreyer,62.28,459,737
158,0,01846,Jodie Mudd,62.26,574,922
159,0,02201,Jim Thorpe,62.11,482,776
160,0,01390,Buddy Gardner,61.99,768,1239
161,0,01533,P.H. Horgan III,61.97,647,1044
162,0,01249,John Daly,61.91,673,1087
163,0,02131,Mike Springer,61.89,726,1173
164,0,06332,Neal Lancaster,61.44,983,1600
165,0,08537,J.P. Hayes,61.40,622,1013
166,0,01161,Mark Calcavecchia,61.32,815,1329
167,0,06072,Greg Whisman,61.23,665,1086
168,0,01408,Kelly Gibson,60.74,786,1294
169,0,01978,Fran Quinn,60.66,512,844
170,0,01096,Phil Blackmar,60.57,676,1116
171,0,01374,Robin Freeman,60.53,704,1163
172,0,01098,Jay Don Blake,60.49,660,1091
173,0,01006,John Adams,60.48,776,1283
174,0,01035,Tommy Armour III,60.09,682,1135
175,0,01639,Kenny Knox,59.76,683,1143
176,0,01329,Brad Faxon,59.55,739,1241
177,0,01943,Chris Perry,59.17,642,1085
178,0,06010,Brad Bell,59.01,442,749
179,0,06150,Carl Cooper,58.92,621,1054
180,0,02223,Bob Tway,57.58,524,910
181,0,06599,John Elliott,54.29,430,792
182,0,01181,Jon Chaffee,54.25,498,918
183,0,02041,Bill Sander,52.35,368,703
