RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,135' 4",5547',41
2,0,34072,Will Strickler,117' 0",3861' 3",33
3,0,33141,Keegan Bradley,116' 4",6978' 2",60
4,0,01706,Davis Love III,115' 1",4373' 9",38
5,0,20848,Ángel Cabrera,114' 2",2854' 5",25
6,0,31401,Zack Miller,113' 4",5666' 6",50
6,0,23320,Ryan Palmer,113' 4",6234' 2",55
6,0,27330,Josh Teater,113' 4",7254' 8",64
9,0,01810,Phil Mickelson,112' 9",5186',46
10,0,32102,Rickie Fowler,112' 5",6744' 9",60
11,0,01766,Billy Mayfair,112' 0",8289' 2",74
12,0,21878,Mark Wilson,111' 1",8221' 9",74
13,0,30946,Alex Prugh,110' 5",6623' 1",60
14,0,06567,Vijay Singh,109' 10",7467' 9",68
15,0,21805,Harrison Frazar,109' 8",4057' 2",37
15,0,20766,Padraig Harrington,109' 8",4059' 1",37
17,0,28089,Jason Day,109' 4",5030' 3",46
18,0,26851,Marc Leishman,109' 2",7640' 0",70
19,0,26287,Roland Thatcher,108' 9",5219' 2",48
20,0,30110,Kyle Stanley,108' 3",7255' 0",67
20,0,27064,Jhonattan Vegas,108' 3",6387' 9",59
22,0,28158,Steve Marino,108' 2",6272' 2",58
23,0,12716,Charley Hoffman,107' 8",7533' 9",70
24,0,24358,Robert Garrigus,107' 7",5270' 1",49
25,0,22913,John Rollins,107' 4",7297' 7",68
26,0,25818,Scott Piercy,107' 0",5455' 2",51
27,0,26679,Kevin Stadler,106' 10",6197' 0",58
28,0,26758,David Hearn,106' 6",6921',65
29,0,27797,Derek Lamely,106' 4",4467' 1",42
30,0,08375,Paul Stankowski,105' 6",5275' 6",50
31,0,28486,Michael Putnam,105' 5",4321',41
32,0,20157,Retief Goosen,105' 4",3580' 2",34
33,0,25562,Andres Romero,104' 9",6179' 2",59
34,0,23497,Tag Ridings,104' 7",5750' 6",55
35,0,30750,Tommy Gainey,104' 4",8346' 4",80
36,0,30925,Dustin Johnson,104' 0",4574' 2",44
37,0,23541,Ben Crane,103' 9",6017' 6",58
38,0,24925,Jonathan Byrd,103' 6",6418' 0",62
39,0,11123,Chris Couch,103' 4",4651' 3",45
39,0,19970,Robert Karlsson,103' 4",4133' 7",40
41,0,29420,Billy Horschel,103' 2",5778',56
42,0,25274,Steven Bowditch,103' 1",6290' 2",61
43,0,25804,Bubba Watson,102' 10",5141' 6",50
44,0,33413,Ben Martin,102' 6",4408' 9",43
45,0,26476,Chez Reavie,102' 2",7354' 2",72
45,0,23325,Vaughn Taylor,102' 2",7455' 9",73
47,0,08075,Jerry Kelly,101' 6",6596' 6",65
48,0,32366,Kevin Chappell,101' 5",5578' 0",55
49,0,24490,George McNeill,101' 4",5169' 4",51
49,0,28620,Aron Price,101' 4",4154' 8",41
51,0,29518,Brendan Steele,101' 2",7083' 2",70
52,0,24361,Pat Perez,100' 11",5751' 3",57
53,0,34255,Joseph Bramlett,100' 10",4838' 7",48
53,0,35087,Bio Kim,100' 10",4537' 0",45
55,0,20472,Alex Cejka,100' 7",4123' 0",41
56,0,29478,Kevin Kisner,100' 2",4509' 0",45
57,0,24924,Bill Haas,99' 11",6593' 3",66
58,0,27120,Troy Matteson,99' 9",6386' 3",64
59,0,30692,Scott Stallings,99' 7",6474' 7",65
60,0,26331,Charl Schwartzel,99' 5",3381' 6",34
61,0,12782,Tim Herron,99' 4",6259' 7",63
62,0,23409,James Driscoll,99' 0",5050' 1",51
62,0,12602,Dean Wilson,99' 0",4555' 1",46
64,0,27936,Martin Laird,98' 10",5436' 8",55
64,0,22046,Geoff Ogilvy,98' 10",5137',52
66,0,23983,Luke Donald,98' 8",4441' 0",45
67,0,21949,Joe Ogilvie,98' 2",4711' 2",48
68,0,23623,Bo Van Pelt,98' 1",6373' 6",65
69,0,27939,Matt McQuillan,97' 11",3426' 3",35
70,0,23621,Rory Sabbatini,97' 6",5168' 0",53
71,0,27649,Brandt Snedeker,97' 5",6232' 8",64
72,0,31193,Jim Renner,97' 4",4671' 9",48
73,0,06573,Brandt Jobe,97' 2",6702' 3",69
74,0,27933,John Merrick,97' 1",5049' 9",52
