RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,21878,Mark Wilson,13.90,1014.41,73
2,0,23320,Ryan Palmer,13.45,806.98,60
3,0,26758,David Hearn,13.34,880.13,66
4,0,28620,Aron Price,13.31,572.29,43
5,0,20472,Alex Cejka,13.26,570.04,43
6,0,27939,Matt McQuillan,13.22,475.81,36
7,0,22293,Heath Slocum,13.09,968.62,74
8,0,08075,Jerry Kelly,12.83,859.62,67
9,0,23325,Vaughn Taylor,12.75,931.03,73
10,0,02206,David Toms,12.74,713.71,56
11,0,06567,Vijay Singh,12.69,888.33,70
12,0,21407,Arjun Atwal,12.64,910.03,72
13,0,06522,Ernie Els,12.61,643.21,51
14,0,33141,Keegan Bradley,12.48,798.95,64
14,0,21753,Brian Davis,12.48,1073.59,86
16,0,23541,Ben Crane,12.41,732.08,59
17,0,27141,J.B. Holmes,12.38,495.19,40
18,0,21949,Joe Ogilvie,12.35,617.58,50
19,0,24358,Robert Garrigus,12.34,641.69,52
19,0,08537,J.P. Hayes,12.34,493.52,40
21,0,32876,Martin Piller,12.29,528.63,43
22,0,01706,Davis Love III,12.27,478.55,39
23,0,30750,Tommy Gainey,12.23,1002.61,82
24,0,22348,Nick O'Hern,12.20,719.89,59
25,0,25818,Scott Piercy,12.19,633.90,52
26,0,01766,Billy Mayfair,12.09,918.56,76
27,0,08375,Paul Stankowski,12.03,685.96,57
28,0,32366,Kevin Chappell,11.98,646.97,54
29,0,27649,Brandt Snedeker,11.89,772.53,65
30,0,20766,Padraig Harrington,11.88,451.30,38
30,0,23623,Bo Van Pelt,11.88,760.41,64
32,0,25444,Justin Hicks,11.86,462.45,39
33,0,31193,Jim Renner,11.85,556.82,47
33,0,26287,Roland Thatcher,11.85,557.00,47
35,0,24024,Zach Johnson,11.84,793.54,67
36,0,25345,Carl Pettersson,11.83,982.00,83
37,0,19846,Brian Gay,11.81,827.01,70
37,0,27330,Josh Teater,11.81,791.35,67
39,0,29420,Billy Horschel,11.76,658.35,56
40,0,30926,Chris Kirk,11.74,844.97,72
41,0,26679,Kevin Stadler,11.73,715.35,61
42,0,24290,D.J. Brigman,11.68,525.50,45
43,0,32102,Rickie Fowler,11.66,710.99,61
44,0,01313,Steve Elkington,11.65,396.06,34
45,0,21805,Harrison Frazar,11.62,453.34,39
46,0,26476,Chez Reavie,11.61,847.45,73
47,0,28089,Jason Day,11.59,533.32,46
48,0,30946,Alex Prugh,11.55,704.75,61
49,0,26851,Marc Leishman,11.54,842.12,73
49,0,01810,Phil Mickelson,11.54,576.98,50
51,0,28486,Michael Putnam,11.53,530.27,46
52,0,12602,Dean Wilson,11.45,572.71,50
53,0,10885,Robert Allenby,11.43,742.73,65
53,0,26668,Marc Turnesa,11.43,377.10,33
55,0,25686,Jason Dufner,11.34,680.47,60
55,0,06643,Paul Goydos,11.34,725.76,64
55,0,24781,Hunter Mahan,11.34,839.35,74
58,0,27120,Troy Matteson,11.33,815.93,72
58,0,22913,John Rollins,11.33,770.46,68
60,0,23621,Rory Sabbatini,11.32,611.18,54
61,0,01797,Rocco Mediate,11.31,497.56,44
61,0,24361,Pat Perez,11.31,689.85,61
63,0,23614,Rich Beem,11.28,473.60,42
63,0,22405,Justin Rose,11.28,722.16,64
65,0,32150,Michael Thompson,11.26,607.79,54
66,0,27797,Derek Lamely,11.25,472.56,42
67,0,33413,Ben Martin,11.24,494.48,44
68,0,12782,Tim Herron,11.23,718.61,64
68,0,27933,John Merrick,11.23,629.05,56
70,0,34072,Will Strickler,11.22,381.35,34
71,0,28158,Steve Marino,11.21,728.97,65
72,0,27974,Sung Kang,11.20,436.80,39
73,0,20157,Retief Goosen,11.16,424.22,38
74,0,10733,Kent Jones,11.10,621.43,56
74,0,29478,Kevin Kisner,11.10,543.89,49
76,0,12652,Cameron Beckman,11.06,641.43,58
76,0,12716,Charley Hoffman,11.06,818.60,74
78,0,20498,Briny Baird,11.05,442.12,40
78,0,10505,Shane Bertsch,11.05,475.34,43
78,0,20436,Garrett Willis,11.05,508.31,46
81,0,29718,Anthony Kim,11.04,662.34,60
82,0,23983,Luke Donald,11.03,529.51,48
83,0,06251,Chris DiMarco,11.02,782.67,71
84,0,28679,Fabián Gómez,11.01,506.47,46
85,0,30110,Kyle Stanley,10.99,747.45,68
86,0,10809,Jim Furyk,10.97,702.17,64
87,0,27963,Chris Stroud,10.95,799.52,73
88,0,28475,Jeff Overton,10.94,765.46,70
89,0,24507,Jason Bohn,10.92,699.17,64
89,0,23108,Matt Kuchar,10.92,775.23,71
89,0,25562,Andres Romero,10.92,699.11,64
92,0,25457,Alexandre Rocha,10.91,425.39,39
93,0,29518,Brendan Steele,10.89,773.15,71
94,0,22621,Ben Curtis,10.87,619.46,57
94,0,06573,Brandt Jobe,10.87,749.86,69
96,0,22046,Geoff Ogilvy,10.81,562.12,52
97,0,20160,Charlie Wi,10.80,713.04,66
98,0,24140,Sean O'Hair,10.77,484.74,45
99,0,07457,Steve Flesch,10.75,655.98,61
100,0,24357,K.J. Choi,10.73,643.71,60
100,0,23353,J.J. Henry,10.73,772.54,72
102,0,23788,D.J. Trahan,10.72,782.81,73
103,0,06527,Steve Stricker,10.71,588.99,55
104,0,29720,Andres Gonzales,10.70,427.89,40
104,0,27770,Camilo Villegas,10.70,545.52,51
