RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,27141,J.B. Holmes,2.510,314.8,125.392,37,0231602753
2,0,22293,Heath Slocum,2.504,265.6,106.088,67,0226302681
3,0,21878,Mark Wilson,2.494,268.1,107.512,71,0208002729
4,0,24781,Hunter Mahan,2.485,277.6,111.740,64,0225402814
5,0,27330,Josh Teater,2.482,287.3,115.749,57,0215002773
6,0,23320,Ryan Palmer,2.480,285.3,115.015,48,0220602723
7,0,20766,Padraig Harrington,2.479,285.4,115.131,32,0225902695
8,0,29420,Billy Horschel,2.478,276.1,111.418,51,0221102606
9,0,28089,Jason Day,2.477,290.0,117.038,35,0216402693
9,0,01810,Phil Mickelson,2.477,293.9,118.682,36,0221602730
11,0,25818,Scott Piercy,2.476,286.8,115.838,47,0216702649
12,0,32102,Rickie Fowler,2.474,283.3,114.506,55,0217502697
12,0,26758,David Hearn,2.474,275.3,111.258,61,0218602686
14,0,30926,Chris Kirk,2.473,276.7,111.895,62,0211802629
15,0,27649,Brandt Snedeker,2.472,273.0,110.430,59,0220502675
16,0,26476,Chez Reavie,2.470,272.9,110.464,63,0220602622
17,0,23623,Bo Van Pelt,2.469,281.5,114.006,62,0221202710
18,0,20472,Alex Cejka,2.467,265.5,107.607,39,0225902686
18,0,28620,Aron Price,2.467,262.1,106.249,38,0212502641
20,0,06567,Vijay Singh,2.466,279.1,113.165,65,0222002716
21,0,21753,Brian Davis,2.465,262.2,106.358,78,0218302630
21,0,21949,Joe Ogilvie,2.465,273.7,111.039,45,0218002638
23,0,33141,Keegan Bradley,2.459,289.0,117.554,59,0217702759
24,0,01706,Davis Love III,2.456,284.6,115.891,33,0221002665
25,0,21805,Harrison Frazar,2.453,283.9,115.771,33,0217802691
25,0,30750,Tommy Gainey,2.453,279.8,114.107,73,0207302681
25,0,27936,Martin Laird,2.453,288.5,117.625,51,0222902757
25,0,28158,Steve Marino,2.453,279.6,113.995,54,0224802658
29,0,23497,Tag Ridings,2.452,294.8,120.235,50,0214802691
29,0,26679,Kevin Stadler,2.452,277.8,113.315,55,0222402643
31,0,27974,Sung Kang,2.451,273.6,111.615,35,0223202612
31,0,23548,Bill Lunde,2.451,276.1,112.618,65,0226102618
33,0,27770,Camilo Villegas,2.450,276.6,112.902,40,0203102651
34,0,24290,D.J. Brigman,2.449,271.3,110.765,37,0221002648
34,0,23325,Vaughn Taylor,2.449,266.1,108.640,70,0219402623
36,0,12716,Charley Hoffman,2.448,289.2,118.147,66,0212302692
37,0,06522,Ernie Els,2.447,275.1,112.405,45,0215802647
38,0,26851,Marc Leishman,2.446,283.9,116.079,60,0223702656
38,0,27933,John Merrick,2.446,270.3,110.507,49,0208502610
38,0,22913,John Rollins,2.446,280.0,114.486,62,0212202748
41,0,24358,Robert Garrigus,2.445,297.9,121.861,46,0204402734
42,0,19970,Robert Karlsson,2.442,287.4,117.690,36,0214002661
43,0,08537,J.P. Hayes,2.441,263.2,107.803,35,0215902677
43,0,01797,Rocco Mediate,2.441,258.2,105.811,39,0226802571
43,0,28486,Michael Putnam,2.441,282.6,115.759,37,0221302621
46,0,34072,Will Strickler,2.439,289.0,118.472,32,0217102608
47,0,27939,Matt McQuillan,2.438,264.4,108.436,32,0214102625
48,0,31193,Jim Renner,2.437,276.4,113.439,44,0214502626
49,0,21407,Arjun Atwal,2.436,265.0,108.760,63,0216702631
49,0,34255,Joseph Bramlett,2.436,281.2,115.406,45,0216902636
49,0,32150,Michael Thompson,2.436,274.8,112.784,42,0224502577
52,0,10885,Robert Allenby,2.435,273.1,112.158,63,0219202638
52,0,29518,Brendan Steele,2.435,276.6,113.616,67,0221002655
54,0,23541,Ben Crane,2.432,264.6,108.760,58,0210202720
55,0,25345,Carl Pettersson,2.431,269.7,110.933,76,0215702605
55,0,30946,Alex Prugh,2.431,281.2,115.636,53,0196002643
57,0,30925,Dustin Johnson,2.430,296.7,122.122,39,0208202690
57,0,02206,David Toms,2.430,258.1,106.229,52,0218702628
59,0,27120,Troy Matteson,2.429,282.8,116.407,57,0210802678
60,0,23614,Rich Beem,2.428,263.5,108.520,38,0205502620
60,0,20229,Stewart Cink,2.428,279.4,115.043,37,0215402722
60,0,26331,Charl Schwartzel,2.428,283.6,116.814,32,0225602699
60,0,06527,Steve Stricker,2.428,269.5,110.975,54,0221402730
64,0,29718,Anthony Kim,2.427,278.6,114.802,45,0202702669
64,0,29221,Webb Simpson,2.427,275.8,113.625,72,0213602642
66,0,30110,Kyle Stanley,2.426,287.9,118.644,58,0205102832
67,0,24924,Bill Haas,2.425,283.9,117.064,60,0220302661
68,0,09011,David Duval,2.424,279.0,115.093,44,0220602574
68,0,33413,Ben Martin,2.424,275.0,113.436,40,0213402663
68,0,22046,Geoff Ogilvy,2.424,274.0,113.017,46,0210202698
68,0,26287,Roland Thatcher,2.424,272.7,112.494,45,0208902620
72,0,12782,Tim Herron,2.422,271.1,111.932,55,0211802609
72,0,27963,Chris Stroud,2.422,272.1,112.336,60,0206302625
74,0,07867,Woody Austin,2.421,269.1,111.170,36,0220102599
75,0,24024,Zach Johnson,2.420,259.0,107.050,59,0215202616
75,0,01766,Billy Mayfair,2.420,266.9,110.279,69,0201902599
77,0,10733,Kent Jones,2.419,266.8,110.293,49,0223302553
78,0,24507,Jason Bohn,2.418,263.4,108.931,59,0222102625
78,0,27797,Derek Lamely,2.418,283.1,117.041,39,0217502628
80,0,10809,Jim Furyk,2.417,262.8,108.746,55,0206702637
81,0,23621,Rory Sabbatini,2.416,274.9,113.759,43,0210402684
82,0,23788,D.J. Trahan,2.415,279.6,115.780,59,0208702634
83,0,32876,Martin Piller,2.414,268.8,111.335,39,0212002632
84,0,25274,Steven Bowditch,2.413,284.8,118.048,55,0208402621
84,0,28475,Jeff Overton,2.413,273.7,113.427,61,0203002665
84,0,27064,Jhonattan Vegas,2.413,294.9,122.196,53,0207402616
87,0,20157,Retief Goosen,2.412,277.3,114.958,29,0219602687
87,0,25804,Bubba Watson,2.412,300.7,124.670,43,0213902709
89,0,12652,Cameron Beckman,2.411,265.5,110.085,52,0217702604
89,0,24502,Adam Scott,2.411,282.7,117.232,43,0205302643
91,0,24490,George McNeill,2.410,281.5,116.789,45,0209702627
91,0,25240,D.A. Points,2.410,265.3,110.095,61,0215102631
93,0,24138,Ian Poulter,2.409,265.2,110.075,38,0212102734
93,0,25562,Andres Romero,2.409,279.9,116.192,53,0203802702
95,0,20848,Ángel Cabrera,2.408,288.7,119.897,23,0211202635
95,0,32366,Kevin Chappell,2.408,275.9,114.577,53,0211602650
95,0,22348,Nick O'Hern,2.408,252.2,104.758,55,0217202646
98,0,08375,Paul Stankowski,2.407,265.6,110.346,46,0214502601
98,0,20436,Garrett Willis,2.407,257.7,107.088,39,0219202571
100,0,24925,Jonathan Byrd,2.406,276.3,114.836,51,0210802672
101,0,01313,Steve Elkington,2.404,261.1,108.612,32,0213002626
101,0,32640,Troy Merritt,2.404,268.0,111.509,43,0218502568
103,0,25457,Alexandre Rocha,2.403,267.4,111.274,34,0212502551
103,0,26668,Marc Turnesa,2.403,264.6,110.099,29,0208202600
105,0,24357,K.J. Choi,2.402,265.3,110.451,50,0209402648
