RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,23108,Matt Kuchar,1.81,386,213
2,0,06527,Steve Stricker,1.68,285,170
3,0,12602,Dean Wilson,1.64,193,118
4,0,21961,Charles Howell III,1.62,373,230
5,0,25364,Paul Casey,1.58,232,147
5,0,20157,Retief Goosen,1.58,270,171
7,0,01313,Steve Elkington,1.56,259,166
8,0,24361,Pat Perez,1.53,355,232
9,0,08375,Paul Stankowski,1.52,252,166
9,0,06595,Kevin Sutherland,1.52,306,201
11,0,25396,Kevin Na,1.51,354,235
11,0,23623,Bo Van Pelt,1.51,407,270
13,0,22405,Justin Rose,1.50,304,202
14,0,12716,Charley Hoffman,1.48,346,233
14,0,20160,Charlie Wi,1.48,348,235
16,0,27436,Graham DeLaet,1.47,345,235
16,0,23983,Luke Donald,1.47,242,165
16,0,06621,Joe Durant,1.47,247,168
19,0,06522,Ernie Els,1.46,268,184
19,0,21731,Freddie Jacobson,1.46,306,210
21,0,24925,Jonathan Byrd,1.45,317,219
21,0,10809,Jim Furyk,1.45,272,188
21,0,27466,Spencer Levin,1.45,408,281
24,0,23638,Brendon de Jonge,1.44,440,306
24,0,01810,Phil Mickelson,1.44,308,214
26,0,20593,Greg Chalmers,1.43,334,233
26,0,25720,Chad Collins,1.43,310,217
28,0,24357,K.J. Choi,1.42,303,213
28,0,02206,David Toms,1.42,322,226
28,0,27095,Nick Watney,1.42,363,255
31,0,23135,Tim Clark,1.41,304,216
31,0,08725,Tom Gillis,1.41,403,286
31,0,27141,J.B. Holmes,1.41,395,281
31,0,20127,Chris Riley,1.41,250,177
31,0,25804,Bubba Watson,1.41,316,224
36,0,32102,Rickie Fowler,1.40,364,260
36,0,20645,John Senden,1.40,371,265
38,0,19846,Brian Gay,1.39,338,244
38,0,24924,Bill Haas,1.39,332,239
38,0,01941,Tom Pernice Jr.,1.39,258,186
38,0,28620,Aron Price,1.39,264,190
42,0,26300,Matt Jones,1.38,340,246
42,0,22293,Heath Slocum,1.38,342,247
44,0,11123,Chris Couch,1.37,272,199
44,0,25345,Carl Pettersson,1.37,360,263
46,0,23541,Ben Crane,1.36,319,235
46,0,24024,Zach Johnson,1.36,347,256
46,0,26596,Ryan Moore,1.36,296,218
46,0,27214,Kevin Streelman,1.36,360,265
46,0,23325,Vaughn Taylor,1.36,331,244
51,0,30925,Dustin Johnson,1.35,339,251
51,0,23788,D.J. Trahan,1.35,361,267
51,0,21878,Mark Wilson,1.35,296,220
54,0,06251,Chris DiMarco,1.34,296,221
54,0,23800,Bryce Molder,1.34,312,232
54,0,28475,Jeff Overton,1.34,344,256
54,0,26882,Michael Sim,1.34,226,169
54,0,29221,Webb Simpson,1.34,369,276
54,0,27649,Brandt Snedeker,1.34,347,258
60,0,25190,Jeff Quinney,1.33,345,260
60,0,26679,Kevin Stadler,1.33,335,252
62,0,24846,Ricky Barnes,1.32,382,289
62,0,24507,Jason Bohn,1.32,310,234
64,0,06004,Stephen Ames,1.31,265,203
64,0,12510,Chad Campbell,1.31,331,252
64,0,22913,John Rollins,1.31,312,239
64,0,26289,Boo Weekley,1.31,302,231
68,0,20498,Briny Baird,1.30,287,221
68,0,20229,Stewart Cink,1.30,300,231
68,0,28089,Jason Day,1.30,306,235
68,0,23353,J.J. Henry,1.30,311,239
68,0,21350,Ryuji Imada,1.30,319,245
68,0,22046,Geoff Ogilvy,1.30,236,181
68,0,23322,Brett Wetterich,1.30,199,153
75,0,22371,Aaron Baddeley,1.29,366,283
75,0,01116,Michael Bradley,1.29,265,205
75,0,08537,J.P. Hayes,1.29,299,231
75,0,30946,Alex Prugh,1.29,336,261
75,0,07749,Brett Quigley,1.29,341,264
75,0,23349,Charles Warren,1.29,250,194
81,0,10885,Robert Allenby,1.28,285,222
81,0,10585,Scott McCarron,1.28,315,247
81,0,27933,John Merrick,1.28,393,308
81,0,23320,Ryan Palmer,1.28,335,261
81,0,25818,Scott Piercy,1.28,348,272
86,0,23673,Michael Connell,1.27,323,255
86,0,28307,Matt Every,1.27,243,192
86,0,24912,Will MacKenzie,1.27,255,201
86,0,06515,Shaun Micheel,1.27,246,194
86,0,20436,Garrett Willis,1.27,308,243
91,0,26420,Richard Johnson,1.26,300,238
91,0,24781,Hunter Mahan,1.26,307,243
91,0,28158,Steve Marino,1.26,311,246
91,0,01948,Tim Petrovic,1.26,370,293
95,0,07867,Woody Austin,1.25,333,267
95,0,26301,James Nitties,1.25,340,273
95,0,27963,Chris Stroud,1.25,330,263
95,0,25632,Jimmy Walker,1.25,303,243
99,0,23409,James Driscoll,1.24,278,225
99,0,20686,Jeev Milkha Singh,1.24,183,147
99,0,10425,Jay Williamson,1.24,267,215
102,0,27120,Troy Matteson,1.23,283,231
102,0,24140,Sean O'Hair,1.23,279,226
102,0,25562,Andres Romero,1.23,266,216
102,0,23621,Rory Sabbatini,1.23,309,251
102,0,24663,Y.E. Yang,1.23,264,214
107,0,27936,Martin Laird,1.22,332,273
107,0,26951,Johnson Wagner,1.22,308,252
109,0,29910,Blake Adams,1.21,301,249
109,0,20766,Padraig Harrington,1.21,193,160
109,0,26695,Michael Letzig,1.21,318,263
112,0,01320,Bob Estes,1.20,265,220
112,0,08075,Jerry Kelly,1.20,347,289
112,0,28237,Rory McIlroy,1.20,185,154
112,0,22056,Cameron Percy,1.20,267,222
112,0,27330,Josh Teater,1.20,357,298
117,0,01706,Davis Love III,1.19,289,243
117,0,27060,John Mallinger,1.19,271,227
117,0,24502,Adam Scott,1.19,258,217
120,0,25900,Lucas Glover,1.18,282,240
120,0,24490,George McNeill,1.18,303,257
120,0,25240,D.A. Points,1.18,318,269
120,0,06567,Vijay Singh,1.18,274,233
120,0,12714,Chris Tidland,1.18,279,236
125,0,24358,Robert Garrigus,1.17,276,235
125,0,12782,Tim Herron,1.17,272,232
125,0,26851,Marc Leishman,1.17,317,270
125,0,26881,Jarrod Lyle,1.17,190,162
125,0,32640,Troy Merritt,1.17,330,283
125,0,01945,Kenny Perry,1.17,224,192
131,0,21949,Joe Ogilvie,1.16,355,306
132,0,01577,Lee Janzen,1.15,269,234
133,0,22946,Henrik Bjornstad,1.14,268,235
133,0,28087,Kris Blanks,1.14,309,270
133,0,22621,Ben Curtis,1.14,242,213
133,0,10860,Justin Leonard,1.14,318,278
133,0,33419,Cameron Tringale,1.14,185,162
133,0,08385,Omar Uresti,1.14,222,194
133,0,02239,Scott Verplank,1.14,254,223
133,0,27770,Camilo Villegas,1.14,258,226
141,0,06643,Paul Goydos,1.13,289,256
141,0,01724,Jeff Maggert,1.13,264,233
143,0,12652,Cameron Beckman,1.12,226,201
144,0,25686,Jason Dufner,1.11,301,272
144,0,09011,David Duval,1.11,254,229
144,0,01619,Skip Kendall,1.11,198,179
147,0,01249,John Daly,1.10,241,219
147,0,28500,Martin Flores,1.10,276,252
147,0,20574,Mathew Goggin,1.10,278,252
150,0,21753,Brian Davis,1.09,335,307
150,0,12705,Cliff Kresge,1.09,158,145
150,0,01766,Billy Mayfair,1.09,258,236
150,0,20663,Brenden Pappas,1.09,224,205
154,0,20848,Ángel Cabrera,1.08,225,209
154,0,21209,Sergio Garcia,1.08,186,172
154,0,20572,Rod Pampling,1.08,241,224
157,0,23718,Nathan Green,1.07,284,266
157,0,20378,Mathias Grönberg,1.07,214,200
157,0,20691,Greg Owen,1.07,236,220
157,0,31560,Brian Stuard,1.07,278,260
161,0,20098,Stuart Appleby,1.05,340,324
161,0,20070,Matt Bettencourt,1.05,324,308
161,0,20472,Alex Cejka,1.05,273,259
161,0,23548,Bill Lunde,1.05,256,243
161,0,27302,Garth Mulroy,1.05,183,174
166,0,28780,Nicholas Thompson,1.04,311,300
167,0,27797,Derek Lamely,1.03,277,270
167,0,01797,Rocco Mediate,1.03,224,218
167,0,24138,Ian Poulter,1.03,156,152
167,0,25892,Steve Wheatcroft,1.03,265,257
171,0,23307,Roger Tambellini,1.01,246,243
172,0,20850,Daniel Chopra,1.00,250,249
172,0,26287,Roland Thatcher,1.00,231,230
174,0,23613,Rich Barcelo,.99,230,233
174,0,01161,Mark Calcavecchia,.99,184,186
