RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,08725,Tom Gillis,23.08,403,1746,131
2,0,30925,Dustin Johnson,22.97,339,1476,70
3,0,27095,Nick Watney,22.92,363,1584,30
4,0,11123,Chris Couch,22.90,272,1188,114
5,0,25804,Bubba Watson,22.80,316,1386,55
6,0,12716,Charley Hoffman,22.61,346,1530,112
7,0,08375,Paul Stankowski,22.58,252,1116,9
8,0,23108,Matt Kuchar,22.57,386,1710,34
9,0,01810,Phil Mickelson,22.51,308,1368,155
10,0,28307,Matt Every,22.50,243,1080,162
11,0,25364,Paul Casey,22.22,232,1044,48
11,0,27214,Kevin Streelman,22.22,360,1620,104
13,0,23320,Ryan Palmer,22.16,335,1512,145
14,0,23621,Rory Sabbatini,22.01,309,1404,101
15,0,06527,Steve Stricker,21.99,285,1296,60
16,0,25818,Scott Piercy,21.97,348,1584,82
17,0,27141,J.B. Holmes,21.94,395,1800,144
18,0,24361,Pat Perez,21.91,355,1620,43
19,0,22046,Geoff Ogilvy,21.85,236,1080,83
20,0,23788,D.J. Trahan,21.80,361,1656,7
21,0,27436,Graham DeLaet,21.78,345,1584,6
22,0,23623,Bo Van Pelt,21.74,407,1872,37
23,0,23349,Charles Warren,21.70,250,1152,4
24,0,27649,Brandt Snedeker,21.66,347,1602,182
25,0,22405,Justin Rose,21.65,304,1404,119
26,0,26679,Kevin Stadler,21.64,335,1548,70
27,0,22371,Aaron Baddeley,21.63,366,1692,164
28,0,23541,Ben Crane,21.61,319,1476,63
29,0,24358,Robert Garrigus,21.60,276,1278,86
30,0,28475,Jeff Overton,21.47,344,1602,96
31,0,23638,Brendon de Jonge,21.44,440,2052,17
32,0,10885,Robert Allenby,21.40,285,1332,67
32,0,22913,John Rollins,21.40,312,1458,66
34,0,28158,Steve Marino,21.33,311,1458,88
35,0,32640,Troy Merritt,21.32,330,1548,145
36,0,24490,George McNeill,21.31,303,1422,128
37,0,06522,Ernie Els,21.27,268,1260,75
38,0,01249,John Daly,21.25,241,1134,142
39,0,26300,Matt Jones,21.22,340,1602,151
40,0,30946,Alex Prugh,21.21,336,1584,53
41,0,24924,Bill Haas,21.20,332,1566,21
42,0,24024,Zach Johnson,21.18,347,1638,111
43,0,25900,Lucas Glover,21.17,282,1332,90
44,0,25396,Kevin Na,21.15,354,1674,137
45,0,23325,Vaughn Taylor,21.14,331,1566,59
46,0,20157,Retief Goosen,21.13,270,1278,133
47,0,24502,Adam Scott,21.08,258,1224,31
48,0,25190,Jeff Quinney,21.06,345,1638,148
49,0,02206,David Toms,21.05,322,1530,87
50,0,08537,J.P. Hayes,21.03,299,1422,130
50,0,26695,Michael Letzig,21.03,318,1512,72
52,0,28620,Aron Price,20.95,264,1260,10
52,0,24663,Y.E. Yang,20.95,264,1260,134
54,0,29221,Webb Simpson,20.92,369,1764,121
55,0,20436,Garrett Willis,20.87,308,1476,24
56,0,20229,Stewart Cink,20.83,300,1440,52
57,0,26596,Ryan Moore,20.82,296,1422,104
58,0,28089,Jason Day,20.73,306,1476,84
59,0,24925,Jonathan Byrd,20.72,317,1530,20
60,0,22946,Henrik Bjornstad,20.68,268,1296,38
61,0,32102,Rickie Fowler,20.63,364,1764,22
61,0,23800,Bryce Molder,20.63,312,1512,152
63,0,27466,Spencer Levin,20.61,408,1980,23
64,0,24846,Ricky Barnes,20.60,382,1854,62
65,0,06643,Paul Goydos,20.58,289,1404,134
66,0,24357,K.J. Choi,20.53,303,1476,56
66,0,26301,James Nitties,20.53,340,1656,116
66,0,25632,Jimmy Walker,20.53,303,1476,138
69,0,24507,Jason Bohn,20.50,310,1512,79
69,0,06567,Vijay Singh,20.50,273,1332,51
71,0,06621,Joe Durant,20.48,247,1206,3
71,0,21731,Freddie Jacobson,20.48,306,1494,78
73,0,23322,Brett Wetterich,20.47,199,972,68
74,0,01161,Mark Calcavecchia,20.44,184,900,145
74,0,28500,Martin Flores,20.44,276,1350,161
76,0,10809,Jim Furyk,20.42,272,1332,93
77,0,27963,Chris Stroud,20.37,330,1620,36
78,0,20160,Charlie Wi,20.35,348,1710,110
79,0,01706,Davis Love III,20.32,289,1422,13
79,0,22056,Cameron Percy,20.32,267,1314,11
81,0,24781,Hunter Mahan,20.30,307,1512,49
