RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
1,0,08725,Tom Gillis,23.08,403,1746
2,0,30925,Dustin Johnson,22.97,339,1476
3,0,27095,Nick Watney,22.92,363,1584
4,0,11123,Chris Couch,22.90,272,1188
5,0,25804,Bubba Watson,22.80,316,1386
6,0,12716,Charley Hoffman,22.61,346,1530
7,0,08375,Paul Stankowski,22.58,252,1116
8,0,23108,Matt Kuchar,22.57,386,1710
9,0,01810,Phil Mickelson,22.51,308,1368
10,0,28307,Matt Every,22.50,243,1080
11,0,25364,Paul Casey,22.22,232,1044
11,0,27214,Kevin Streelman,22.22,360,1620
13,0,23320,Ryan Palmer,22.16,335,1512
14,0,23621,Rory Sabbatini,22.01,309,1404
15,0,06527,Steve Stricker,21.99,285,1296
16,0,25818,Scott Piercy,21.97,348,1584
17,0,27141,J.B. Holmes,21.94,395,1800
18,0,24361,Pat Perez,21.91,355,1620
19,0,22046,Geoff Ogilvy,21.85,236,1080
20,0,23788,D.J. Trahan,21.80,361,1656
21,0,27436,Graham DeLaet,21.78,345,1584
22,0,23623,Bo Van Pelt,21.74,407,1872
23,0,23349,Charles Warren,21.70,250,1152
24,0,27649,Brandt Snedeker,21.66,347,1602
25,0,22405,Justin Rose,21.65,304,1404
26,0,26679,Kevin Stadler,21.64,335,1548
27,0,22371,Aaron Baddeley,21.63,366,1692
28,0,23541,Ben Crane,21.61,319,1476
29,0,24358,Robert Garrigus,21.60,276,1278
30,0,28475,Jeff Overton,21.47,344,1602
31,0,23638,Brendon de Jonge,21.44,440,2052
32,0,10885,Robert Allenby,21.40,285,1332
32,0,22913,John Rollins,21.40,312,1458
34,0,28158,Steve Marino,21.33,311,1458
35,0,32640,Troy Merritt,21.32,330,1548
36,0,24490,George McNeill,21.31,303,1422
37,0,06522,Ernie Els,21.27,268,1260
38,0,01249,John Daly,21.25,241,1134
39,0,26300,Matt Jones,21.22,340,1602
40,0,30946,Alex Prugh,21.21,336,1584
41,0,24924,Bill Haas,21.20,332,1566
42,0,24024,Zach Johnson,21.18,347,1638
43,0,25900,Lucas Glover,21.17,282,1332
44,0,25396,Kevin Na,21.15,354,1674
45,0,23325,Vaughn Taylor,21.14,331,1566
46,0,20157,Retief Goosen,21.13,270,1278
47,0,24502,Adam Scott,21.08,258,1224
48,0,25190,Jeff Quinney,21.06,345,1638
49,0,02206,David Toms,21.05,322,1530
50,0,08537,J.P. Hayes,21.03,299,1422
50,0,26695,Michael Letzig,21.03,318,1512
52,0,28620,Aron Price,20.95,264,1260
52,0,24663,Y.E. Yang,20.95,264,1260
54,0,29221,Webb Simpson,20.92,369,1764
55,0,20436,Garrett Willis,20.87,308,1476
56,0,20229,Stewart Cink,20.83,300,1440
57,0,26596,Ryan Moore,20.82,296,1422
58,0,28089,Jason Day,20.73,306,1476
59,0,24925,Jonathan Byrd,20.72,317,1530
60,0,22946,Henrik Bjornstad,20.68,268,1296
61,0,32102,Rickie Fowler,20.63,364,1764
61,0,23800,Bryce Molder,20.63,312,1512
63,0,27466,Spencer Levin,20.61,408,1980
