RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,06573,Brandt Jobe,80' 7",80.583,1
1,0,23034,Brent Schwarzrock,80' 7",80.583,1
3,0,06595,Kevin Sutherland,80' 1",80.083,1
4,0,01810,Phil Mickelson,69' 6",69.500,1
5,0,12782,Tim Herron,69' 2",69.167,1
6,0,10425,Jay Williamson,67' 6",134.917,2
7,0,10809,Jim Furyk,67' 0",67.000,1
8,0,01569,Peter Jacobsen,66' 5",66.417,1
9,0,23036,Chris Anderson,64' 9",64.750,1
10,0,07867,Woody Austin,63' 11",63.917,1
11,0,24361,Pat Perez,61' 9",123.417,2
12,0,08075,Jerry Kelly,61' 7",61.583,1
12,0,01941,Tom Pernice Jr.,61' 7",61.583,1
14,0,01677,Tom Lehman,60' 0",60.000,1
15,0,01945,Kenny Perry,59' 7",59.583,1
16,0,02104,Jeff Sluman,59' 2",118.333,2
17,0,22621,Ben Curtis,58' 4",58.333,1
18,0,08123,Jeff Brehaut,55' 11",55.917,1
19,0,23614,Rich Beem,55' 7",55.583,1
20,0,06332,Neal Lancaster,54' 0",107.917,2
21,0,21739,Aaron Barber,53' 5",53.417,1
22,0,11032,Frank Lickliter II,52' 8",52.667,1
23,0,20472,Alex Cejka,52' 6",52.500,1
24,0,01707,Steve Lowery,50' 0",100.000,2
25,0,24925,Jonathan Byrd,48' 0",95.917,2
26,0,01761,Len Mattiace,47' 10",47.833,1
27,0,20029,Notah Begay III,46' 10",140.583,3
28,0,02206,David Toms,46' 7",46.583,1
29,0,20548,Hidemichi Tanaka,46' 1",46.083,1
30,0,02170,Hal Sutton,44' 3",44.250,1
31,0,20094,Jonathan Kaye,44' 2",44.167,1
32,0,19824,Craig Barlow,43' 6",86.917,2
33,0,22371,Aaron Baddeley,42' 3",126.833,3
33,0,20634,Peter Lonard,42' 3",42.250,1
35,0,02049,Gene Sauers,40' 11",122.833,3
36,0,10585,Scott McCarron,40' 8",40.667,1
37,0,02246,Duffy Waldorf,40' 7",40.583,1
38,0,01388,Robert Gamez,39' 11",39.917,1
39,0,02002,John Riegger,39' 3",39.250,1
40,0,20572,Rod Pampling,39' 0",39.000,1
41,0,07101,Dave Stockton Jr.,38' 8",38.667,1
42,0,01724,Jeff Maggert,38' 7",154.250,4
43,0,22046,Geoff Ogilvy,38' 4",76.583,2
44,0,12660,Jesper Parnevik,36' 8",73.250,2
45,0,06004,Stephen Ames,36' 7",73.083,2
45,0,01685,J.L. Lewis,36' 7",36.583,1
47,0,06809,Bob Burns,36' 4",72.583,2
48,0,08931,Glen Day,35' 8",35.667,1
49,0,01928,Corey Pavin,35' 1",35.083,1
50,0,02239,Scott Verplank,34' 11",34.917,1
51,0,20663,Brenden Pappas,34' 7",34.583,1
52,0,20436,Garrett Willis,31' 0",124.083,4
53,0,19825,Darren Clarke,30' 9",30.750,1
53,0,11011,Mike Sposa,30' 9",30.750,1
55,0,25692,Akio Sadakata,30' 0",30.000,1
56,0,19846,Brian Gay,29' 6",29.500,1
57,0,01161,Mark Calcavecchia,29' 0",29.000,1
58,0,01249,John Daly,28' 11",28.917,1
59,0,20566,Kaname Yokoo,27' 10",27.833,1
60,0,20940,Kenichi Kuboya,27' 4",27.333,1
61,0,12661,Todd Barranger,25' 9",51.500,2
62,0,23621,Rory Sabbatini,25' 6",102.083,4
63,0,07457,Steve Flesch,22' 9",22.750,1
64,0,12680,Shigeki Maruyama,21' 10",43.667,2
65,0,20498,Briny Baird,20' 11",41.833,2
66,0,12823,Carlos Franco,20' 4",20.333,1
67,0,10733,Kent Jones,19' 8",19.667,1
68,0,01723,Andrew Magee,17' 2",17.167,1
69,0,06581,David Sutherland,16' 3",16.250,1
70,0,20568,Anthony Painter,14' 9",14.750,1
71,0,06522,Ernie Els,14' 6",14.500,1
72,0,20098,Stuart Appleby,14' 0",14.000,1
73,0,21209,Sergio Garcia,13' 0",13.000,1
74,0,02214,Kirk Triplett,12' 2",24.333,2
75,0,01948,Tim Petrovic,10' 9",10.750,1
76,0,07749,Brett Quigley,8' 3",16.417,2
77,0,01042,Paul Azinger,5' 6",5.500,1
78,0,21878,Mark Wilson,5' 5",5.417,1
