RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,20104,Ken Duke,32.7,87,266,+1.38
2,0,29740,Brad Fritsch,33.9,87,257,+2.53
3,0,20572,Rod Pampling,35.1,124,353,+1.77
4,0,37278,Nicholas Lindheim,35.4,95,268,+1.68
5,0,26851,Marc Leishman,35.7,138,387,+1.38
6,0,24502,Adam Scott,35.9,84,234,+2.62
7,0,23800,Bryce Molder,36.0,138,383,+1.59
8,0,40026,Daniel Berger,37.5,130,347,+0.46
9,0,40058,Zac Blair,38.1,133,349,+1.43
10,0,26758,David Hearn,38.5,129,335,+1.32
11,0,12716,Charley Hoffman,38.8,193,497,+0.67
12,0,40009,Dominic Bozzelli,39.1,125,320,+2.24
13,0,28679,Fabián Gómez,39.5,104,263,+2.02
14,0,29974,Branden Grace,39.6,89,225,+1.12
15,0,23621,Rory Sabbatini,39.8,102,256,+2.06
16,0,29223,Sam Saunders,40.5,119,294,+0.84
17,0,25818,Scott Piercy,40.7,109,268,+2.11
17,0,25632,Jimmy Walker,40.7,110,270,+2.27
19,0,06522,Ernie Els,40.8,80,196,+1.63
20,0,36801,Mark Hubbard,40.9,132,323,+1.14
21,0,23541,Ben Crane,41.0,127,310,+1.97
22,0,23320,Ryan Palmer,41.1,111,270,+2.07
23,0,30852,Ryo Ishikawa,41.3,119,288,+1.51
24,0,35879,Kelly Kraft,41.4,145,350,+3.17
25,0,33461,Morgan Hoffmann,41.8,183,438,+1.20
25,0,21961,Charles Howell III,41.8,174,416,+1.09
25,0,37455,Si Woo Kim,41.8,136,325,+3.24
25,0,31420,Anirban Lahiri,41.8,135,323,+2.00
29,0,34466,Peter Malnati,42.2,154,365,+2.08
30,0,28093,Miguel Angel Carballo,42.3,96,227,+3.85
31,0,35506,Mackenzie Hughes,42.4,217,512,+2.26
32,0,24361,Pat Perez,42.5,156,367,+1.92
33,0,19803,Ryan Armour,42.6,78,183,+1.67
34,0,35110,Brett Drewitt,42.7,103,241,+1.84
35,0,24138,Ian Poulter,42.9,121,282,+0.99
36,0,24507,Jason Bohn,43.2,137,317,+2.77
36,0,48081,Xander Schauffele,43.2,164,380,+1.28
38,0,33122,Russell Knox,43.3,100,231,+1.40
38,0,49771,J.T. Poston,43.3,178,411,+1.57
40,0,31646,Emiliano Grillo,43.4,131,302,+1.98
41,0,20771,Steven Alker,43.5,103,237,+1.84
42,0,10809,Jim Furyk,43.6,71,163,+1.83
42,0,30110,Kyle Stanley,43.6,167,383,+1.08
