RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,26289,Boo Weekley,20.19,172,852,+0.41
2,0,26476,Chez Reavie,20.78,240,1155,+0.67
3,0,33204,Shane Lowry,21.36,113,529,+0.18
4,0,31202,William McGirt,21.46,217,1011,+2.12
5,0,25198,Francesco Molinari,22.09,182,824,+1.65
6,0,24024,Zach Johnson,22.34,212,949,+1.18
7,0,30110,Kyle Stanley,22.82,299,1310,+0.90
8,0,25572,Graeme McDowell,22.88,159,695,+2.39
9,0,19803,Ryan Armour,22.92,157,685,+1.02
10,0,31557,Jim Herman,22.97,212,923,+0.47
11,0,25892,Steve Wheatcroft,23.06,128,555,+0.70
12,0,10809,Jim Furyk,23.11,141,610,+1.56
13,0,26596,Ryan Moore,23.46,213,908,+1.22
14,0,23108,Matt Kuchar,23.50,251,1068,+0.72
15,0,20104,Ken Duke,23.54,197,837,+0.96
16,0,23325,Vaughn Taylor,23.55,251,1066,+0.64
17,0,40058,Zac Blair,23.61,267,1131,+0.52
18,0,29221,Webb Simpson,23.68,277,1170,+0.36
19,0,33122,Russell Knox,23.71,179,755,+1.68
20,0,31560,Brian Stuard,23.83,230,965,+1.43
21,0,24357,K.J. Choi,23.94,180,752,+0.28
22,0,32102,Rickie Fowler,24.20,212,876,+0.19
23,0,27214,Kevin Streelman,24.22,263,1086,+0.53
24,0,29476,Kyle Reifers,24.27,249,1026,+0.80
25,0,25900,Lucas Glover,24.33,291,1196,+0.72
26,0,27466,Spencer Levin,24.39,228,935,+1.45
27,0,29478,Kevin Kisner,24.63,265,1076,+0.57
28,0,33141,Keegan Bradley,24.78,314,1267,+1.59
29,0,27936,Martin Laird,24.80,248,1000,+0.69
30,0,34409,David Lingmerth,24.90,238,956,+0.08
31,0,23541,Ben Crane,24.95,239,958,+1.72
32,0,27649,Brandt Snedeker,25.00,148,592,+0.20
33,0,26758,David Hearn,25.40,251,988,+1.71
34,0,22986,Søren Kjeldsen,25.42,120,472,+2.42
35,0,39324,J.J. Spaun,25.45,254,998,+1.14
36,0,32448,James Hahn,25.55,289,1131,+0.24
37,0,29223,Sam Saunders,25.56,217,849,+0.32
38,0,19846,Brian Gay,25.60,246,961,+1.10
39,0,20771,Steven Alker,25.70,183,712,+1.31
40,0,20472,Alex Cejka,25.87,223,862,+1.12
41,0,25240,D.A. Points,25.89,210,811,+1.14
42,0,31646,Emiliano Grillo,26.14,241,922,+1.83
43,0,25834,Daniel Summerhays,26.16,299,1143,+1.44
44,0,34098,Russell Henley,26.25,314,1196,+1.34
45,0,24138,Ian Poulter,26.38,201,762,+1.09
46,0,27436,Graham DeLaet,26.40,260,985,+0.50
47,0,23983,Luke Donald,26.57,157,591,+1.02
48,0,33413,Ben Martin,26.60,258,970,+1.63
49,0,32200,Roberto Castro,26.69,201,753,+0.85
49,0,26329,Louis Oosthuizen,26.69,190,712,+0.63
51,0,47128,Richy Werenski,26.71,227,850,+1.72
52,0,27644,Brian Harman,26.92,322,1196,+1.15
53,0,39975,Michael Kim,26.98,314,1164,+0.22
53,0,24140,Sean O'Hair,26.98,262,971,+0.65
55,0,26951,Johnson Wagner,27.02,214,792,+1.17
56,0,12510,Chad Campbell,27.07,320,1182,+1.13
57,0,33399,Adam Hadwin,27.08,296,1093,+0.91
58,0,30926,Chris Kirk,27.13,264,973,+0.68
59,0,29479,Scott Brown,27.14,295,1087,+0.88
60,0,34021,Bud Cauley,27.28,308,1129,+0.62
61,0,28679,Fabián Gómez,27.31,195,714,+1.18
62,0,25349,Tim Wilkinson,27.36,174,636,+0.75
63,0,29926,Danny Lee,27.40,288,1051,+0.83
64,0,29518,Brendan Steele,27.42,272,992,+0.63
65,0,30944,Jason Kokrak,27.49,315,1146,+0.83
66,0,25364,Paul Casey,27.52,273,992,+0.33
67,0,27963,Chris Stroud,27.54,184,668,+1.36
68,0,25686,Jason Dufner,27.56,277,1005,+0.61
69,0,26499,Rafa Cabrera Bello,27.57,177,642,+0.79
70,0,24507,Jason Bohn,27.61,238,862,+1.30
71,0,22046,Geoff Ogilvy,27.63,257,930,+0.86
72,0,33948,Byeong Hun An,27.66,218,788,+1.56
73,0,23621,Rory Sabbatini,27.72,204,736,+0.54
74,0,34466,Peter Malnati,27.74,281,1013,+0.75
75,0,24781,Hunter Mahan,27.75,227,818,+1.06
76,0,35450,Patrick Cantlay,27.79,177,637,-0.45
77,0,24361,Pat Perez,27.84,284,1020,+0.60
78,0,29908,C.T. Pan,27.86,295,1059,+1.05
79,0,27895,Jonas Blixt,27.92,227,813,+1.28
80,0,29485,Brett Stegmaier,27.97,224,801,+2.10
81,0,34358,Jonathan Randolph,28.03,199,710,+1.26
82,0,25493,Nick Taylor,28.13,324,1152,+0.83
83,0,33461,Morgan Hoffmann,28.19,320,1135,+0.88
84,0,25396,Kevin Na,28.21,259,918,+0.35
85,0,34174,John Huh,28.36,300,1058,+1.20
86,0,21209,Sergio Garcia,28.44,182,640,+1.15
87,0,32150,Michael Thompson,28.48,174,611,+1.32
88,0,34431,Robert Streb,28.53,331,1160,+0.24
89,0,46732,Rick Lamb,28.54,151,529,+1.92
89,0,37189,Harold Varner III,28.54,339,1188,+0.77
91,0,30191,Julián Etulain,28.55,203,711,+0.59
92,0,34046,Jordan Spieth,28.66,272,949,-0.48
93,0,35545,Blayne Barber,28.68,267,931,+1.50
94,0,36801,Mark Hubbard,28.74,242,842,+0.91
95,0,25804,Bubba Watson,28.77,212,737,+0.75
96,0,22405,Justin Rose,28.80,212,736,E
96,0,28132,Tyrone Van Aswegen,28.80,320,1111,+1.06
98,0,40026,Daniel Berger,28.87,278,963,+0.29
99,0,06522,Ernie Els,28.96,148,511,+1.28
99,0,24924,Bill Haas,28.96,289,998,+0.66
101,0,35506,Mackenzie Hughes,29.15,390,1338,+0.97
102,0,29222,Billy Hurley III,29.17,280,960,+1.00
103,0,23353,J.J. Henry,29.20,304,1041,+1.48
104,0,46970,Jon Rahm,29.23,268,917,-0.49
105,0,24358,Robert Garrigus,29.25,241,824,+0.46
106,0,34360,Patrick Reed,29.26,342,1169,+0.53
107,0,31420,Anirban Lahiri,29.43,241,819,+1.33
108,0,33418,Shawn Stefani,29.46,246,835,+1.22
109,0,35891,Cameron Smith,29.50,290,983,+0.62
110,0,34213,Grayson Murray,29.58,349,1180,+0.60
111,0,20593,Greg Chalmers,29.60,280,946,+1.57
112,0,32640,Troy Merritt,29.63,288,972,+1.08
113,0,20572,Rod Pampling,29.67,273,920,+1.43
114,0,29725,Tony Finau,29.69,375,1263,-0.29
115,0,29420,Billy Horschel,29.70,330,1111,+1.30
116,0,35879,Kelly Kraft,29.72,266,895,+1.50
117,0,36689,Brooks Koepka,29.75,274,921,+0.99
118,0,28093,Miguel Angel Carballo,29.82,178,597,+1.40
119,0,48084,Wesley Bryan,29.92,318,1063,+1.26
120,0,27974,Sung Kang,30.23,344,1138,+0.64
121,0,23320,Ryan Palmer,30.43,206,677,+1.41
122,0,37455,Si Woo Kim,30.46,254,834,+2.05
123,0,23800,Bryce Molder,30.47,270,886,+0.70
