RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,22405,Justin Rose,4.97,8130678,163750000
2,0,36689,Brooks Koepka,4.78,7094047,148350000
3,0,30925,Dustin Johnson,4.68,8457352,180550000
4,0,33448,Justin Thomas,4.31,8694821,201750000
5,0,47959,Bryson DeChambeau,3.77,8094489,214900000
6,0,08793,Tiger Woods,3.37,5443841,161300000
7,0,25198,Francesco Molinari,2.82,5065842,179450000
8,0,25804,Bubba Watson,2.79,5793748,207400000
9,0,28089,Jason Day,2.76,5087461,184500000
10,0,28237,Rory McIlroy,2.71,4410296,162700000
11,0,29221,Webb Simpson,2.51,5376417,214600000
12,0,32102,Rickie Fowler,2.43,4235237,174000000
13,0,29725,Tony Finau,2.36,5620138,238100000
14,0,30911,Tommy Fleetwood,2.25,3935147,175050000
15,0,46970,Jon Rahm,2.23,3992678,178950000
16,0,01810,Phil Mickelson,2.20,4595187,209250000
16,0,34360,Patrick Reed,2.20,5006267,227500000
18,0,29420,Billy Horschel,2.10,4315200,205600000
19,0,25364,Paul Casey,2.03,3641771,179000000
20,0,35450,Patrick Cantlay,1.96,3963962,202750000
21,0,21528,Henrik Stenson,1.86,2680487,144350000
22,0,33141,Keegan Bradley,1.85,4069464,219650000
23,0,48081,Xander Schauffele,1.75,4047538,231900000
23,0,35891,Cameron Smith,1.75,3622607,206550000
25,0,30110,Kyle Stanley,1.73,3916001,226400000
26,0,26851,Marc Leishman,1.71,3771221,220300000
27,0,25396,Kevin Na,1.69,3578316,211650000
28,0,27349,Alex Noren,1.62,2699150,166450000
28,0,34709,Eddie Pepperell,1.62,348317,21500000
30,0,49964,Aaron Wise,1.58,3486407,220100000
31,0,47989,Sam Horsfield,1.55,137950,8900000
31,0,24138,Ian Poulter,1.55,2714450,174750000
33,0,32757,Patton Kizzire,1.53,3541151,231400000
34,0,24361,Pat Perez,1.46,2962641,202900000
35,0,32839,Hideki Matsuyama,1.43,2687477,187550000
35,0,33968,Thorbjørn Olesen,1.43,759067,53250000
37,0,35947,John Oda,1.42,559685,39300000
38,0,29478,Kevin Kisner,1.41,2972285,211100000
38,0,34046,Jordan Spieth,1.41,2793536,197900000
40,0,26499,Rafa Cabrera Bello,1.36,2449869,179900000
40,0,31323,Gary Woodland,1.36,3108907,229250000
42,0,33948,Byeong Hun An,1.32,2599264,197150000
42,0,39953,Chase Seiffert,1.32,189000,14300000
