RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,22405,Justin Rose,28.02,8130678,29020800
2,0,36689,Brooks Koepka,26.90,7094047,26374800
3,0,30925,Dustin Johnson,26.24,8457352,32230000
4,0,33448,Justin Thomas,24.23,8694821,35881800
5,0,47959,Bryson DeChambeau,20.91,8094489,38708000
6,0,08793,Tiger Woods,18.81,5443841,28934000
7,0,25198,Francesco Molinari,15.88,5065842,31906000
8,0,25804,Bubba Watson,15.76,5793748,36772800
9,0,28089,Jason Day,15.58,5087461,32655800
10,0,28237,Rory McIlroy,15.16,4410296,29086000
11,0,29221,Webb Simpson,14.03,5376417,38328000
12,0,32102,Rickie Fowler,13.55,4235237,31246000
13,0,29725,Tony Finau,13.32,5620138,42203800
14,0,30911,Tommy Fleetwood,12.75,3935147,30854800
15,0,46970,Jon Rahm,12.60,3992678,31682800
16,0,34360,Patrick Reed,12.42,5006267,40295800
17,0,01810,Phil Mickelson,12.33,4595187,37270000
18,0,29420,Billy Horschel,11.70,4315200,36874800
19,0,25364,Paul Casey,11.44,3641771,31825000
20,0,35450,Patrick Cantlay,11.02,3963962,35966800
21,0,21528,Henrik Stenson,10.50,2680487,25528800
22,0,33141,Keegan Bradley,10.39,4069464,39177800
23,0,35891,Cameron Smith,9.83,3622607,36845800
24,0,48081,Xander Schauffele,9.76,4047538,41473000
25,0,30110,Kyle Stanley,9.67,3916001,40483000
26,0,26851,Marc Leishman,9.58,3771221,39385000
27,0,25396,Kevin Na,9.51,3578316,37637800
28,0,27349,Alex Noren,9.13,2699150,29566000
29,0,34709,Eddie Pepperell,9.00,348317,3870000
30,0,49964,Aaron Wise,8.88,3486407,39258800
31,0,24138,Ian Poulter,8.76,2714450,30995800
32,0,47989,Sam Horsfield,8.61,137950,1602000
33,0,32757,Patton Kizzire,8.54,3541151,41478000
34,0,24361,Pat Perez,8.23,2962641,35993800
35,0,33968,Thorbjørn Olesen,8.08,759067,9390000
36,0,32839,Hideki Matsuyama,8.00,2687477,33590000
37,0,34046,Jordan Spieth,7.94,2793536,35188800
38,0,29478,Kevin Kisner,7.91,2972285,37564800
38,0,35947,John Oda,7.91,559685,7074000
40,0,26499,Rafa Cabrera Bello,7.72,2449869,31727800
41,0,31323,Gary Woodland,7.64,3108907,40705800
42,0,33948,Byeong Hun An,7.40,2599264,35127800
43,0,39953,Chase Seiffert,7.34,189000,2574000
44,0,33410,Andrew Landry,7.28,2642179,36270800
45,0,40042,Tyler McCumber,7.22,39000,540000
46,0,34363,Tyrrell Hatton,7.20,1943360,26992000
47,0,27644,Brian Harman,7.14,2733463,38305000
48,0,27649,Brandt Snedeker,7.11,2448970,34444800
49,0,34256,Andrew Putnam,7.02,2387382,34012800
50,0,29518,Brendan Steele,6.96,2291128,32920800
51,0,31646,Emiliano Grillo,6.95,2493163,35847800
52,0,45486,Joaquin Niemann,6.82,1209957,17748000
53,0,47574,Scott Strohmeyer,6.81,177733,2610000
54,0,34563,Chesson Hadley,6.79,2768863,40762800
55,0,26418,Adam Bland,6.74,114500,1700000
56,0,24502,Adam Scott,6.73,2237641,33231000
