RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,22046,Geoff Ogilvy,1.62,37,6
2,0,21731,Freddie Jacobson,1.57,51,8
3,0,23614,Rich Beem,1.54,52,8
4,0,20157,Retief Goosen,1.46,41,6
5,0,20631,David McKenzie,1.36,66,9
6,0,19824,Craig Barlow,1.28,47,6
7,0,23623,Bo Van Pelt,1.23,73,9
8,0,11011,Mike Sposa,1.22,41,5
9,0,06567,Vijay Singh,1.21,66,8
10,0,26596,Ryan Moore,1.20,50,6
11,0,23409,James Driscoll,1.19,59,7
12,0,21959,Ted Purdy,1.17,77,9
13,0,12602,Dean Wilson,1.14,79,9
14,0,25936,Alex Aragon,1.11,36,4
14,0,12760,Danny Ellis,1.11,45,5
14,0,20378,Mathias Grönberg,1.11,72,8
17,0,20121,Todd Fischer,1.09,55,6
17,0,20127,Chris Riley,1.09,55,6
19,0,24924,Bill Haas,1.06,85,9
20,0,02106,Chris Smith,1.05,57,6
21,0,11032,Frank Lickliter II,1.04,77,8
21,0,22913,John Rollins,1.04,67,7
23,0,06522,Ernie Els,1.03,29,3
24,0,10809,Jim Furyk,1.02,59,6
24,0,01388,Robert Gamez,1.02,59,6
24,0,24502,Adam Scott,1.02,49,5
24,0,21878,Mark Wilson,1.02,59,6
28,0,22378,Trevor Immelman,1.01,69,7
28,0,02110,Jerry Smith,1.01,69,7
30,0,01823,Larry Mize,1.00,40,4
30,0,21660,Jason Schultz,1.00,70,7
32,0,19846,Brian Gay,.99,81,8
33,0,24925,Jonathan Byrd,.98,41,4
33,0,27120,Troy Matteson,.98,61,6
35,0,12680,Shigeki Maruyama,.97,62,6
35,0,25240,D.A. Points,.97,31,3
35,0,07749,Brett Quigley,.97,72,7
38,0,02223,Bob Tway,.95,74,7
39,0,06034,Marco Dawson,.94,64,6
39,0,08537,J.P. Hayes,.94,32,3
41,0,01677,Tom Lehman,.93,43,4
41,0,01761,Len Mattiace,.93,43,4
43,0,06573,Brandt Jobe,.92,76,7
44,0,24507,Jason Bohn,.91,77,7
44,0,20850,Daniel Chopra,.91,66,6
44,0,01320,Bob Estes,.91,77,7
44,0,01329,Brad Faxon,.91,55,5
48,0,01381,Fred Funk,.90,78,7
49,0,20094,Jonathan Kaye,.89,90,8
50,0,08385,Omar Uresti,.87,46,4
51,0,20574,Mathew Goggin,.85,59,5
52,0,06373,José María Olazábal,.83,36,3
53,0,01024,Billy Andrade,.82,49,4
53,0,01553,John Huston,.82,49,4
53,0,01706,Davis Love III,.82,49,4
56,0,19881,Robert Damron,.81,62,5
56,0,24140,Sean O'Hair,.81,62,5
58,0,06643,Paul Goydos,.80,50,4
58,0,01577,Lee Janzen,.80,50,4
58,0,25842,Jon Mills,.80,50,4
58,0,02101,Joey Sindelar,.80,75,6
62,0,01139,Olin Browne,.79,76,6
63,0,01132,Mark Brooks,.78,64,5
64,0,01142,Bart Bryant,.77,52,4
64,0,01685,J.L. Lewis,.77,39,3
66,0,20105,Jeff Gove,.75,80,6
66,0,23353,J.J. Henry,.75,67,5
68,0,25935,John Engler Jr.,.74,54,4
68,0,20382,Stephen Leaney,.74,68,5
68,0,20572,Rod Pampling,.74,54,4
71,0,06515,Shaun Micheel,.73,82,6
72,0,25345,Carl Pettersson,.72,69,5
73,0,01473,Todd Hamilton,.71,42,3
73,0,20548,Hidemichi Tanaka,.71,56,4
73,0,08793,Tiger Woods,.71,42,3
76,0,20098,Stuart Appleby,.70,57,4
76,0,02206,David Toms,.70,57,4
78,0,07867,Woody Austin,.69,72,5
79,0,10733,Kent Jones,.68,74,5
79,0,23788,D.J. Trahan,.68,59,4
81,0,01313,Steve Elkington,.67,45,3
81,0,07457,Steve Flesch,.67,89,6
81,0,12823,Carlos Franco,.67,75,5
84,0,12660,Jesper Parnevik,.66,61,4
84,0,23325,Vaughn Taylor,.66,61,4
86,0,01226,Fred Couples,.65,31,2
86,0,10860,Justin Leonard,.65,62,4
86,0,12662,Thomas Levet,.65,46,3
86,0,22293,Heath Slocum,.65,77,5
90,0,21805,Harrison Frazar,.64,47,3
90,0,01619,Skip Kendall,.64,47,3
92,0,22405,Justin Rose,.63,63,4
92,0,28780,Nicholas Thompson,.63,64,4
94,0,01941,Tom Pernice Jr.,.62,65,4
94,0,01948,Tim Petrovic,.62,81,5
96,0,21407,Arjun Atwal,.61,66,4
96,0,23048,Eric Axley,.61,49,3
96,0,01249,John Daly,.61,33,2
96,0,23983,Luke Donald,.61,33,2
96,0,20766,Padraig Harrington,.61,33,2
96,0,23320,Ryan Palmer,.61,66,4
96,0,25632,Jimmy Walker,.61,49,3
103,0,10885,Robert Allenby,.60,50,3
103,0,12782,Tim Herron,.60,50,3
103,0,27141,J.B. Holmes,.60,50,3
103,0,24024,Zach Johnson,.60,67,4
103,0,02246,Duffy Waldorf,.60,83,5
108,0,06527,Steve Stricker,.59,34,2
109,0,20472,Alex Cejka,.58,69,4
110,0,12510,Chad Campbell,.56,71,4
110,0,12645,Brent Geiberger,.56,90,5
110,0,10565,Ian Leggatt,.56,54,3
110,0,28475,Jeff Overton,.56,72,4
114,0,08123,Jeff Brehaut,.55,73,4
114,0,26360,Bubba Dickerson,.55,73,4
114,0,06575,Dudley Hart,.55,55,3
114,0,01766,Billy Mayfair,.55,73,4
118,0,25900,Lucas Glover,.54,74,4
118,0,22548,Patrick Sheehan,.54,74,4
120,0,01219,John Cook,.53,38,2
120,0,08075,Jerry Kelly,.53,76,4
122,0,26420,Richard Johnson,.52,77,4
122,0,24912,Will MacKenzie,.52,58,3
122,0,20628,Arron Oberholser,.52,58,3
122,0,20645,John Senden,.52,77,4
126,0,01666,Bernhard Langer,.51,39,2
126,0,23621,Rory Sabbatini,.51,59,3
128,0,01161,Mark Calcavecchia,.50,60,3
128,0,01724,Jeff Maggert,.50,60,3
130,0,07223,Brian Bateman,.49,41,2
130,0,23349,Charles Warren,.49,81,4
132,0,01599,Steve Jones,.48,62,3
132,0,06012,Greg Kraft,.48,63,3
134,0,22946,Henrik Bjornstad,.47,85,4
134,0,22892,Jason Gore,.47,43,2
134,0,27943,Matt Hansen,.47,43,2
134,0,06350,Bob May,.47,43,2
134,0,02104,Jeff Sluman,.47,64,3
139,0,27770,Camilo Villegas,.46,65,3
140,0,21646,David Branshaw,.45,66,3
140,0,23541,Ben Crane,.45,66,3
140,0,23718,Nathan Green,.45,88,4
143,0,02214,Kirk Triplett,.44,45,2
144,0,24357,K.J. Choi,.43,70,3
144,0,12716,Charley Hoffman,.43,69,3
146,0,12755,Vance Veazey,.42,48,2
147,0,20634,Peter Lonard,.41,49,2
147,0,23307,Roger Tambellini,.41,49,2
147,0,25804,Bubba Watson,.41,49,2
150,0,08835,Kris Cox,.40,50,2
150,0,01887,Mark O'Meara,.40,25,1
150,0,20812,Tjaart van der Walt,.40,50,2
150,0,10423,Mike Weir,.40,50,2
154,0,06621,Joe Durant,.39,77,3
154,0,24358,Robert Garrigus,.39,51,2
154,0,24781,Hunter Mahan,.39,77,3
157,0,21961,Charles Howell III,.38,80,3
158,0,08375,Paul Stankowski,.37,54,2
159,0,22621,Ben Curtis,.36,55,2
159,0,02239,Scott Verplank,.36,56,2
161,0,23322,Brett Wetterich,.35,57,2
162,0,20608,David Howell,.34,29,1
162,0,07013,Wes Short Jr.,.34,59,2
164,0,01707,Steve Lowery,.33,92,3
165,0,01810,Phil Mickelson,.32,31,1
166,0,21350,Ryuji Imada,.31,64,2
167,0,10505,Shane Bertsch,.29,69,2
167,0,20593,Greg Chalmers,.29,35,1
167,0,09011,David Duval,.29,35,1
167,0,24361,Pat Perez,.29,35,1
167,0,06595,Kevin Sutherland,.29,70,2
167,0,19913,Ron Whittaker,.29,68,2
173,0,21753,Brian Davis,.28,71,2
174,0,21209,Sergio Garcia,.27,37,1
174,0,24138,Ian Poulter,.27,37,1
174,0,27095,Nick Watney,.27,74,2
177,0,01035,Tommy Armour III,.26,39,1
178,0,24980,Scott Gutschewski,.24,41,1
178,0,23616,Ryan Hietala,.24,42,1
180,0,22371,Aaron Baddeley,.22,45,1
181,0,23135,Tim Clark,.21,47,1
182,0,01928,Corey Pavin,.20,49,1
183,0,06197,Michael Allen,.19,53,1
183,0,20099,Doug Barron,.19,52,1
183,0,21470,Daisuke Maruyama,.19,54,1
183,0,01945,Kenny Perry,.19,54,1
183,0,23497,Tag Ridings,.19,53,1
188,0,01042,Paul Azinger,.18,57,1
188,0,20498,Briny Baird,.18,55,1
188,0,20229,Stewart Cink,.18,57,1
188,0,06251,Chris DiMarco,.18,57,1
188,0,21949,Joe Ogilvie,.18,56,1
188,0,20691,Greg Owen,.18,55,1
194,0,11123,Chris Couch,.16,62,1
195,0,06004,Stephen Ames,.00,43
195,0,23673,Michael Connell,.00,23
