RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
120,0,12602,Dean Wilson,.29,208,6
125,0,25900,Lucas Glover,.28,181,5
125,0,24924,Bill Haas,.28,179,5
125,0,01599,Steve Jones,.28,145,4
125,0,12680,Shigeki Maruyama,.28,143,4
125,0,22405,Justin Rose,.28,179,5
125,0,23788,D.J. Trahan,.28,142,4
131,0,25936,Alex Aragon,.27,113,3
131,0,20850,Daniel Chopra,.27,186,5
131,0,12760,Danny Ellis,.27,113,3
131,0,21660,Jason Schultz,.27,146,4
135,0,06004,Stephen Ames,.26,77,2
135,0,01042,Paul Azinger,.26,155,4
135,0,07457,Steve Flesch,.26,193,5
135,0,23616,Ryan Hietala,.26,117,3
135,0,01553,John Huston,.26,117,3
135,0,01619,Skip Kendall,.26,117,3
135,0,21470,Daisuke Maruyama,.26,153,4
135,0,22046,Geoff Ogilvy,.26,114,3
135,0,06373,José María Olazábal,.26,78,2
144,0,21753,Brian Davis,.25,157,4
144,0,06515,Shaun Micheel,.25,162,4
144,0,10423,Mike Weir,.25,119,3
147,0,20099,Doug Barron,.24,123,3
147,0,10809,Jim Furyk,.24,123,3
147,0,11032,Frank Lickliter II,.24,164,4
147,0,20572,Rod Pampling,.24,127,3
147,0,08385,Omar Uresti,.24,82,2
152,0,24980,Scott Gutschewski,.23,86,2
152,0,01577,Lee Janzen,.23,128,3
152,0,28475,Jeff Overton,.23,174,4
152,0,23621,Rory Sabbatini,.23,128,3
156,0,23673,Michael Connell,.22,92,2
156,0,24358,Robert Garrigus,.22,135,3
156,0,01707,Steve Lowery,.22,183,4
156,0,02246,Duffy Waldorf,.22,183,4
160,0,21646,David Branshaw,.21,190,4
160,0,20634,Peter Lonard,.21,140,3
160,0,02101,Joey Sindelar,.21,143,3
160,0,02104,Jeff Sluman,.21,145,3
164,0,01381,Fred Funk,.20,150,3
164,0,01677,Tom Lehman,.20,101,2
164,0,25842,Jon Mills,.20,102,2
164,0,27095,Nick Watney,.20,199,4
168,0,20593,Greg Chalmers,.19,108,2
168,0,26360,Bubba Dickerson,.19,162,3
168,0,06251,Chris DiMarco,.19,104,2
168,0,19846,Brian Gay,.19,157,3
168,0,22892,Jason Gore,.19,158,3
173,0,10860,Justin Leonard,.18,112,2
173,0,24140,Sean O'Hair,.18,165,3
175,0,01761,Len Mattiace,.17,117,2
176,0,01132,Mark Brooks,.16,126,2
176,0,06012,Greg Kraft,.16,124,2
176,0,26596,Ryan Moore,.16,125,2
176,0,25632,Jimmy Walker,.16,123,2
180,0,01226,Fred Couples,.14,71,1
180,0,23307,Roger Tambellini,.14,144,2
182,0,01161,Mark Calcavecchia,.13,156,2
182,0,08835,Kris Cox,.13,160,2
184,0,24502,Adam Scott,.12,83,1
184,0,28780,Nicholas Thompson,.12,170,2
184,0,25804,Bubba Watson,.12,164,2
187,0,12662,Thomas Levet,.11,92,1
188,0,24507,Jason Bohn,.10,207,2
189,0,20098,Stuart Appleby,.08,119,1
189,0,23614,Rich Beem,.08,120,1
191,0,01320,Bob Estes,.07,144,1
192,0,19881,Robert Damron,.06,154,1
192,0,12660,Jesper Parnevik,.06,172,1
194,0,20094,Jonathan Kaye,.05,204,1
195,0,01388,Robert Gamez,.00,134
195,0,27943,Matt Hansen,.00,134
